Номер поколения; Средний фитнесс1; Средний фитнесс2; Средний фитнесс3; Макс. фитнес 1; Макс. фитнес 2; Макс. фитнес 3
1;2.63527;5.455748;2.321036;3.092073;6.685529;3.409441
2;2.647769;5.145057;2.88465;3.092073;6.340117;3.625929
3;2.881796;5.549061;3.232232;3.040802;5.8868;3.670226
4;2.920746;5.496634;3.449352;3.040802;5.8868;3.707419
5;2.723917;5.380091;2.814108;3.00465;5.995223;3.707419
6;2.865472;5.463103;3.280148;3.00465;5.897378;3.707419
7;2.856892;5.442565;3.259757;3.00465;5.963456;3.707419
8;2.892946;5.487779;3.337667;3.00465;5.750638;3.707419
9;2.821893;5.399325;3.1738;3.00465;5.638018;3.707419
10;2.787855;5.489836;2.847133;3.00465;6.029705;3.707419
11;2.921593;5.522374;3.385644;3.00465;5.899469;3.707419
12;2.81778;5.529398;2.947045;2.991587;6.179628;3.707419
13;2.878113;5.405088;3.402052;2.991587;5.955591;3.707419
14;2.74839;5.162309;3.222075;2.991587;5.516782;3.707419
15;2.850606;5.476773;3.153876;2.977201;6.221742;3.707419
16;2.877398;5.544517;3.154646;2.977201;6.137105;3.707419
17;2.857868;5.421386;3.288888;2.977201;5.737128;3.707419
18;2.921936;5.610181;3.223778;2.99863;6.427622;3.921515
19;2.934884;5.271823;3.796291;2.99863;5.451178;3.951193
20;2.8924;5.094859;3.890888;2.99863;5.450343;3.951193
21;2.796182;4.972707;3.682084;2.892893;5.452555;3.951193
22;2.775332;5.078047;3.445875;2.912964;5.904026;3.951193
23;2.776797;5.173902;3.30372;2.936068;6.095232;3.951193
24;2.773332;5.15049;3.297815;2.960863;6.270091;3.951193
25;2.776022;5.173521;3.301795;2.832613;5.938969;3.951193
26;2.801837;5.180694;3.38692;2.832613;6.271875;3.951193
27;2.768501;4.991286;3.556189;2.832453;5.87803;3.951193
28;2.737801;4.980419;3.449817;2.903623;6.061582;3.951193
29;2.77019;5.015284;3.523813;2.831968;5.468793;3.951193
30;2.832195;5.024881;3.76018;3.004043;5.820475;3.951193
31;2.749487;5.092441;3.307751;2.976027;6.483664;3.951193
32;2.77381;4.982435;3.575312;2.831718;5.51914;3.951193
33;2.745286;5.022443;3.400161;2.831663;5.8385;3.951193
34;2.773189;5.103881;3.397771;2.894017;6.016957;3.951193
35;2.754245;5.061057;3.381343;2.831595;5.582773;3.951193
36;2.788114;4.965134;3.671573;2.877718;6.103598;3.951193
37;2.815069;5.03839;3.658234;2.877718;6.060657;3.972267
38;2.745538;5.059494;3.355531;2.877718;6.144856;3.972267
39;2.751334;4.963767;3.529686;2.877718;5.554964;3.972524
40;2.695925;5.157947;2.969411;2.877718;5.799402;3.972524
41;2.81694;4.910924;3.867777;2.877718;5.076361;3.972524
42;2.77371;4.897057;3.720835;2.861827;5.322579;3.972524
43;2.78098;5.038236;3.530531;2.861827;5.5393;3.972524
44;2.794855;5.117054;3.466284;2.884931;6.121557;3.972524
45;2.787747;5.036033;3.568216;2.861832;5.744773;3.972524
46;2.820341;5.195947;3.46272;2.861832;6.071849;3.972524
47;2.766411;5.109816;3.369128;2.861832;5.610129;3.972666
48;2.792626;5.11089;3.464616;2.861832;6.112926;3.972666
49;2.801974;5.102047;3.51711;2.92002;6.36981;3.972666
50;2.790903;4.979809;3.652398;3.011618;5.962309;3.972666
51;2.7856;5.100881;3.470002;2.907873;6.125749;3.972666
52;2.777256;5.014112;3.557348;2.861827;5.552757;3.972666
53;2.813959;4.984298;3.749526;2.959086;5.635591;3.972666
54;2.815567;4.882582;3.897347;2.8656;5.018676;3.972666
55;2.803495;5.203586;3.358631;2.861825;6.125264;3.972666
56;2.745379;5.067625;3.343546;2.86182;5.345191;3.972666
57;2.796109;4.999659;3.652547;2.86182;5.577474;3.972666
58;2.842518;5.308615;3.348457;2.984009;6.332496;3.972666
59;2.707962;5.022002;3.26386;2.86182;5.302269;3.972666
60;2.803997;5.029137;3.650582;2.86182;5.690392;3.972666
61;2.749963;4.992265;3.466715;2.86182;5.351096;3.972682
62;2.798158;5.031753;3.621884;2.86182;5.644068;3.972682
63;2.80795;5.216517;3.366173;2.909892;6.046009;3.972684
64;2.803779;5.096337;3.537961;2.895006;6.347339;3.972684
65;2.768511;5.09444;3.388646;2.959268;6.035917;3.972684
66;2.801352;5.104606;3.515399;2.959678;5.982522;3.972684
67;2.771196;5.069944;3.450336;2.912447;6.048701;3.972684
68;2.723783;5.241328;2.963789;2.932597;5.990254;3.972684
69;2.800584;4.982286;3.701804;2.903976;5.680808;3.972684
70;2.78549;5.05726;3.496143;2.86182;5.744324;3.972684
71;2.798934;5.195725;3.355477;2.952564;6.229552;3.972684
72;2.704205;5.065231;3.199821;2.86182;5.75446;3.972684
73;2.80766;5.225354;3.338712;2.86182;6.305536;3.972684
74;2.811126;4.903625;3.852956;2.86182;5.330466;3.972684
75;2.772307;5.072797;3.439113;2.861814;6.131875;3.972684
76;2.728529;4.914235;3.490543;2.861814;5.351091;3.972684
77;2.756115;5.032438;3.429317;2.861814;5.578194;3.972684
78;2.812021;5.257934;3.325214;2.874454;6.275636;3.972684
79;2.767326;4.975619;3.564543;2.871524;5.366111;3.972684
80;2.787349;5.166684;3.356562;2.861809;6.128217;3.972684
81;2.741059;5.229097;3.068313;2.978452;6.209309;3.972684
82;2.797106;5.077629;3.536364;2.861809;6.241517;3.972684
83;2.801369;5.126579;3.469725;2.883817;6.146719;3.972684
84;2.771485;4.909075;3.683135;2.861808;5.28763;3.972687
85;2.760133;4.908787;3.640403;2.861808;5.174517;3.972687
86;2.778788;5.003769;3.576044;2.861808;5.569727;3.972687
87;2.795047;4.967902;3.682322;2.861858;5.666575;3.972687
88;2.752554;5.034209;3.40596;2.861807;5.99943;3.972687
89;2.79303;5.050071;3.576874;2.861807;5.398871;3.972687
90;2.779624;5.14747;3.346513;2.88585;6.121726;3.972687
91;2.850797;5.107713;3.706836;3.021016;6.326565;3.972687
92;2.770233;5.05396;3.473048;2.861807;6.00203;3.972688
93;2.748675;5.040992;3.382528;2.861807;5.752893;3.972688
94;2.784066;5.134593;3.383749;2.875911;6.239747;3.972688
95;2.775317;5.151605;3.355447;2.861807;6.147166;3.972688
96;2.766994;5.020458;3.493485;2.861807;5.577711;3.972688
97;2.768719;5.015492;3.519632;2.861807;5.436065;3.972688
98;2.821201;5.305118;3.282009;2.959276;6.387486;3.972688
99;2.800827;5.036153;3.598637;2.906427;5.752944;3.97398
