;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
4001;;2.977201;5.450343;3.707419
11008;;2.975876;5.450805;3.701493
8009;;2.975876;5.450805;3.701493
11006;;2.974725;5.454082;3.693192
7006;;2.973252;5.459867;3.680791
7002;;2.973252;5.459867;3.680791
3010;;2.935745;5.366249;3.670226
8006; Crosover vs 8008|;2.991587;5.516782;3.661606
11002; Crosover vs 11003| Crosover vs 11009|;2.975214;5.479533;3.661446
11001; Crosover vs 11005|;2.964;5.469306;3.64017
10005; Crosover vs 10008|;2.965605;5.481757;3.628686
2003;;3.00465;5.581055;3.625929
8003; Crosover vs 8010|;2.975504;5.511193;3.620746
8002; Crosover vs 8007| Crosover vs 8007|;2.95396;5.461464;3.618598
11004; Crosover vs 11009| Crosover vs 11007|;2.960132;5.478227;3.617789
11010; BlueNoize |;2.734151;5.021137;3.385652
11005; Crosover vs 11001| Shift |;2.800135;5.815754;2.513046
11009; Crosover vs 11004| Crosover vs 11002| Shift |;2.790996;5.79317;2.512315
11007; Crosover vs 11004| Shift |;2.789684;5.846618;2.416515
11003; Crosover vs 11002| FlikkerNoize |;2.740301;5.899469;1.974981
