–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡ÒÓÒÚÓˇÌËÂ2_k-17.5.sigÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
0.0003233348;0;1.909644;
0.004868226;0.1097343;1.797165;
0.03926792;0.2181432;1.662981;
0.04404098;0.3239174;1.508709;
0.08366181;0.4257793;1.336216;
0.08862633;0.5224985;1.147585;
0.09359083;0.6129071;0.9450921;
0.09727027;0.6959128;0.7311851;
0.1009497;0.7705132;0.5084463;
0.1033427;0.8358074;0.2795666;
0.104685;0.8910065;0.04730994;
0.1060272;0.9354441;-0.1855164;
0.1063175;0.9685832;-0.4161043;
0.1071624;0.9900237;-0.6416662;
0.1080072;0.9995065;-0.8594778;
0.1094071;0.9969173;-1.066908;
0.110807;0.9822872;-1.261453;
0.1122069;0.955793;-1.440761;
0.1118384;0.9177547;-1.602667;
0.1114699;0.8686315;-1.745216;
0.1093313;0.809017;-1.866687;
0.1082434;0.7396311;-1.965612;
0.1071555;0.6613119;-2.040796;
0.1071195;0.5750052;-2.091331;
0.1406384;0.4817537;-2.116607;
0.1397435;0.3826834;-2.116317;
0.1703814;0.2789911;-2.090468;
0.1665693;0.1719291;-2.039368;
0.1607367;0.06279052;-1.963638;
0.1549041;-0.04710645;-1.86419;
0.1478765;-0.1564345;-1.742227;
0.1408489;-0.263873;-1.599221;
0.131505;-0.3681245;-1.436899;
0.1221611;-0.4679298;-1.257222;
0.1116462;-0.5620834;-1.062361;
0.1020083;-0.649448;-0.8546678;
0.09232462;-0.7289686;-0.6366527;
0.08353401;-0.7996846;-0.4109478;
0.07500833;-0.860742;-0.1802779;
0.06648261;-0.9114033;0.05256727;
0.05820039;-0.9510565;0.2847782;
0.04991817;-0.9792228;0.51355;
0.04163596;-0.995562;0.7361186;
0.03335373;-0.9998766;0.9497971;
0.02626655;-0.9921147;1.152003;
0.01917937;-0.9723699;1.340295;
0.012259;-0.9408808;1.512399;
0.006450725;-0.8980276;1.666236;
-0.002184665;-0.8443279;1.799948;
-0.009699471;-0.7804304;1.911921;
-0.01895441;-0.7071068;2.000801;
-0.02820936;-0.6252427;2.065514;
-0.04807904;-0.5358268;2.105281;
-0.05987217;-0.4399392;2.119619;
-0.07403805;-0.3387379;2.108357;
-0.08820393;-0.2334454;2.071631;
-0.09702583;-0.1253332;2.009882;
-0.1037817;-0.01570732;1.923858;
-0.1105376;0.09410831;1.814597;
-0.1172934;0.2027873;1.683421;
-0.1239343;0.309017;1.531911;
-0.1265639;0.4115144;1.361898;
-0.1291936;0.5090414;1.175437;
-0.1318232;0.6004202;0.9747778;
-0.1344527;0.6845471;0.762346;
-0.1370824;0.760406;0.540706;
-0.1371622;0.8270805;0.3125365;
-0.1390263;0.8837656;0.08059072;
-0.1408904;0.9297765;-0.1523276;
-0.1403818;0.9645574;-0.3834073;
-0.1398731;0.9876884;-0.6098551;
-0.1369727;0.9988899;-0.8289367;
-0.1340172;0.9980267;-1.038007;
-0.1350729;0.9851093;-1.23454;
-0.1358965;0.9602937;-1.416163;
-0.1369909;0.9238795;-1.580679;
-0.1358596;0.8763067;-1.726106;
-0.1347283;0.8181497;-1.850684;
-0.1280179;0.750111;-1.952909;
-0.1213074;0.6730125;-2.031547;
-0.1145969;0.5877852;-2.085648;
-0.1078865;0.4954587;-2.114557;
-0.101176;0.3971479;-2.117927;
-0.09094346;0.2940403;-2.095717;
-0.0807109;0.1873813;-2.048194;
-0.07287014;0.0784591;-1.975933;
-0.06502938;-0.03141076;-1.879807;
-0.05718862;-0.1409012;-1.760976;
-0.05113203;-0.2486899;-1.620875;
-0.04716835;-0.3534749;-1.461199;
-0.04320465;-0.4539905;-1.283872;
-0.03785198;-0.5490228;-1.09104;
-0.0324993;-0.637424;-0.8850303;
-0.0245871;-0.7181263;-0.668331;
-0.01667492;-0.790155;-0.4435591;
-0.01228482;-0.8526402;-0.2134297;
-0.01190598;-0.9048271;0.01927706;
-0.01152715;-0.9460853;0.251751;
-0.008766446;-0.9759167;0.481184;
-0.004221556;-0.993961;0.7048065;
;-1;0.9199148;
;-0.993961;1.123913;
;-0.9759167;1.314336;
;-0.9460853;1.488885;
;-0.9048271;1.64545;
;-0.8526402;1.782142;
;-0.790155;1.897309;
;-0.7181263;1.989561;
;-0.637424;2.057782;
;-0.5490228;2.101149;
;-0.4539905;2.119138;
;-0.3534749;2.111532;
;-0.2486899;2.078423;
;-0.1409012;2.020211;
;-0.03141076;1.937597;
;0.0784591;1.831581;
;0.1873813;1.703444;
;0.2940403;1.554732;
;0.3971479;1.387242;
;0.4954587;1.202998;
;0.5877852;1.004222;
;0.6730125;0.7933179;
;0.750111;0.5728326;
;0.8181497;0.3454271;
;0.8763067;0.1138503;
;0.9238795;-0.119101;
;0.9602937;-0.3506145;
;0.9851093;-0.5778935;
;0.9980267;-0.7981921;
;0.9988899;-1.00885;
;0.9876884;-1.207323;
;0.9645574;-1.391214;
;0.9297765;-1.558302;
;0.8837656;-1.706569;
;0.8270805;-1.834224;
;0.760406;-1.939724;
;0.6845471;-2.021796;
;0.6004202;-2.079449;
;0.5090414;-2.111986;
;0.4115144;-2.119014;
;0.309017;-2.100449;
;0.2027873;-2.056515;
;0.09410831;-1.987741;
;-0.01570732;-1.89496;
;-0.1253332;-1.77929;
;-0.2334454;-1.64213;
;-0.3387379;-1.485138;
;-0.4399392;-1.310207;
;-0.5358268;-1.119451;
;-0.6252427;-0.9151743;
;-0.7071068;-0.6998446;
;-0.7804304;-0.4760616;
;-0.8443279;-0.2465292;
;-0.8980276;-0.01401853;
;-0.9408808;0.2186614;
;-0.9723699;0.4486997;
;-0.9921147;0.673319;
;-0.9998766;0.8898062;
;-0.995562;1.095546;
;-0.9792228;1.288053;
;-0.9510565;1.465003;
;-0.9114033;1.624259;
;-0.860742;1.763897;
;-0.7996846;1.882231;
;-0.7289686;1.977831;
;-0.649448;2.049542;
;-0.5620834;2.096499;
;-0.4679298;2.118133;
;-0.3681245;2.114185;
;-0.263873;2.084702;
;-0.1564345;2.030039;
;-0.04710645;1.950858;
;0.06279052;1.848114;
;0.1719291;1.723049;
;0.2789911;1.577172;
;0.3826834;1.412245;
;0.4817537;1.230262;
;0.5750052;1.033419;
;0.6613119;0.8240943;
;0.7396311;0.604818;
;0.809017;0.3782335;
;0.8686315;0.1470826;
;0.9177547;-0.08584549;
;0.955793;-0.3177361;
;0.9822872;-0.5457888;
;0.9969173;-0.7672503;
;0.9995065;-0.9794443;
;0.9900237;-1.179809;
;0.9685832;-1.365923;
;0.9354441;-1.53554;
;0.8910065;-1.68661;
;0.8358074;-1.81731;
;0.7705132;-1.92606;
;0.6959128;-2.011546;
;0.6129071;-2.072737;
;0.5224985;-2.108893;
;0.4257793;-2.119578;
;0.3239174;-2.104663;
;0.2181432;-2.064327;
;0.1097343;-1.999057;
;8.572244E-16;-1.909644;
;-0.1097343;-1.797165;
;-0.2181432;-1.662981;
;-0.3239174;-1.508709;
;-0.4257793;-1.336216;
;-0.5224985;-1.147585;
;-0.6129071;-0.9450921;
;-0.6959128;-0.7311851;
;-0.7705132;-0.5084463;
;-0.8358074;-0.2795666;
;-0.8910065;-0.04730994;
;-0.9354441;0.1855164;
;-0.9685832;0.4161043;
;-0.9900237;0.6416662;
;-0.9995065;0.8594778;
