Номер Поколения;Среднее значение критической точки;Дисперсия;СКО;Коэфф. Стьюдента;Ошибка среднего;Начало Дов. Интервала;Конец  Дов. Интервала;Доверительная вероятность;Кол-во измерений;
0;0;0;0;1.96;0;0;0;0.95;0;
1;394.578;58173.17;241.1911;1.96;2.696599;389.2927;399.8633;0.95;8000;
2;394.4209;59597;244.125;1.96;2.7294;389.0712;399.7705;0.95;8000;
3;395.9844;60677.53;246.3281;1.96;2.754032;390.5865;401.3823;0.95;8000;
4;393.1607;61912.59;248.8224;1.96;2.781919;387.7082;398.6133;0.95;8000;
5;393.5859;62986.89;250.9719;1.96;2.805951;388.0862;399.0855;0.95;8000;
6;394.267;62642.07;250.284;1.96;2.79826;388.7824;399.7516;0.95;8000;
7;391.5526;62035.55;249.0694;1.96;2.78468;386.0946;397.0106;0.95;8000;
8;393.5121;61502.46;247.9969;1.96;2.77269;388.0776;398.9466;0.95;8000;
9;391.5495;61485.86;247.9634;1.96;2.772316;386.1158;396.9832;0.95;8000;
10;398.3555;61741.17;248.4777;1.96;2.778065;392.9105;403.8005;0.95;8000;
11;396.426;60789.06;246.5544;1.96;2.756562;391.0231;401.8289;0.95;8000;
12;395.3375;62034.66;249.0676;1.96;2.78466;389.8795;400.7954;0.95;8000;
13;395.3633;59841.9;244.626;1.96;2.735002;390.0027;400.7238;0.95;8000;
14;393.1551;60839.8;246.6573;1.96;2.757712;387.75;398.5602;0.95;8000;
15;399.743;61657.91;248.3101;1.96;2.776191;394.3017;405.1844;0.95;8000;
16;396.9606;61230.72;247.4484;1.96;2.766557;391.5382;402.3831;0.95;8000;
17;396.2876;60044.42;245.0396;1.96;2.739626;390.918;401.6573;0.95;8000;
18;402.0431;60707.88;246.3897;1.96;2.75472;396.6439;407.4424;0.95;8000;
19;404.2452;61576.63;248.1464;1.96;2.774361;398.8075;409.683;0.95;8000;
20;401.0887;60536.01;246.0407;1.96;2.750818;395.6971;406.4803;0.95;8000;
21;401.3174;61980.59;248.959;1.96;2.783446;395.8618;406.7729;0.95;8000;
22;403.6917;62351.52;249.7029;1.96;2.791763;398.2199;409.1636;0.95;8000;
23;403.4518;61568.57;248.1302;1.96;2.774179;398.0144;408.8891;0.95;8000;
24;400.6604;60666.29;246.3053;1.96;2.753777;395.263;406.0578;0.95;8000;
25;403.5078;61936.28;248.87;1.96;2.782451;398.0541;408.9614;0.95;8000;
26;401.6114;60970.88;246.9228;1.96;2.760681;396.2004;407.0223;0.95;8000;
27;404.297;61999.96;248.9979;1.96;2.783881;398.8406;409.7534;0.95;8000;
28;404.6851;59930.21;244.8065;1.96;2.73702;399.3206;410.0497;0.95;8000;
29;402.117;60002.26;244.9536;1.96;2.738664;396.7492;407.4848;0.95;8000;
30;401.5201;61213.23;247.4131;1.96;2.766162;396.0984;406.9418;0.95;8000;
31;402.3036;59805.45;244.5515;1.96;2.734169;396.9446;407.6626;0.95;8000;
32;401.6351;60274.13;245.5079;1.96;2.744862;396.2552;407.0151;0.95;8000;
33;406.1502;59249.04;243.4112;1.96;2.721421;400.8163;411.4842;0.95;8000;
34;400.0392;60715.96;246.4061;1.96;2.754904;394.6396;405.4388;0.95;8000;
35;401.3071;60907.61;246.7947;1.96;2.759248;395.899;406.7153;0.95;8000;
36;399.4016;59527.26;243.9821;1.96;2.727803;394.0551;404.7481;0.95;8000;
37;405.997;59714.1;244.3647;1.96;2.73208;400.6421;411.3519;0.95;8000;
38;403.9664;60644.05;246.2601;1.96;2.753272;398.5699;409.3628;0.95;8000;
39;400.8599;60692.77;246.359;1.96;2.754378;395.4613;406.2585;0.95;8000;
40;407.262;61502.85;247.9977;1.96;2.772698;401.8275;412.6965;0.95;8000;
41;406.11;60904.82;246.789;1.96;2.759185;400.702;411.518;0.95;8000;
42;402.3062;60067.11;245.0859;1.96;2.740144;396.9355;407.6769;0.95;8000;
43;402.9948;60882.78;246.7444;1.96;2.758686;397.5877;408.4018;0.95;8000;
44;406.4727;59833.79;244.6095;1.96;2.734817;401.1125;411.833;0.95;8000;
45;404.108;60331.17;245.624;1.96;2.74616;398.7255;409.4905;0.95;8000;
46;407.1035;60357.23;245.6771;1.96;2.746753;401.7198;412.4871;0.95;8000;
47;408.9457;62181.95;249.3631;1.96;2.787964;403.4813;414.4102;0.95;8000;
48;407.7659;60699.7;246.3731;1.96;2.754535;402.367;413.1648;0.95;8000;
49;406.1535;61670.61;248.3357;1.96;2.776478;400.7116;411.5954;0.95;8000;
50;409.883;61828.45;248.6533;1.96;2.780028;404.4341;415.3318;0.95;8000;
51;403.7536;60630.61;246.2328;1.96;2.752967;398.3578;409.1494;0.95;8000;
52;406.337;61102.79;247.1898;1.96;2.763666;400.9202;411.7538;0.95;8000;
53;403.1891;60305.21;245.5712;1.96;2.745569;397.8078;408.5704;0.95;8000;
