–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡ÒÓÒÚÓˇÌËÂ2_k-30.sigÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
0.005077371;0;0.0227058;
0.01091996;0.1873813;0.02499835;
0.02199226;0.3681245;0.02640571;
0.02635203;0.5358268;0.02687682;
0.02952683;0.6845471;0.02639644;
0.03408094;0.809017;0.02498062;
0.03800422;0.9048271;0.02268015;
0.04447608;0.9685832;0.01957614;
0.04848228;0.9980267;0.01577865;
0.07125657;0.9921147;0.01142197;
0.07380947;0.9510565;0.006660935;
0.0765138;0.8763067;0.001663948;
0.07977919;0.7705132;-0.00339237;
0.08214957;0.637424;-0.008328004;
0.08565714;0.4817537;-0.01296905;
0.08791965;0.309017;-0.01715031;
0.09068548;0.1253332;-0.02072403;
0.09593713;-0.06279052;-0.02356412;
0.09856355;-0.2486899;-0.02556872;
0.1147448;-0.4257793;-0.02666811;
0.1172249;-0.5877852;-0.02682231;
0.1186291;-0.7289686;-0.0260267;
0.1217596;-0.8443279;-0.02430873;
0.1238314;-0.9297765;-0.02173001;
0.1295828;-0.9822872;-0.01838106;
0.1312553;-1;-0.01438129;
0.1550676;-0.9822872;-0.00987194;
0.1543972;-0.9297765;-0.005012685;
0.1526567;-0.8443279;2.392769E-05;
0.1525605;-0.7289686;0.005059641;
0.1502246;-0.5877852;0.009915938;
0.1497302;-0.4257793;0.01442148;
0.1468171;-0.2486899;0.01841609;
0.1426796;-0.06279052;0.02175787;
0.1378019;0.1253332;0.02432906;
0.1311137;0.309017;0.02603854;
0.1244604;0.4817537;0.02682527;
0.1170633;0.637424;0.026662;
0.1098491;0.7705132;0.02555406;
0.1025365;0.8763067;0.02354107;
0.09432094;0.9510565;0.020694;
0.08555653;0.9921147;0.01711352;
0.07681901;0.9980267;0.01292714;
0.06800529;0.9685832;0.008282669;
0.05958237;0.9048271;0.00334482;
0.05094463;0.809017;-0.001711225;
0.04235469;0.6845471;-0.006707328;
0.0321605;0.5358268;-0.01146545;
0.02301742;0.3681245;-0.01581736;
0.01385228;0.1873813;-0.01960871;
-0.0003410696;3.673819E-16;-0.0227058;
-0.009054596;-0.1873813;-0.02499835;
-0.02960128;-0.3681245;-0.02640571;
-0.03940243;-0.5358268;-0.02687682;
-0.04963019;-0.6845471;-0.02639644;
-0.06305104;-0.809017;-0.02498062;
-0.07368292;-0.9048271;-0.02268015;
-0.08471677;-0.9685832;-0.01957614;
-0.09466771;-0.9980267;-0.01577865;
-0.1027503;-0.9921147;-0.01142197;
-0.111046;-0.9510565;-0.006660935;
-0.1178645;-0.8763067;-0.001663948;
-0.124961;-0.7705132;0.00339237;
-0.1317481;-0.637424;0.008328004;
-0.1377238;-0.4817537;0.01296905;
-0.1427186;-0.309017;0.01715031;
-0.1454598;-0.1253332;0.02072403;
-0.1475523;0.06279052;0.02356412;
-0.1486036;0.2486899;0.02556872;
-0.1492137;0.4257793;0.02666811;
-0.1493403;0.5877852;0.02682231;
-0.1481688;0.7289686;0.0260267;
-0.1467877;0.8443279;0.02430873;
-0.1440813;0.9297765;0.02173001;
-0.1405418;0.9822872;0.01838106;
-0.1368769;1;0.01438129;
-0.1323605;0.9822872;0.00987194;
-0.1281438;0.9297765;0.005012685;
-0.1234523;0.8443279;-2.392769E-05;
-0.1195089;0.7289686;-0.005059641;
-0.1152749;0.5877852;-0.009915938;
-0.1093914;0.4257793;-0.01442148;
-0.104055;0.2486899;-0.01841609;
-0.09754621;0.06279052;-0.02175787;
-0.09179517;-0.1253332;-0.02432906;
-0.08653909;-0.309017;-0.02603854;
-0.08114721;-0.4817537;-0.02682527;
-0.07587776;-0.637424;-0.026662;
-0.06909835;-0.7705132;-0.02555406;
-0.06262589;-0.8763067;-0.02354107;
-0.05569467;-0.9510565;-0.020694;
-0.04886496;-0.9921147;-0.01711352;
-0.04234306;-0.9980267;-0.01292714;
-0.03543598;-0.9685832;-0.008282669;
-0.02895914;-0.9048271;-0.00334482;
-0.02249501;-0.809017;0.001711225;
-0.0163732;-0.6845471;0.006707328;
-0.01119574;-0.5358268;0.01146545;
-0.005022024;-0.3681245;0.01581736;
0.001003345;-0.1873813;0.01960871;
;-7.347638E-16;0.0227058;
;0.1873813;0.02499835;
;0.3681245;0.02640571;
;0.5358268;0.02687682;
;0.6845471;0.02639644;
;0.809017;0.02498062;
;0.9048271;0.02268015;
;0.9685832;0.01957614;
;0.9980267;0.01577865;
;0.9921147;0.01142197;
;0.9510565;0.006660935;
;0.8763067;0.001663948;
;0.7705132;-0.00339237;
;0.637424;-0.008328004;
;0.4817537;-0.01296905;
;0.309017;-0.01715031;
;0.1253332;-0.02072403;
;-0.06279052;-0.02356412;
;-0.2486899;-0.02556872;
;-0.4257793;-0.02666811;
;-0.5877852;-0.02682231;
;-0.7289686;-0.0260267;
