Номер поколения; Средний фитнесс1; Средний фитнесс2; Средний фитнесс3; Макс. фитнес 1; Макс. фитнес 2; Макс. фитнес 3
1;2.585545;5.167777;2.538274;2.903854;6.207631;3.894775
2;2.695889;5.034746;3.219613;2.95059;5.834133;3.925397
3;2.834002;5.043993;3.745578;2.924407;5.304898;4.059143
4;2.878135;5.017299;3.942947;2.926747;5.202748;4.059143
5;2.651245;4.962927;3.117877;2.926747;5.613297;4.059143
6;2.782685;4.880239;3.749789;2.926747;5.232968;4.107365
7;2.882609;4.928088;4.076419;2.926747;5.080274;4.28823
8;2.875341;4.846237;4.153501;2.919317;5.008254;4.28823
9;2.803467;4.76061;4.001681;2.893417;5.108868;4.28823
10;2.717761;4.883492;3.466289;2.893417;5.468369;4.28823
11;2.756115;4.803622;3.723738;2.882139;5.471229;4.28823
12;2.747395;4.897048;3.567296;2.882139;5.765481;4.28823
13;2.764502;4.786006;3.789409;2.882139;5.419886;4.28823
14;2.762896;4.814544;3.754522;2.882139;5.333321;4.28823
15;2.771656;4.865036;3.701188;2.882139;5.672029;4.28823
16;2.8014;4.751125;3.980661;2.882139;5.297576;4.293708
17;2.769359;4.934506;3.595664;2.882139;5.848819;4.335166
18;2.783322;4.960052;3.603579;2.909113;5.755646;4.342633
19;2.777581;4.853108;3.761788;2.909113;5.528185;4.342633
20;2.786541;4.925059;3.676029;2.909113;5.768493;4.342633
21;2.805009;4.826059;3.909968;2.909113;5.198201;4.363151
22;2.718272;4.821044;3.561602;2.91164;5.221087;4.388249
23;2.796338;4.865131;3.809668;2.91164;5.478088;4.388249
24;2.839391;4.7874;4.060576;2.91164;5.702818;4.407251
25;2.779912;5.153045;3.257872;2.91164;6.101756;4.407251
26;2.783499;4.862746;3.735404;2.91164;5.32457;4.407251
27;2.733632;4.954007;3.398644;2.91164;5.748076;4.407251
28;2.785537;4.892641;3.700959;2.91164;5.405031;4.407251
29;2.81822;4.972775;3.714612;2.91164;6.103559;4.407251
30;2.812406;4.74025;4.02988;2.91164;5.152532;4.407251
31;2.831994;4.641438;4.241408;2.924699;4.863988;4.407251
32;2.864682;4.916057;3.976486;2.924699;5.990433;4.407251
33;2.80833;4.848213;3.845736;2.924699;5.55898;4.407251
34;2.753353;4.944438;3.498529;2.947651;5.577263;4.407251
35;2.805325;4.807015;3.891261;2.924699;5.507244;4.407251
36;2.858843;4.785039;4.134906;2.917549;5.32121;4.410758
37;2.691825;4.814134;3.418036;2.917549;5.499955;4.410758
38;2.761433;4.960357;3.495409;2.917549;5.738729;4.410758
39;2.805988;4.86528;3.802063;2.917549;5.807263;4.410758
40;2.80929;5.059166;3.537169;2.917549;6.066651;4.410758
41;2.815806;4.942976;3.737696;2.924842;5.698069;4.410758
42;2.819092;4.74034;4.054873;2.918812;5.316352;4.410758
43;2.802602;4.815415;3.874424;2.917549;5.803248;4.410758
44;2.835608;4.810186;4.003485;2.917549;5.53926;4.410758
45;2.832848;4.824457;3.956696;2.917549;5.967896;4.41358
46;2.823036;4.895644;3.854409;2.917549;5.322237;4.41358
47;2.715258;4.902871;3.38967;2.917549;5.412562;4.41358
48;2.777195;4.922847;3.603043;2.917549;5.463642;4.41358
49;2.763098;4.857611;3.666501;2.917549;5.280624;4.413701
50;2.794329;4.992175;3.593071;2.917549;5.847013;4.41381
51;2.807929;4.7642;3.971373;2.917549;5.426037;4.41381
52;2.812792;4.723415;4.036521;2.917549;5.0558;4.414411
53;2.756082;4.88704;3.589064;2.916084;5.383883;4.414411
54;2.790505;4.84224;3.803223;2.916084;5.515745;4.414411
55;2.861961;4.938892;3.946303;2.953778;5.850339;4.414411
56;2.816638;4.900306;3.80968;2.916084;6.160907;4.414411
57;2.843802;4.780882;4.07689;2.916084;5.787563;4.414411
58;2.72156;4.83486;3.522979;2.916084;5.737422;4.414411
59;2.849246;4.862169;3.965312;2.930819;5.677025;4.414411
60;2.805338;4.845437;3.856344;2.915934;5.48614;4.414411
61;2.809397;4.98824;3.639888;2.915934;6.04346;4.414526
62;2.843922;4.865067;3.944767;2.915934;6.113049;4.414526
63;2.76193;4.79021;3.756158;2.915934;5.185215;4.414526
64;2.732999;4.891918;3.481818;2.915934;5.706076;4.414526
65;2.803576;4.763637;3.946429;2.915934;5.424346;4.414555
66;2.85089;4.835189;4.036025;2.915934;5.601715;4.414555
67;2.867295;4.806072;4.145521;2.915934;5.327923;4.414733
68;2.843281;4.700657;4.17763;2.915934;4.795353;4.414733
69;2.815943;4.921381;3.786574;2.915934;5.531094;4.414733
70;2.790426;4.831043;3.811993;2.915934;5.482814;4.414733
71;2.845135;4.913021;3.883182;2.915934;6.027815;4.414733
72;2.837008;4.810908;3.987946;2.915428;5.816718;4.414734
73;2.777771;4.744276;3.877572;2.915428;5.340603;4.414734
74;2.748441;4.985826;3.401689;2.915428;6.169014;4.414734
75;2.785221;4.816669;3.822096;2.915428;5.502053;4.414734
76;2.768457;4.993947;3.492424;2.915428;5.721839;4.414734
77;2.735077;4.750866;3.697076;2.915344;5.594817;4.414734
78;2.7557;4.863358;3.59359;2.915344;5.688451;4.414734
79;2.766282;5.029454;3.427242;2.915344;5.734715;4.414734
