;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
72006; Crosover vs 72009|;2.915259;4.732126;4.414734
67008; Crosover vs 67006|;2.915215;4.732008;4.414733
80003; Crosover vs 80010|;2.915226;4.732042;4.414726
82009;;2.91525;4.732112;4.414724
72007;;2.915218;4.732033;4.414715
82010;;2.915229;4.732066;4.414714
77002; Crosover vs 77010|;2.915241;4.732099;4.414713
71008; Crosover vs 71009|;2.91522;4.732056;4.414694
71004; Crosover vs 71006|;2.91521;4.732044;4.414675
82004; Crosover vs 82006|;2.915223;4.732081;4.414674
81006;;2.915226;4.732096;4.41466
76002;;2.915237;4.732123;4.414656
80010; Crosover vs 80003|;2.915241;4.732146;4.414644
82003; Shift |;2.770367;5.221913;3.265502
82005; Shift |;2.77037;5.221929;3.265492
82001; BlueNoize | Shift |;2.574057;4.866931;3.014186
82008; BlueNoize | Shift |;2.572439;4.881432;2.99679
82007; FlikkerNoize | Shift |;2.339358;5.312492;1.221281
82006; Crosover vs 82004| FlikkerNoize | Shift |;2.339362;5.312504;1.22128
82002; FlikkerNoize | Shift |;2.339334;5.312455;1.221242
