;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
20002;;2842.689;20303.76;17961.34
18005; Crosover vs 18002| Shift | Crosover vs 18010|;2845.192;20201.97;17881.9
19011;;2801.238;20160.06;17808.26
19006; Shift |;2801.086;20143.08;17803.06
20001; Crosover vs 20008|;2794.972;20154.51;17802.24
19014; Shift |;2794.618;20135.36;17799.86
21011; Crosover vs 21003|;2785.905;20140.15;17786.62
20008; Crosover vs 20001| Shift | Crosover vs 20009|;2821.098;20084.16;17757.21
19001; Shift | Crosover vs 19002|;2765.618;20117.97;17752.77
21003; Crosover vs 21011|;2793.479;20074.83;17723.65
20009; Crosover vs 20008| Shift |;2777.881;20042.59;17721.78
20003; Shift |;2783.659;20020.55;17705.41
20012;;2759.956;19968.99;17611.42
20010; Shift |;2758.133;19882.58;17546.62
19005; Crosover vs 19015| Shift |;2750.211;19896.21;17537.35
19003;;2750.178;19869.12;17521.46
19002; Crosover vs 19001| Shift |;2748.706;19867.31;17513.72
21010; Shift |;3142.223;18776.99;16603.71
21015; Shift |;3152.668;18745.94;16564.71
21014; Shift |;3128.048;18732.88;16526.65
21001; BlueNoize |;2623.051;18687.24;16516.56
21005; BlueNoize | Shift |;2926.393;17318.68;15265.74
21006; BlueNoize | Shift |;2898.877;17173.6;15139.6
21008; FlikkerNoize |;2528.843;14211.84;12007.42
21004; FlikkerNoize |;2542.139;14200.84;11951.33
21013; FlikkerNoize | Shift |;1648.25;13631.35;10729.5
21007; FlikkerNoize | Shift |;1632.781;13506.85;10716.3
21009; FlikkerNoize | Shift |;1670.67;13899.3;10664.12
21012; Crosover vs 21002|;1909.436;11663.6;9802.329
21002; Shift | Crosover vs 21012|;2118.573;16473.98;8942.519
