–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡¿Õ‰ÂÂ‚ ƒ √_› √_01_11_2016.crv_2_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;827;-176.002;
-0.02122877;668;-184.51;
-0.02578321;501;-200.1382;
-0.02969806;459;-222.5588;
-0.02920786;611;-257.2842;
-0.03152617;856;-306.9116;
-0.03581784;1001;-366.282;
-0.04093812;950;-428.3611;
-0.04635295;762;-484.3703;
-0.05216198;554;-521.8236;
-0.05685086;427;-536.7372;
-0.06011757;421;-548.9708;
-0.05858566;498;-589.816;
-0.05842378;571;-668.8878;
-0.06065361;582;-763.1475;
-0.05845338;544;-838.7664;
-0.06100743;532;-878.988;
-0.0608493;599;-890.8014;
-0.06255765;711;-891.9204;
-0.06710602;778;-895.4177;
-0.06686705;732;-904.6616;
-0.05783848;576;-915.3382;
-0.06311763;409;-919.558;
-0.0642321;373;-913.1446;
-0.06654517;525;-901.4473;
-0.06865116;739;-894.3929;
-0.06403776;826;-893.6484;
-0.06371848;741;-889.3702;
-0.06076288;618;-867.6551;
-0.05793952;555;-818.545;
-0.06680156;510;-744.2876;
-0.06466153;443;-666.577;
-0.05853221;430;-614.2199;
-0.06118528;510;-594.7276;
-0.06440077;587;-587.2637;
-0.06171774;574;-568.4349;
-0.05564747;527;-533.8742;
-0.04932353;528;-490.4831;
-0.05675675;569;-445.5187;
-0.06284994;587;-406.3794;
-0.06052688;552;-380.2332;
-0.06928517;468;-367.0943;
-0.07756215;366;-360.3762;
-0.08440998;331;-357.1948;
-0.08431454;436;-362.5653;
-0.08448301;625;-380.3437;
-0.08680407;732;-405.1441;
-0.1005147;681;-426.6856;
-0.1047444;572;-438.8599;
-0.09495111;519;-440.5738;
-0.09996357;515;-432.4518;
-0.1001145;515;-422.578;
-0.1077441;539;-429.1992;
-0.09355988;608;-465.9891;
-0.08491337;670;-523.7517;
-0.08072823;690;-579.1614;
-0.07853086;699;-615.785;
-0.08229263;723;-629.1495;
-0.09267239;734;-620.7708;
-0.07502018;696;-601.0902;
-0.0584675;617;-587.5564;
-0.06284614;523;-585.3309;
-0.04117477;455;-583.0435;
-0.0323512;488;-574.0035;
-0.05067954;657;-567.2918;
-0.0410386;879;-569.0717;
-0.01999021;1007;-571.1102;
0.009037151;960;-561.6221;
0.00619929;791;-537.1777;
0.04129954;628;-499.164;
0.04622333;577;-449.8901;
0.05585063;666;-397.4366;
0.07953997;821;-358.2393;
0.2038978;929;-344.3874;
0.2038978;940;-343.966;
0.2038978;906;-327.4641;
0.2038978;902;-277.4128;
0.2038978;945;-204.9855;
0.2025881;986;-132.1977;
0.2020685;972;-71.43227;
0.2003324;904;-22.27897;
0.1993152;805;22.78758;
0.1982981;716;70.71214;
0.1950663;712;118.5655;
0.1865432;845;155.253;
0.1805785;1049;176.7931;
0.1746138;1169;194.707;
0.1677951;1119;225.2034;
0.1614217;953;277.7132;
0.1483242;788;352.4843;
0.1362953;688;441.0149;
0.1227932;665;524.1353;
0.1087031;707;578.393;
0.09363598;773;597.6578;
0.08067812;813;606.6558;
0.06837791;836;639.1542;
0.05200338;897;703.5947;
0.03944121;995;784.1962;
0.02851593;1056;867.0391;
0.01389797;1025;947.3796;
;905;1018.504;
;718;1077.36;
;519;1135.659;
;431;1206.97;
;549;1289.554;
;791;1371.523;
;963;1449.587;
;958;1532.841;
;837;1632.135;
;708;1750.265;
;635;1879.964;
;646;2006.998;
;728;2114.852;
;796;2196.019;
;777;2258.871;
;707;2320.935;
;689;2393.398;
;754;2476.285;
;835;2563.348;
;868;2645.622;
;840;2711.129;
;758;2753.317;
;657;2777.491;
;632;2792.882;
;752;2801.034;
;941;2797.8;
;1036;2785.025;
;982;2771.284;
;866;2763.129;
;772;2761.716;
;710;2765.987;
;685;2769.828;
;728;2758.709;
;812;2719.992;
;847;2660.213;
;802;2602.645;
;748;2563.058;
;752;2538.752;
;803;2521.234;
;854;2504.785;
;866;2485.679;
;812;2464.737;
;713;2448.088;
;670;2437.716;
;762;2424.683;
;935;2397.46;
;1044;2355.669;
;1025;2310.076;
;943;2271.444;
;875;2241.845;
;829;2214.545;
;808;2175.353;
;829;2105.891;
;865;1998.1;
;862;1865.525;
;825;1731.318;
;805;1605.82;
;817;1484.255;
;818;1357.903;
;761;1217.105;
;636;1054.174;
;467;871.2498;
;333;679.4808;
;345;485.8461;
;542;287.3981;
;811;79.71745;
;968;-136.7909;
;921;-357.7968;
;736;-576.5396;
;554;-783.9969;
;475;-975.6571;
;513;-1158.792;
;626;-1351.247;
;753;-1563.81;
;835;-1784.255;
;873;-1985.9;
;887;-2153.437;
;889;-2293.065;
;891;-2419.881;
;905;-2545.463;
;885;-2673.385;
;762;-2797.196;
;589;-2905.303;
;545;-2995.869;
;716;-3080.283;
;950;-3168.136;
;1031;-3255.81;
;909;-3330.88;
;705;-3381.782;
;547;-3403.208;
;474;-3401.463;
;473;-3395.372;
;527;-3407.13;
;597;-3444.518;
;627;-3493.501;
;604;-3531.349;
;583;-3548.074;
;611;-3549.16;
;659;-3543.695;
;662;-3541.219;
;584;-3553.326;
;432;-3581.427;
;270;-3611.179;
;228;-3632.096;
;381;-3652.146;
;621;-3684.226;
;751;-3729.059;
;709;-3773.98;
;597;-3798.053;
;503;-3782.492;
;445;-3730.723;
;429;-3674.774;
;481;-3650.948;
;587;-3668.541;
;680;-3703.922;
;723;-3721.854;
;735;-3703.524;
;738;-3653.817;
;729;-3587.609;
;697;-3516.113;
;644;-3445.253;
;568;-3373.616;
;474;-3292.1;
;432;-3197.073;
;527;-3100.895;
;729;-3018.498;
;872;-2948.939;
;853;-2878.137;
;721;-2790.453;
;559;-2674.164;
;403;-2531.324;
;305;-2387.126;
;327;-2273.385;
;413;-2196.731;
;458;-2133.926;
;466;-2059.708;
;518;-1967.642;
;600;-1864.295;
