–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡¿Õ‰ÂÂ‚ ƒ √_› √_01_11_2016ˆ.crv_2_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;2525;150.035;
-0.02122877;2505;213.6823;
-0.02578321;2462;281.1691;
-0.02969806;2444;339.3861;
-0.02920786;2449;387.6119;
-0.03152617;2438;442.3947;
-0.03581784;2396;519.1951;
-0.04093812;2322;613.4313;
-0.04635295;2221;705.116;
-0.05216198;2138;780.502;
-0.05685086;2151;843.6413;
-0.06011757;2248;906.8366;
-0.05858566;2315;975.2438;
-0.05842378;2270;1042.731;
-0.06065361;2163;1099.618;
-0.05845338;2087;1141.011;
-0.06100743;2065;1168.995;
-0.0608493;2061;1189.403;
-0.06255765;2066;1206.404;
-0.06710602;2115;1217.766;
-0.06686705;2195;1217.219;
-0.05783848;2214;1198.266;
-0.06311763;2110;1158.727;
-0.0642321;1951;1105.039;
-0.06654517;1858;1051.025;
-0.06865116;1864;1006.565;
-0.06403776;1918;969.3678;
-0.06371848;1966;930.5633;
-0.06076288;1998;887.7611;
-0.05793952;2015;846.3699;
-0.06680156;2019;807.9583;
-0.06466153;2042;764.8276;
-0.05853221;2118;710.5808;
-0.06118528;2208;649.531;
-0.06440077;2227;591.3008;
-0.06171774;2172;539.0869;
-0.05564747;2142;490.2851;
-0.04932353;2183;447.0892;
-0.05675675;2232;418.6445;
-0.06284994;2226;411.9692;
-0.06052688;2199;423.543;
-0.06928517;2191;439.3943;
-0.07756215;2182;443.688;
-0.08440998;2127;429.752;
-0.08431454;2027;403.6222;
-0.08448301;1931;375.5229;
-0.08680407;1867;349.8329;
-0.1005147;1828;326.3649;
-0.1047444;1807;304.1463;
-0.09495111;1803;277.6146;
-0.09996357;1781;235.3586;
-0.1001145;1701;169.8636;
-0.1077441;1582;87.0659;
-0.09355988;1498;-2.243624;
-0.08491337;1485;-95.14678;
-0.08072823;1503;-196.3335;
-0.07853086;1487;-309.3038;
-0.08229263;1403;-434.4457;
-0.09267239;1273;-572.4934;
-0.07502018;1151;-724.2598;
-0.0584675;1092;-887.8278;
-0.06284614;1129;-1057.043;
-0.04117477;1240;-1225.292;
-0.0323512;1343;-1390.256;
-0.05067954;1353;-1554.762;
-0.0410386;1281;-1719.927;
-0.01999021;1230;-1881.2;
0.009037151;1248;-2030.195;
0.00619929;1250;-2159.12;
0.04129954;1148;-2263.688;
0.04622333;992;-2346.154;
0.05585063;873;-2412.543;
0.07953997;781;-2465.427;
0.2038978;680;-2501.726;
0.2038978;615;-2518.848;
0.2038978;640;-2518.172;
0.2038978;701;-2500.337;
0.2038978;701;-2462.686;
0.2025881;618;-2402.35;
0.2020685;513;-2320.035;
0.2003324;443;-2218.31;
0.1993152;407;-2098.655;
0.1982981;374;-1961.771;
0.1950663;344;-1811.058;
0.1865432;336;-1652.42;
0.1805785;341;-1487.429;
0.1746138;328;-1311.263;
0.1677951;307;-1121.343;
0.1614217;319;-923.3719;
0.1483242;359;-724.5244;
0.1362953;365;-529.5502;
0.1227932;304;-343.3319;
0.1087031;207;-168.794;
0.09363598;148;0.7184286;
0.08067812;189;177.4595;
0.06837791;312;368.2449;
0.05200338;405;569.3463;
0.03944121;348;769.2296;
0.02851593;161;956.0059;
0.01389797;-13;1127.762;
;-93;1293.56;
;-117;1461.09;
;-115;1627.115;
;-57;1781.657;
;50;1918.943;
;122;2043.124;
;106;2163.305;
;27;2282.893;
;-79;2396.385;
;-186;2498.329;
;-239;2589.892;
;-192;2672.268;
;-81;2743.243;
;23;2802.172;
;107;2850.24;
;182;2885.198;
;221;2903.886;
;200;2908.295;
;176;2903.723;
;203;2891.299;
;234;2868.028;
;189;2831.362;
;107;2783.705;
;99;2734.491;
;188;2696.379;
;272;2672.881;
;274;2653.951;
;254;2625.217;
;305;2578.483;
;411;2514.472;
;451;2443.908;
;353;2382.305;
;181;2338.146;
;61;2306.593;
;58;2278.252;
;127;2247.902;
;190;2217.796;
;250;2197.707;
;367;2198.807;
;528;2221.101;
;608;2253.571;
;558;2287.187;
;490;2320.78;
;507;2355.349;
;550;2389.433;
;524;2420.82;
;450;2447.225;
;422;2466.155;
;465;2474.573;
;519;2469.564;
;523;2450.388;
;479;2419.917;
;424;2379.768;
;399;2325.147;
;412;2250.95;
;432;2157.829;
;403;2048.154;
;308;1918.517;
;195;1763.462;
;108;1581.607;
;64;1376.235;
;61;1151.621;
;114;912.515;
;213;662.6699;
;305;402.5519;
;315;130.3967;
;232;-156.0393;
;128;-457.6454;
;100;-769.097;
;178;-1076.54;
;282;-1365.852;
;315;-1635.058;
;254;-1892.814;
;175;-2145.58;
;165;-2390.63;
;228;-2619.433;
;285;-2823.295;
;261;-3000.172;
;181;-3157.297;
;137;-3302.99;
;179;-3435.84;
;259;-3549.21;
;285;-3645.034;
;242;-3731.315;
;199;-3808.903;
;222;-3873.515;
;301;-3926.928;
;380;-3972.232;
;426;-4005.209;
;440;-4022.249;
;444;-4029.468;
;468;-4033.832;
;522;-4034.679;
;603;-4030.318;
;690;-4024.199;
;742;-4023.944;
;725;-4039.9;
;652;-4079.087;
;570;-4132.694;
;516;-4178.316;
;488;-4201.373;
;481;-4207.437;
;525;-4210.542;
;633;-4215.836;
;737;-4218.34;
;753;-4213.242;
;686;-4199.685;
;618;-4176.662;
;590;-4139.053;
;553;-4082.603;
;463;-4008.493;
;356;-3921.006;
;301;-3819.092;
;327;-3695.069;
;413;-3542.876;
;506;-3368.044;
;548;-3185.722;
;527;-3007.559;
;483;-2831.873;
;441;-2648.803;
;397;-2452.741;
;368;-2248.117;
;397;-2045.192;
;484;-1853.566;
;549;-1676.739;
;542;-1510.932;
;496;-1350.555;
;463;-1196.498;
;459;-1055.076;
;481;-930.9601;
;530;-824.3309;
;586;-732.7054;
;615;-651.5746;
;600;-580.7332;
;564;-530.3333;
;545;-512.524;
;560;-525.3268;
;584;-557.1511;
;578;-602.8492;
;513;-663.159;
;386;-732.6479;
;229;-801.922;
;108;-868.1593;
;57;-934.5012;
;47;-1003.715;
;33;-1077.764;
;14;-1157.611;
;7;-1240.066;
;-14;-1317.672;
;-88;-1382.244;
;-207;-1430.411;
;-303;-1468.693;
;-330;-1507.047;
;-310;-1544.668;
;-294;-1566.403;
;-292;-1559.513;
;-268;-1526.344;
;-225;-1481.119;
;-209;-1436.219;
;-223;-1389.615;
;-211;-1322.495;
;-144;-1220.045;
;-35;-1088.292;
;97;-944.0032;
;222;-796.0161;
;275;-647.0126;
;220;-499.7496;
;100;-353.7021;
;14;-206.2762;
;32;-62.15326;
;130;70.19701;
;216;187.7731;
;234;292.9861;
;216;391.0372;
;224;488.8857;
;279;588.5536;
;351;684.0685;
;399;769.3638;
;416;843.6065;
;432;908.4724;
;468;967.0554;
;500;1023.721;
;491;1082.391;
;466;1149.292;
;475;1235.522;
;531;1349.86;
;618;1494.192;
;721;1671.269;
;812;1890.555;
;857;2163.429;
;857;2496.457;
;856;2889.888;
;878;3341.98;
;915;3857.695;
;945;4449.666;
;941;5127.126;
;877;5888.08;
;778;6722.306;
;719;7618.004;
;755;8568.179;
;879;9575.472;
;1033;10646.62;
;1128;11776.83;
;1109;12944.88;
;1006;14124.62;
;907;15298.27;
;867;16458.36;
;886;17601.3;
;920;18715.21;
;912;19771.2;
;841;20732.46;
;754;21575.15;
;702;22297.04;
;682;22902.15;
;672;23381.33;
;676;23711.69;
;714;23871.34;
;775;23849.98;
;828;23647.81;
;855;23269.86;
;866;22720.47;
;872;21997.37;
;867;21090.02;
;848;19994.49;
;842;18728.37;
;885;17323.39;
;959;15801.52;
;1020;14169.09;
;1063;12431.97;
;1126;10606.96;
;1211;8719.757;
;1285;6799.286;
;1332;4871.165;
;1366;2954.626;
;1386;1066.112;
;1375;-777.6586;
;1338;-2561.06;
;1302;-4269.157;
;1293;-5884.89;
;1308;-7392.903;
;1302;-8782.989;
;1230;-10045.7;
;1104;-11170.93;
;993;-12152.69;
;934;-12989.28;
;897;-13680.32;
;846;-14231.12;
;769;-14654.21;
;664;-14959.9;
;554;-15149.39;
;493;-15222.14;
;490;-15183.14;
;468;-15042.82;
;381;-14815.21;
;306;-14516.03;
;306;-14157.32;
;320;-13746.14;
;281;-13289.77;
;225;-12800.34;
;185;-12290.23;
;122;-11768.19;
;27;-11243.08;
;-37;-10729.73;
;-45;-10243.57;
;-40;-9791.239;
;-45;-9370.068;
;-33;-8978.415;
;30;-8619.277;
;147;-8294.722;
;272;-8001.532;
;313;-7736.06;
;222;-7497.931;
;73;-7290.968;
;-15;-7121.479;
;-14;-6993.207;
;1;-6900.896;
;-17;-6832.464;
;-31;-6777.989;
;-20;-6731.844;
;-25;-6685.006;
;-92;-6623.076;
;-191;-6536.865;
;-259;-6428.068;
;-275;-6302.103;
;-289;-6159.253;
;-367;-5992.986;
;-509;-5794.579;
;-631;-5557.231;
;-642;-5277.148;
;-546;-4952.467;
;-451;-4584.905;
;-446;-4183.311;
;-505;-3757.684;
;-534;-3311.137;
;-491;-2844.666;
;-411;-2366.125;
;-343;-1885.913;
;-296;-1408.095;
;-248;-930.1518;
;-180;-447.6561;
;-106;40.23754;
;-60;522.2634;
;-49;972.9427;
;-49;1369.175;
;-45;1707.718;
;-19;1999.652;
;57;2250.762;
;172;2458.414;
;247;2620.676;
;247;2740.201;
;224;2820.543;
;211;2867.318;
;161;2887.802;
;44;2886.161;
;-77;2857.939;
;-133;2792.044;
;-124;2682.013;
;-86;2539.26;
;-49;2390.966;
;-37;2257.359;
;-78;2138.666;
;-180;2025.67;
;-287;1914.088;
;-304;1805.848;
;-226;1704.537;
;-170;1613.174;
;-237;1536.985;
;-371;1485.238;
;-456;1463.98;
;-450;1466.669;
;-394;1477.942;
;-358;1490.44;
;-405;1510.518;
;-515;1548.008;
;-616;1603.392;
;-675;1668.079;
;-704;1733.346;
;-685;1797.779;
;-605;1862.69;
;-513;1925.452;
;-456;1982.429;
;-416;2035.37;
;-376;2087.328;
;-354;2132.033;
;-355;2156.78;
;-366;2158.679;
;-385;2152.001;
;-409;2152.881;
;-412;2162.969;
;-364;2173.257;
;-263;2180.432;
;-155;2192.45;
;-89;2217.585;
;-51;2253.651;
;2;2293.794;
;52;2337.958;
;50;2391.574;
;13;2454.933;
;0;2522.697;
;17;2593.326;
;16;2673.402;
;-30;2770.703;
;-82;2885.103;
;-85;3008.563;
;-46;3133.421;
;-39;3258.302;
;-110;3385.269;
;-213;3515.228;
;-275;3645.116;
;-261;3766.69;
;-178;3871.932;
;-68;3959.458;
;0;4030.822;
;-16;4084.983;
;-62;4124.64;
;-37;4157.305;
;104;4184.789;
;307;4199.56;
;496;4197.701;
;653;4186.218;
;838;4174.609;
;1134;4166.518;
;1551;4157.94;
;2002;4142.97;
;2384;4121.826;
;2683;4101.258;
;2978;4085.108;
;3339;4072.741;
;3760;4065.128;
;4186;4066.603;
;4579;4078.193;
;4929;4096.246;
;5248;4117.447;
;5575;4143.37;
;5951;4177.604;
;6329;4219.559;
;6594;4263.758;
;6696;4307.612;
;6715;4355.121;
;6734;4410.067;
;6739;4470.206;
;6685;4532.137;
;6565;4597.711;
;6385;4669.034;
;6132;4739.535;
;5785;4798.055;
;5361;4842.558;
;4926;4879.936;
;4534;4909.48;
;4171;4918.354;
;3782;4898.765;
;3355;4858.454;
;2907;4809.903;
;2432;4758.255;
;1928;4703.436;
;1431;4643.786;
;978;4573.672;
;578;4483.897;
;252;4370.041;
;28;4235.539;
;-123;4087.445;
;-285;3930.265;
;-499;3762.756;
;-725;3579.659;
;-891;3380.059;
;-966;3173.782;
;-973;2973.974;
;-966;2785.943;
;-978;2606.56;
;-996;2432.336;
;-991;2261.53;
;-976;2095.686;
;-971;1940.333;
;-940;1801.684;
;-815;1681.246;
;-609;1576.815;
;-418;1482.96;
;-314;1391.243;
;-275;1298.603;
;-253;1213.01;
;-236;1142.148;
;-225;1080.01;
;-190;1015.602;
;-109;947.9809;
;12;884.6746;
;158;828.5833;
;307;774.0615;
;426;710.5378;
;497;628.2817;
;551;523.9929;
;620;403.6219;
;671;277.1032;
;646;149.0943;
;570;14.82232;
;529;-133.9014;
;558;-300.9503;
;606;-485.4517;
;608;-685.2115;
;557;-897.0132;
;480;-1113.683;
;388;-1327.429;
;274;-1537.516;
;157;-1751.314;
;93;-1973.565;
;90;-2198.086;
;99;-2413.758;
;100;-2619.326;
;123;-2823.974;
;170;-3034.203;
;189;-3244.728;
;138;-3446.38;
;22;-3633.624;
;-108;-3801.719;
;-156;-3943.941;
;-30;-4061.389;
;247;-4166.579;
;527;-4271.61;
;689;-4374.554;
;752;-4463.592;
;780;-4531.26;
;793;-4580.057;
;788;-4617.807;
;785;-4648.943;
;794;-4670.79;
;810;-4675.815;
;822;-4661.284;
;840;-4634.374;
;899;-4606.004;
;1003;-4579.745;
;1080;-4553.456;
;1041;-4526.169;
;913;-4496.757;
;797;-4460.527;
;741;-4419.512;
;712;-4387.64;
;676;-4375.802;
;650;-4375.904;
;655;-4373.044;
;647;-4363.644;
;561;-4356.574;
;424;-4359.264;
;346;-4372.935;
;383;-4395.583;
;463;-4426.52;
;492;-4463.163;
;457;-4498.283;
;424;-4522.782;
;437;-4534.581;
;482;-4538.155;
;527;-4537.529;
;573;-4529.62;
;632;-4506.43;
;687;-4463.244;
;711;-4406.557;
;720;-4348.59;
;781;-4293.008;
;928;-4231.95;
;1105;-4157.744;
;1214;-4068.826;
;1228;-3963.378;
;1203;-3836.575;
;1191;-3684.652;
;1183;-3511.067;
;1146;-3328.793;
;1089;-3155.202;
;1062;-2997.898;
;1073;-2850.922;
;1078;-2706.191;
;1053;-2561.409;
;1031;-2415.246;
;1037;-2268.678;
;1047;-2129.63;
;1013;-2004.436;
;918;-1887.725;
;807;-1771.06;
;739;-1655.032;
