–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡¿Õ‰ÂÂ‚ ƒ √_› √_01_11_2ˆ016.crv_2_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;1456;-131.7179;
-0.02122877;1344;-117.4159;
-0.02578321;1191;-106.8485;
-0.02969806;1058;-100.9777;
-0.02920786;1001;-106.5727;
-0.03152617;997;-132.4159;
-0.03581784;960;-181.0407;
-0.04093812;877;-245.9351;
-0.04635295;823;-317.2047;
-0.05216198;850;-388.0941;
-0.05685086;917;-458.5441;
-0.06011757;951;-534.68;
-0.05858566;921;-622.7453;
-0.05842378;849;-721.1276;
-0.06065361;792;-821.1115;
-0.05845338;791;-916.8561;
-0.06100743;820;-1011.494;
-0.0608493;820;-1113.448;
-0.06255765;778;-1226.373;
-0.06710602;732;-1343.308;
-0.06686705;699;-1452.606;
-0.05783848;657;-1549.729;
-0.06311763;609;-1640.139;
-0.0642321;594;-1730.595;
-0.06654517;616;-1821.578;
-0.06865116;612;-1907.043;
-0.06403776;541;-1980.375;
-0.06371848;453;-2040.612;
-0.06076288;415;-2094.387;
-0.05793952;433;-2148.08;
-0.06680156;477;-2200.906;
-0.06466153;520;-2247.232;
-0.05853221;532;-2285.472;
-0.06118528;483;-2320.385;
-0.06440077;379;-2356.854;
-0.06171774;271;-2393.926;
-0.05564747;216;-2425.635;
-0.04932353;245;-2442.731;
-0.05675675;343;-2434.795;
-0.06284994;436;-2398.257;
-0.06052688;466;-2341.258;
-0.06928517;459;-2274.911;
-0.07756215;477;-2201.202;
-0.08440998;519;-2116.018;
-0.08431454;524;-2016.668;
-0.08448301;453;-1901.761;
-0.08680407;349;-1768.268;
-0.1005147;281;-1614.346;
-0.1047444;269;-1442.22;
-0.09495111;272;-1257.084;
-0.09996357;256;-1063.917;
-0.1001145;235;-865.7737;
-0.1077441;232;-665.1266;
-0.09355988;227;-466.0477;
-0.08491337;188;-273.6484;
-0.08072823;117;-91.12351;
-0.07853086;42;80.53463;
-0.08229263;-14;243.0388;
-0.09267239;-42;397.3535;
-0.07502018;-47;536.9327;
-0.0584675;-33;647.9697;
-0.06284614;-1;721.5593;
-0.04117477;35;760.6398;
-0.0323512;61;773.0972;
-0.05067954;88;765.2881;
-0.0410386;139;741.7585;
-0.01999021;212;705.691;
0.009037151;290;654.8774;
0.00619929;368;584.9374;
0.04129954;433;497.6804;
0.04622333;455;404.2808;
0.05585063;422;313.827;
0.07953997;358;222.3153;
0.2038978;320;121.0782;
0.2038978;335;15.70296;
0.2038978;373;-72.65659;
0.2038978;375;-128.8227;
0.2038978;330;-157.6845;
0.2025881;284;-174.4924;
0.2020685;279;-187.9498;
0.2003324;302;-197.7328;
0.1993152;318;-198.985;
0.1982981;314;-183.8171;
0.1950663;321;-144.784;
0.1865432;377;-80.54811;
0.1805785;464;4.23821;
0.1746138;497;103.0686;
0.1677951;426;209.4779;
0.1614217;302;320.6289;
0.1483242;221;440.1872;
0.1362953;231;571.2042;
0.1227932;303;704.8932;
0.1087031;394;822.5655;
0.09363598;481;912.5219;
0.08067812;556;980.6293;
0.06837791;609;1041.363;
0.05200338;638;1100.771;
0.03944121;657;1153.46;
0.02851593;679;1194.9;
0.01389797;710;1226.944;
;736;1250.739;
;733;1265.706;
;694;1277.832;
;639;1296.175;
;571;1318.241;
;466;1330.604;
;328;1325.284;
;202;1308.177;
;125;1290.638;
;110;1279.359;
;149;1275.824;
;197;1281.331;
;194;1297.493;
;149;1322.766;
;131;1352.646;
;176;1386.956;
;234;1430.424;
;239;1485.299;
;189;1547.443;
;136;1614.103;
;104;1689.854;
;73;1780.757;
;42;1885.396;
;46;1994.824;
;121;2097.438;
;256;2185.663;
