Результат свертки 1 файлаАндреев Данила Нейроинтерфейс_ЭКГ_08_11_2016.crv_2_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;1287;-114.5794;
-0.02122877;934;-17.79281;
-0.02578321;778;99.47223;
-0.02969806;915;194.83;
-0.02920786;1036;254.1306;
-0.03152617;876;288.9359;
-0.03581784;599;315.4334;
-0.04093812;542;347.8792;
-0.04635295;754;402.8271;
-0.05216198;992;489.7467;
-0.05685086;1026;592.5568;
-0.06011757;819;683.8616;
-0.05858566;505;764.9196;
-0.05842378;282;864.4141;
-0.06065361;263;988.8298;
-0.05845338;410;1102.931;
-0.06100743;623;1169.509;
-0.0608493;854;1185.705;
-0.06255765;1070;1180.252;
-0.06710602;1162;1194.253;
-0.06686705;1007;1256.904;
-0.05783848;709;1360.742;
-0.06311763;578;1464.239;
-0.0642321;729;1528.44;
-0.06654517;890;1546.562;
-0.06865116;817;1535.479;
-0.06403776;667;1511.444;
-0.06371848;742;1485.143;
-0.06076288;1057;1473.104;
-0.05793952;1356;1488.673;
-0.06680156;1427;1515.557;
-0.06466153;1232;1519.626;
-0.05853221;878;1498.444;
-0.06118528;554;1485.392;
-0.06440077;423;1493.876;
-0.06171774;521;1491.968;
-0.05564747;748;1441.961;
-0.04932353;983;1339.573;
-0.05675675;1155;1213.726;
-0.06284994;1175;1108.214;
-0.06052688;948;1055.586;
-0.06928517;586;1049.259;
-0.07756215;422;1046.15;
-0.08440998;583;1004.33;
-0.08431454;768;913.4987;
-0.08448301;690;790.017;
-0.08680407;503;653.0455;
-0.1005147;519;516.2612;
-0.1047444;757;397.6619;
-0.09495111;985;311.3362;
-0.09996357;1017;243.8063;
-0.1001145;823;165.4591;
-0.1077441;501;76.16587;
-0.09355988;225;6.637714;
-0.08491337;139;-33.75124;
-0.08072823;257;-76.14083;
-0.07853086;488;-151.7794;
-0.08229263;728;-258.9138;
-0.09267239;895;-369.4648;
-0.07502018;894;-446.6864;
-0.0584675;653;-464.9066;
-0.06284614;290;-432.2525;
-0.04117477;94;-389.1305;
-0.0323512;188;-373.6953;
-0.05067954;306;-394.1308;
-0.0410386;194;-436.2252;
-0.01999021;-4;-485.3355;
0.009037151;17;-529.4382;
0.00619929;277;-549.2756;
0.04129954;525;-530.4269;
0.04622333;547;-487.348;
0.05585063;316;-451.7148;
0.07953997;-52;-429.1257;
0.2038978;-364;-394.9796;
0.2038978;-480;-340.0391;
0.2038978;-396;-291.5938;
0.2038978;-212;-281.9041;
0.2038978;-16;-316.3794;
0.2025881;139;-370.9982;
0.2020685;158;-404.7054;
0.2003324;-55;-382.3231;
0.1993152;-407;-303.9014;
0.1982981;-618;-208.5452;
0.1950663;-570;-140.0169;
0.1865432;-496;-112.874;
0.1805785;-607;-112.8626;
0.1746138;-756;-119.1301;
0.1677951;-670;-113.9022;
0.1614217;-362;-77.35015;
0.1483242;-81;2.458044;
0.1362953;-16;106.9491;
0.1227932;-184;198.9841;
0.1087031;-475;270.3669;
0.09363598;-718;350.1941;
0.08067812;-774;455.5065;
0.06837791;-624;561.7388;
0.05200338;-353;633.5436;
0.03944121;-64;663.7345;
0.02851593;165;678.054;
0.01389797;243;719.5429;
;87;822.5065;
;-200;984.8359;
;-329;1166.513;
;-194;1325.04;
;-53;1445.488;
;-136;1537.847;
;-278;1616.25;
;-197;1694.008;
;98;1791.407;
