Результат свертки 1 файлаАндреев Данила Нейроинтерфейс_ЭКГ_08_11ы_2016.crv_1_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;382;-2646.419;
-0.02122877;362;-2524.173;
-0.02578321;350;-2403.257;
-0.02969806;368;-2278.418;
-0.02920786;418;-2154.712;
-0.03152617;483;-2038.718;
-0.03581784;541;-1931.64;
-0.04093812;573;-1830.48;
-0.04635295;554;-1729.168;
-0.05216198;478;-1622.434;
-0.05685086;407;-1513.047;
-0.06011757;428;-1412.518;
-0.05858566;539;-1330.332;
-0.05842378;644;-1265.9;
-0.06065361;682;-1213.137;
-0.05845338;694;-1167.14;
-0.06100743;736;-1122.095;
-0.0608493;821;-1069.522;
-0.06255765;919;-1007.57;
-0.06710602;986;-946.6698;
-0.06686705;983;-899.2554;
-0.05783848;917;-866.1082;
-0.06311763;849;-838.3425;
-0.0642321;852;-808.7264;
-0.06654517;945;-775.7115;
-0.06865116;1085;-740.1915;
-0.06403776;1216;-703.8078;
-0.06371848;1301;-666.172;
-0.06076288;1309;-621.0715;
-0.05793952;1226;-562.1859;
-0.06680156;1120;-491.9112;
-0.06466153;1106;-420.5231;
-0.05853221;1198;-356.9138;
-0.06118528;1299;-302.7763;
-0.06440077;1340;-253.8349;
-0.06171774;1345;-202.544;
-0.05564747;1362;-141.5345;
-0.04932353;1410;-66.43776;
-0.05675675;1480;20.16171;
-0.06284994;1545;107.3007;
-0.06052688;1568;182.4475;
-0.06928517;1534;244.0828;
-0.07756215;1487;301.4406;
-0.08440998;1495;360.7469;
-0.08431454;1581;418.1368;
-0.08448301;1713;466.8731;
-0.08680407;1840;504.3244;
-0.1005147;1929;533.1457;
-0.1047444;1953;559.9706;
-0.09495111;1903;591.1048;
-0.09996357;1848;625.3379;
-0.1001145;1876;653.5836;
-0.1077441;1987;667.5916;
-0.09355988;2092;666.5602;
-0.08491337;2147;654.2106;
-0.08072823;2192;636.1144;
-0.07853086;2252;620.5339;
-0.08229263;2299;616.6459;
-0.09267239;2314;624.8909;
-0.07502018;2312;633.2455;
-0.0584675;2293;630.1631;
-0.06284614;2259;617.5607;
-0.04117477;2237;604.9111;
-0.0323512;2264;597.785;
-0.05067954;2333;595.4951;
-0.0410386;2420;593.8411;
-0.01999021;2510;588.2438;
0.009037151;2584;579.3202;
0.00619929;2594;574.5107;
0.04129954;2525;581.5702;
0.04622333;2443;599.1401;
0.05585063;2442;619.1282;
0.07953997;2529;633.1771;
0.2038978;2616;636.4517;
0.2038978;2638;628.0853;
0.2038978;2614;612.2657;
0.2038978;2596;598.0398;
0.2038978;2613;595.5101;
0.2025881;2647;605.3837;
0.2020685;2667;615.7398;
0.2003324;2653;613.1466;
0.1993152;2615;597.4048;
0.1982981;2589;578.7099;
0.1950663;2587;565.2982;
0.1865432;2603;556.9597;
0.1805785;2627;547.4273;
0.1746138;2654;529.6204;
0.1677951;2674;502.5251;
0.1614217;2643;475.1138;
0.1483242;2534;457.8959;
0.1362953;2407;451.1468;
0.1227932;2374;443.6051;
0.1087031;2454;424.2664;
0.09363598;2540;391.1262;
0.08067812;2539;350.5594;
0.06837791;2472;310.0251;
0.05200338;2407;276.9704;
0.03944121;2388;257.3102;
0.02851593;2410;249.3982;
0.01389797;2418;240.0711;
;2356;218.3977;
;2241;187.5447;
;2151;158.6599;
;2133;136.2345;
;2162;117.2493;
;2202;96.61494;
;2244;70.96584;
;2270;42.40943;
;2229;20.49896;
;2105;13.9142;
;1972;20.7312;
;1911;30.6631;
;1908;33.8877;
;1884;27.1352;
;1807;12.70771;
;1719;-3.165292;
;1662;-9.820048;
;1638;3.905045;
;1628;39.2893;
;1602;82.09274;
;1532;115.5091;
;1421;137.3879;
;1310;158.0459;
;1244;184.4015;
;1237;215.3607;
;1267;246.0246;
;1302;272.3036;
;1316;294.0991;
;1265;318.4725;
;1116;354.8516;
;938;404.8567;
;854;459.9157;
;896;509.1635;
;966;547.2735;
;980;576.5726;
;955;604.2114;
;936;638.7804;
