Результат свертки 1 файлаАндреев Данила Нейроинтерфейс_ЭКвафГ_08_11_2016.crv_1_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;276;-6121.517;
-0.02122877;260;-6141.635;
-0.02578321;169;-6140.681;
-0.02969806;68;-6122.898;
-0.02920786;54;-6101.119;
-0.03152617;130;-6084.302;
-0.03581784;209;-6071.195;
-0.04093812;236;-6057.006;
-0.04635295;234;-6037.626;
-0.05216198;232;-6006.81;
-0.05685086;241;-5956.327;
-0.06011757;259;-5885.778;
-0.05858566;265;-5806.717;
-0.05842378;219;-5730.628;
-0.06065361;138;-5658.25;
-0.05845338;88;-5582.748;
-0.06100743;115;-5500.597;
-0.0608493;200;-5412.777;
-0.06255765;296;-5321.832;
-0.06710602;375;-5228.996;
-0.06686705;414;-5132.701;
-0.05783848;389;-5027.323;
-0.06311763;301;-4908.013;
-0.0642321;221;-4776.595;
-0.06654517;231;-4640.133;
-0.06865116;318;-4506.506;
-0.06403776;397;-4380.098;
-0.06371848;426;-4261.212;
-0.06076288;428;-4145.997;
-0.05793952;439;-4025.804;
-0.06680156;469;-3890.558;
-0.06466153;515;-3738.537;
-0.05853221;555;-3581.823;
-0.06118528;562;-3434.596;
-0.06440077;535;-3296.859;
-0.06171774;513;-3158.002;
-0.05564747;538;-3013.313;
-0.04932353;611;-2866.57;
-0.05675675;700;-2722.742;
-0.06284994;774;-2584.444;
-0.06052688;808;-2451.398;
-0.06928517;782;-2318.58;
-0.07756215;699;-2179.348;
-0.08440998;618;-2033.277;
-0.08431454;619;-1887.683;
-0.08448301;704;-1750.558;
-0.08680407;801;-1624.291;
-0.1005147;857;-1507.93;
-0.1047444;880;-1398.567;
-0.09495111;895;-1289.975;
-0.09996357;912;-1173.311;
-0.1001145;937;-1046.736;
-0.1077441;955;-920.8693;
-0.09355988;937;-808.8801;
-0.08491337;886;-712.4318;
-0.08072823;858;-623.976;
-0.07853086;901;-538.3413;
-0.08229263;1001;-455.4391;
-0.09267239;1110;-376.7611;
-0.07502018;1201;-303.4228;
-0.0584675;1265;-235.682;
-0.06284614;1268;-169.086;
-0.04117477;1198;-97.94639;
-0.0323512;1122;-23.29037;
-0.05067954;1143;46.62106;
-0.0410386;1266;104.2781;
-0.01999021;1394;147.4748;
0.009037151;1456;178.1908;
0.00619929;1476;201.6364;
0.04129954;1510;226.46;
0.04622333;1569;260.9326;
0.05585063;1631;304.7773;
0.07953997;1672;347.1933;
0.2038978;1684;377.2896;
0.2038978;1681;395.6574;
0.2038978;1694;410.9792;
0.2038978;1750;428.4409;
0.2038978;1850;447.2381;
0.2025881;1972;463.8145;
0.2020685;2092;476.4183;
0.2003324;2178;487.137;
0.1993152;2196;502.8953;
0.1982981;2140;530.1552;
0.1950663;2079;567.7449;
0.1865432;2095;606.4971;
0.1805785;2191;637.0064;
0.1746138;2294;657.0009;
0.1677951;2348;670.8427;
0.1614217;2363;683.7035;
0.1483242;2374;700.7177;
0.1362953;2397;728.8204;
0.1227932;2429;770.0588;
0.1087031;2463;814.4224;
0.09363598;2484;848.8292;
0.08067812;2477;871.1005;
0.06837791;2464;887.3625;
0.05200338;2477;901.4316;
0.03944121;2526;912.4704;
0.02851593;2589;919.6701;
0.01389797;2651;921.7594;
;2703;918.3029;
;2703;912.7087;
;2624;911.0403;
;2530;914.3768;
;2519;916.7075;
;2605;909.5577;
