Результат свертки 1 файлаАфонин Нейроинтерфейс_ЭКГ_02_11_2016.crv_1_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;-199;1972.792;
-0.02122877;-156;1905.381;
-0.02578321;-141;1834.598;
-0.02969806;-138;1758.607;
-0.02920786;-138;1674.292;
-0.03152617;-142;1579.614;
-0.03581784;-131;1477.351;
-0.04093812;-69;1373.083;
-0.04635295;40;1269.983;
-0.05216198;158;1169.397;
-0.05685086;251;1074.699;
-0.06011757;317;990.9004;
-0.05858566;358;921.3302;
-0.05842378;372;867.0457;
-0.06065361;367;827.4123;
-0.05845338;355;801.0682;
-0.06100743;351;786.0279;
-0.0608493;363;779.981;
-0.06255765;384;781.2639;
-0.06710602;385;790.4409;
-0.06686705;346;810.7813;
-0.05783848;288;846.2827;
-0.06311763;256;897.4237;
-0.0642321;259;959.3929;
-0.06654517;282;1025.93;
-0.06865116;307;1093.415;
-0.06403776;310;1159.361;
-0.06371848;260;1219.708;
-0.06076288;154;1270.412;
-0.05793952;45;1309.96;
-0.06680156;-8;1337.858;
-0.06466153;4;1353.749;
-0.05853221;41;1359.328;
-0.06118528;64;1357.602;
-0.06440077;66;1346.545;
-0.06171774;71;1320.288;
-0.05564747;103;1275.212;
-0.04932353;155;1210.227;
-0.05675675;190;1125.313;
-0.06284994;174;1025.361;
-0.06052688;111;923.1042;
-0.06928517;47;830.5754;
-0.07756215;35;749.6213;
-0.08440998;87;674.0068;
-0.08431454;157;596.1317;
-0.08448301;200;512.1763;
-0.08680407;216;424.6969;
-0.1005147;234;341.741;
-0.1047444;259;268.3606;
-0.09495111;261;203.7007;
-0.09996357;234;144.6664;
-0.1001145;196;91.73115;
-0.1077441;153;49.36993;
-0.09355988;104;24.08871;
-0.08491337;80;19.84669;
-0.08072823;128;34.03328;
-0.07853086;226;58.29099;
-0.08229263;302;85.09322;
-0.09267239;303;111.6148;
-0.07502018;229;138.2325;
-0.0584675;137;165.6124;
-0.06284614;101;192.7309;
-0.04117477;160;216.9295;
-0.0323512;269;235.7904;
-0.05067954;376;247.1136;
-0.0410386;470;250.5033;
-0.01999021;568;248.3988;
0.009037151;673;245.428;
0.00619929;771;243.6347;
0.04129954;849;241.4043;
0.04622333;901;234.7022;
0.05585063;949;223.0913;
0.07953997;1009;212.7516;
0.2038978;1072;210.6858;
0.2038978;1128;216.6866;
0.2038978;1196;222.5845;
0.2038978;1299;219.5207;
0.2038978;1410;202.3102;
0.2025881;1475;169.6725;
0.2020685;1479;124.5065;
0.2003324;1467;72.82034;
0.1993152;1482;19.20695;
0.1982981;1523;-33.55705;
0.1950663;1574;-85.42371;
0.1865432;1621;-139.7075;
0.1805785;1644;-199.1123;
0.1746138;1630;-261.4307;
0.1677951;1595;-324.4605;
0.1614217;1574;-393.1102;
0.1483242;1584;-473.6965;
0.1362953;1592;-565.2496;
0.1227932;1568;-662.2075;
0.1087031;1517;-761.1611;
0.09363598;1472;-859.5131;
0.08067812;1455;-955.4664;
0.06837791;1449;-1050.899;
0.05200338;1436;-1147.523;
0.03944121;1419;-1239.475;
0.02851593;1408;-1316.773;
0.01389797;1395;-1373.837;
;1370;-1412.135;
;1338;-1433.639;
;1319;-1436.102;
;1315;-1413.096;
;1302;-1360.145;
;1264;-1281.764;
;1208;-1191.959;
;1157;-1102.327;
;1124;-1013.097;
;1110;-916.3226;
;1102;-805.0081;
;1089;-676.5979;
;1072;-532.5079;
;1063;-379.3035;
;1073;-227.6843;
;1098;-86.41439;
;1132;40.08969;
;1159;149.0083;
;1154;239.4764;
;1105;312.984;
;1053;371.4618;
;1050;418.1385;
;1097;457.6656;
;1159;490.9124;
;1201;510.69;
