–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡¿ÙÓÌËÌ ÕÂÈÓËÌÚÂÙÂÈÒ_› √_02_11˚_2016.crv_1_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;1365;1065.552;
-0.02122877;1396;1067.944;
-0.02578321;1406;1073.66;
-0.02969806;1422;1077.478;
-0.02920786;1449;1078.248;
-0.03152617;1446;1079.763;
-0.03581784;1366;1089.928;
-0.04093812;1216;1114.353;
-0.04635295;1053;1150.937;
-0.05216198;919;1190.411;
-0.05685086;818;1224.811;
-0.06011757;735;1252.419;
-0.05858566;647;1274.319;
-0.05842378;540;1288.474;
-0.06065361;415;1292.227;
-0.05845338;282;1289.084;
-0.06100743;144;1283.807;
-0.0608493;11;1273.356;
-0.06255765;-103;1249.937;
-0.06710602;-211;1214.833;
-0.06686705;-344;1176.239;
-0.05783848;-504;1136.983;
-0.06311763;-644;1090.968;
-0.0642321;-715;1031.733;
-0.06654517;-715;956.0441;
-0.06865116;-686;865.449;
-0.06403776;-676;767.8101;
-0.06371848;-700;672.041;
-0.06076288;-745;579.2414;
-0.05793952;-790;483.6069;
-0.06680156;-813;383.8594;
-0.06466153;-789;284.0087;
-0.05853221;-714;186.8888;
-0.06118528;-606;92.03695;
-0.06440077;-493;-0.3802386;
-0.06171774;-409;-89.60191;
-0.05564747;-356;-175.2696;
-0.04932353;-294;-256.6077;
-0.05675675;-202;-331.8734;
-0.06284994;-111;-399.5267;
-0.06052688;-52;-459.5137;
-0.06928517;-32;-514.1257;
-0.07756215;-27;-566.9092;
-0.08440998;-13;-616.6378;
-0.08431454;15;-656.7122;
-0.08448301;51;-683.2687;
-0.08680407;81;-700.7121;
-0.1005147;101;-714.8552;
-0.1047444;103;-726.51;
-0.09495111;80;-735.6501;
-0.09996357;61;-742.9866;
-0.1001145;67;-747.6939;
-0.1077441;79;-749.3757;
-0.09355988;66;-753.9455;
-0.08491337;31;-767.9042;
-0.08072823;1;-788.171;
-0.07853086;-16;-803.8347;
-0.08229263;-37;-807.7913;
-0.09267239;-66;-802.4718;
-0.07502018;-73;-795.6076;
-0.0584675;-44;-793.7302;
-0.06284614;-13;-797.2656;
-0.04117477;-29;-803.3054;
-0.0323512;-76;-813.2656;
-0.05067954;-95;-833.843;
-0.0410386;-65;-869.3672;
-0.01999021;-23;-915.8757;
0.009037151;-12;-964.5382;
0.00619929;-26;-1008.522;
0.04129954;-24;-1047.71;
0.04622333;24;-1087.792;
0.05585063;91;-1133.583;
0.07953997;114;-1184.703;
0.2038978;80;-1238.838;
0.2038978;26;-1293.741;
0.2038978;-21;-1345.716;
0.2038978;-45;-1391.024;
0.2038978;-25;-1431.146;
0.2025881;40;-1472.387;
0.2020685;101;-1518.158;
0.2003324;119;-1564.963;
0.1993152;106;-1604.084;
0.1982981;84;-1628.555;
0.1950663;64;-1640.629;
0.1865432;53;-1648.311;
0.1805785;71;-1655.344;
0.1746138;113;-1658.621;
0.1677951;155;-1653.749;
0.1614217;170;-1637.349;
0.1483242;147;-1607.515;
0.1362953;115;-1568.686;
0.1227932;112;-1530.418;
0.1087031;145;-1499.793;
0.09363598;190;-1476.795;
0.08067812;221;-1456.707;
0.06837791;225;-1433.492;
0.05200338;193;-1404.707;
0.03944121;130;-1373.886;
0.02851593;50;-1346.319;
0.01389797;-17;-1323.598;
;-42;-1304.153;
;-28;-1285.722;
;-9;-1266.615;
;-18;-1248.894;
;-37;-1238.562;
;-25;-1239.191;
;26;-1246.818;
;85;-1253.735;
;114;-1253.94;
;103;-1244.038;
;70;-1223.676;
;44;-1199.271;
;31;-1178.772;
;37;-1164.103;
;63;-1151.201;
;104;-1135.133;
;141;-1112.314;
;179;-1081.669;
;225;-1046.05;
;272;-1010.739;
;308;-976.162;
;332;-936.6198;
;337;-886.782;
;304;-827.3856;
;249;-766.1538;
;210;-713.37;
;201;-673.0983;
;190;-638.9616;
;164;-600.006;
;140;-552.3742;
;135;-503.0155;
;138;-459.631;
;138;-423.5996;
;152;-392.0686;
;200;-360.7059;
;260;-324.6883;
;290;-283.8549;
;300;-243.6926;
;309;-211.6632;
;303;-189.2531;
;263;-169.7712;
;222;-143.555;
;208;-106.8774;
;219;-64.79329;
;259;-26.47722;
;343;2.809881;
;434;25.17836;
;477;46.60125;
;456;70.29866;
;409;94.23875;
;371;115.9975;
;357;137.8669;
;348;163.1038;
;324;190.5116;
;298;216.2553;
;307;240.1652;
;359;265.8728;
;433;296.3045;
;491;328.2999;
;515;355.0168;
;505;373.6418;
;493;389.1474;
;493;408.1118;
;493;432.1669;
;476;458.3182;
;457;482.4831;
;457;500.4489;
;487;511.4065;
;540;521.7888;
;596;539.2991;
;617;563.4474;
;581;586.6618;
;517;602.0215;
;477;607.2732;
;481;603.2801;
;510;594.1365;
;542;586.9556;
;558;586.895;
;524;590.9626;
;437;591.746;
;345;587.414;
;311;584.2933;
;341;587.5808;
;397;592.9139;
;463;590.843;
;545;576.1547;
;618;553.4327;
;622;533.9828;
;573;526.8344;
;559;531.8729;
;621;544.0862;
;679;561.8682;
;672;587.9003;
;643;621.8753;
;661;656.1172;
;719;681.4104;
;776;696.5764;
;811;708.8138;
;819;726.0753;
;807;751.018;
;797;782.1501;
;804;817.4823;
;793;853.7512;
;741;884.4514;
;673;901.2822;
;630;899.4938;
;616;881.3864;
;613;854.5948;
;606;828.3379;
;589;809.4352;
;566;797.6125;
;541;783.6808;
;512;756.2846;
;482;710.0197;
;467;647.3522;
;461;575.5439;
;443;502.0732;
;410;428.0077;
;390;347.0535;
;391;256.0921;
;393;162.0664;
;393;75.92273;
;393;0.7584797;
;394;-67.91821;
;409;-137.4543;
;464;-213.6429;
;538;-297.4737;
;559;-381.9242;
;493;-455.9128;
;385;-512.1755;
;308;-553.8579;
;292;-590.5737;
;319;-629.4566;
;345;-670.4161;
;350;-710.0453;
;364;-745.589;
;410;-777.1798;
;462;-805.3892;
;474;-828.6782;
;444;-843.4648;
;405;-848.0397;
;382;-844.7991;
;376;-838.4655;
;369;-832.2083;
;357;-826.9672;
;354;-821.3034;
;358;-812.978;
;351;-799.8104;
;327;-781.426;
;316;-759.2457;
;345;-736.4604;
;392;-712.6976;
;411;-683.4849;
;363;-646.6432;
;262;-608.7;
;178;-578.8134;
;157;-558.358;
;178;-540.2872;
;191;-518.9594;
;170;-494.8316;
;111;-469.7282;
;28;-443.3226;
;-29;-415.5775;
;-25;-390.2404;
;34;-371.4272;
;108;-359.9903;
;153;-354.4687;
;150;-352.618;
;110;-349.7219;
;63;-340.7269;
;33;-325.7701;
;32;-312.5454;
;60;-309.222;
;95;-316.2376;
;116;-325.7012;
;134;-329.4865;
;169;-325.6983;
;208;-318.3912;
;217;-312.0118;
;190;-307.062;
;146;-298.5207;
;91;-279.7828;
;24;-248.6653;
;-11;-208.4995;
;11;-163.6578;
;60;-115.3504;
;85;-62.48389;
;63;-1.834642;
;8;73.505;
;-51;170.5895;
;-81;289.5927;
;-67;424.7004;
;-46;571.4875;
;-63;731.5718;
;-117;908.2398;
;-165;1101.728;
;-160;1308.749;
;-88;1526.247;
;15;1754.828;
;81;1997.603;
;67;2255.541;
;8;2527.509;
