–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡¿ÙÓÌËÌ ÕËÍËÚ‡_› √_31_10_2016.crv_2_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;974;-6506.093;
-0.02122877;867;-6316.36;
-0.02578321;748;-6121.861;
-0.02969806;674;-5937.095;
-0.02920786;665;-5769.093;
-0.03152617;721;-5616.605;
-0.03581784;829;-5474.141;
-0.04093812;946;-5334.466;
-0.04635295;1017;-5189.022;
-0.05216198;1026;-5032.199;
-0.05685086;987;-4864.956;
-0.06011757;915;-4693.578;
-0.05858566;821;-4523.852;
-0.05842378;737;-4361.136;
-0.06065361;715;-4210.717;
-0.05845338;780;-4076.094;
-0.06100743;909;-3956.361;
-0.0608493;1065;-3845.89;
-0.06255765;1213;-3736.593;
-0.06710602;1307;-3620.715;
-0.06686705;1299;-3496.153;
-0.05783848;1200;-3367.882;
-0.06311763;1084;-3244.236;
-0.0642321;1015;-3132.554;
-0.06654517;1006;-3038.915;
-0.06865116;1065;-2966.726;
-0.06403776;1195;-2915.013;
-0.06371848;1351;-2877.193;
-0.06076288;1460;-2841.878;
-0.05793952;1494;-2798.574;
-0.06680156;1476;-2744.685;
-0.06466153;1413;-2686.097;
-0.05853221;1300;-2629.516;
-0.06118528;1189;-2580.208;
-0.06440077;1153;-2545.005;
-0.06171774;1214;-2528.155;
-0.05564747;1331;-2525.302;
-0.04932353;1458;-2526.797;
-0.05675675;1564;-2524.96;
-0.06284994;1612;-2514.072;
-0.06052688;1574;-2489.602;
-0.06928517;1474;-2452.69;
-0.07756215;1380;-2411.585;
-0.08440998;1343;-2375.977;
-0.08431454;1367;-2352.426;
-0.08448301;1438;-2341.899;
-0.08680407;1553;-2341.458;
-0.1005147;1690;-2345.069;
-0.1047444;1806;-2343.757;
-0.09495111;1870;-2329.073;
-0.09996357;1877;-2299.409;
-0.1001145;1846;-2259.809;
-0.1077441;1799;-2216.288;
-0.09355988;1763;-2174.882;
-0.08491337;1767;-2143.34;
-0.08072823;1825;-2126.883;
-0.07853086;1941;-2123.605;
-0.08229263;2096;-2127.429;
-0.09267239;2250;-2132.213;
-0.07502018;2341;-2129.966;
-0.0584675;2325;-2114.323;
-0.06284614;2228;-2087.522;
-0.04117477;2129;-2059.874;
-0.0323512;2084;-2041.763;
-0.05067954;2084;-2037.735;
-0.0410386;2126;-2048.19;
-0.01999021;2226;-2071.749;
0.009037151;2356;-2103.453;
0.00619929;2444;-2132.193;
0.04129954;2463;-2147.267;
0.04622333;2437;-2148;
0.05585063;2368;-2142.368;
