–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡¿ÙÓÌËÌ ÕËÍËÚ‡_› √_31_10_201‚6.crv_2_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;2947;214.1009;
-0.02122877;2942;187.182;
-0.02578321;2921;157.084;
-0.02969806;2857;124.0585;
-0.02920786;2761;92.04162;
-0.03152617;2660;65.2607;
-0.03581784;2580;44.62487;
-0.04093812;2517;26.99478;
-0.04635295;2457;9.191354;
-0.05216198;2400;-9.375918;
-0.05685086;2351;-27.40314;
-0.06011757;2307;-43.44555;
-0.05858566;2245;-55.62519;
-0.05842378;2155;-61.49899;
-0.06065361;2060;-59.69978;
-0.05845338;1994;-51.61887;
-0.06100743;1953;-40.8265;
-0.0608493;1908;-30.71873;
-0.06255765;1845;-22.25306;
-0.06710602;1774;-14.7099;
-0.06686705;1701;-6.560241;
-0.05783848;1618;3.769892;
-0.06311763;1533;18.07489;
-0.0642321;1461;36.88011;
-0.06654517;1405;58.55951;
-0.06865116;1339;81.09368;
-0.06403776;1258;105.1603;
-0.06371848;1184;131.8859;
-0.06076288;1136;159.4111;
-0.05793952;1101;183.3358;
-0.06680156;1057;199.3672;
-0.06466153;1004;207.3105;
-0.05853221;956;211.4936;
-0.06118528;909;217.2342;
-0.06440077;849;225.7085;
-0.06171774;776;233.8382;
-0.05564747;701;238.3781;
-0.04932353;626;238.5441;
-0.05675675;557;234.2599;
-0.06284994;510;225.7881;
-0.06052688;491;214.5201;
-0.06928517;485;201.6467;
-0.07756215;472;186.8732;
-0.08440998;456;169.2734;
-0.08431454;442;148.2669;
-0.08448301;421;124.8583;
-0.08680407;388;100.3899;
-0.1005147;355;75.57751;
-0.1047444;327;50.06242;
-0.09495111;302;23.37879;
-0.09996357;277;-4.440059;
-0.1001145;255;-33.25586;
-0.1077441;241;-62.41492;
-0.09355988;234;-88.94281;
-0.08491337;231;-109.5416;
-0.08072823;229;-125.2298;
-0.07853086;226;-140.226;
-0.08229263;213;-158.746;
-0.09267239;182;-181.5496;
-0.07502018;136;-205.9995;
-0.0584675;90;-227.8458;
-0.06284614;61;-243.7137;
-0.04117477;60;-251.797;
-0.0323512;76;-252.2195;
-0.05067954;93;-245.5728;
-0.0410386;103;-233.2104;
-0.01999021;105;-218.0583;
