–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡¿ÙÓÌËÌ ÕËÍËÚ‡_› √_31_10_Ù2016.crv_1_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;733;-764.9551;
-0.02122877;766;-714.0295;
-0.02578321;755;-661.2875;
-0.02969806;703;-614.377;
-0.02920786;636;-572.8911;
-0.03152617;601;-529.6719;
-0.03581784;627;-479.3694;
-0.04093812;689;-426.8655;
-0.04635295;737;-381.6785;
-0.05216198;756;-345.7289;
-0.05685086;764;-312.7215;
-0.06011757;775;-277.9601;
-0.05858566;790;-240.2146;
-0.05842378;803;-199.9365;
-0.06065361;820;-160.7711;
-0.05845338;847;-128.9143;
-0.06100743;864;-108.6167;
-0.0608493;856;-99.85819;
-0.06255765;839;-97.78288;
-0.06710602;841;-95.39097;
-0.06686705;862;-90.22475;
-0.05783848;887;-87.4453;
-0.06311763;918;-93.25728;
-0.0642321;954;-107.4949;
-0.06654517;955;-124.4861;
-0.06865116;896;-140.9457;
-0.06403776;827;-160.1004;
-0.06371848;832;-187.087;
-0.06076288;922;-220.3;
-0.05793952;1012;-252.7194;
-0.06680156;1023;-279.957;
-0.06466153;965;-304.114;
-0.05853221;901;-327.1183;
-0.06118528;871;-345.6972;
-0.06440077;871;-355.6018;
-0.06171774;875;-358.7879;
-0.05564747;862;-362.2799;
-0.04932353;858;-369.6991;
-0.05675675;912;-379.5077;
-0.06284994;1014;-389.68;
-0.06052688;1090;-397.228;
-0.06928517;1105;-395.2693;
-0.07756215;1099;-377.694;
-0.08440998;1100;-346.119;
-0.08431454;1092;-308.8892;
-0.08448301;1078;-274.367;
-0.08680407;1109;-247.3667;
-0.1005147;1205;-226.7636;
-0.1047444;1317;-204.8999;
-0.09495111;1388;-174.9697;
-0.09996357;1410;-139.7984;
-0.1001145;1408;-107.2405;
-0.1077441;1404;-80.53637;
-0.09355988;1406;-57.19661;
-0.08491337;1428;-34.7144;
-0.08072823;1461;-13.96692;
-0.07853086;1479;1.614314;
-0.08229263;1472;9.428875;
-0.09267239;1467;10.76204;
-0.07502018;1484;9.142978;
-0.0584675;1495;7.049376;
-0.06284614;1482;5.819665;
-0.04117477;1477;6.543822;
-0.0323512;1496;8.844671;
-0.05067954;1500;9.834045;
-0.0410386;1456;6.067545;
-0.01999021;1407;-4.889738;
0.009037151;1401;-22.66746;
0.00619929;1420;-43.46146;
0.04129954;1416;-61.59038;
0.04622333;1385;-75.0125;
0.05585063;1354;-85.9739;
0.07953997;1337;-94.99539;
0.2038978;1325;-97.3599;
0.2038978;1312;-90.9971;
0.2038978;1297;-82.99142;
0.2038978;1279;-81.12148;
0.2038978;1265;-84.19633;
0.2025881;1266;-83.42835;
0.2020685;1268;-71.75507;
0.2003324;1238;-47.06158;
0.1993152;1172;-12.33262;
0.1982981;1121;26.34708;
0.1950663;1116;62.73141;
0.1865432;1119;93.36257;
0.1805785;1086;118.4863;
0.1746138;1032;140.6838;
0.1677951;993;160.643;
0.1614217;966;176.9418;
0.1483242;927;189.2905;
0.1362953;882;200.9013;
0.1227932;852;215.5335;
0.1087031;840;235.0654;
0.09363598;812;258.8916;
0.08067812;758;282.5064;
0.06837791;689;298.1418;
0.05200338;621;299.9495;
0.03944121;559;288.7736;
0.02851593;516;271.3998;
0.01389797;494;255.5803;
;469;244.5184;
;442;236.4132;
;441;228.374;
;466;218.1977;
;465;205.0704;
;416;189.1831;
;362;170.289;
;348;146.3891;
;353;117.6812;
;341;89.80058;
;318;68.1426;
;294;51.41729;
;259;34.63771;
;219;16.30616;
;222;-3.647143;
;289;-27.16973;
;356;-57.4233;
;365;-94.54973;
;340;-134.7189;
;331;-170.8786;
;332;-198.1944;
;308;-217.3107;
;255;-232.1513;
;199;-244.9307;
;145;-255.6074;
;85;-264.1967;
;36;-273.0049;
;32;-284.8001;
;81;-299.3532;
;153;-312.218;
;195;-317.844;
;181;-313.1344;
;129;-297.7744;
;76;-274.4685;
;30;-248.8694;
;-9;-225.6779;
;-34;-205.3731;
;-44;-184.9401;
;-41;-159.4434;
;-22;-125.7113;
;4;-86.89495;
;17;-50.64481;
;14;-20.21134;
;-8;9.226086;
;-57;44.00742;
;-119;84.25472;
;-150;123.9004;
;-133;155.7043;
;-77;178.2831;
;-11;198.9192;
;26;225.5066;
;6;256.9796;
;-56;286.8758;
;-111;312.2025;
;-123;333.5669;
;-95;351.5877;
;-61;367.1011;
;-51;382.2223;
;-63;396.7367;
;-67;409.1299;
;-53;421.0017;
;-44;436.3523;
;-46;455.2663;
;-35;473.0323;
;-17;485.0099;
;-34;490.2866;
;-81;490.4215;
;-106;487.1945;
;-76;481.8501;
;-17;475.2042;
;9;466.9284;
;-34;456.5763;
;-114;446.3639;
;-176;439.8366;
;-189;437.4023;
;-155;435.478;
;-118;430.9136;
;-123;422.8345;
;-159;411.5933;
;-163;398.6409;
;-114;387.6161;
;-68;381.242;
;-73;378.8261;
;-104;378.6537;
;-126;381.6155;
;-136;389.5522;
;-140;401.402;
;-128;412.0963;
;-86;417.1667;
;-25;416.82;
;9;416.5179;
;-11;422.559;
;-50;438.0863;
;-58;461.6156;
;-32;488.0771;
;-8;510.864;
;-16;526.3195;
;-36;536.3854;
;-25;545.3085;
;16;555.048;
;34;564.2617;
;10;572.047;
;-23;578.6255;
;-32;583.6196;
;-37;586.6711;
;-78;589.8186;
;-144;593.6122;
;-182;591.8203;
;-165;578.0668;
;-125;555.5679;
;-89;533.3776;
;-55;516.2719;
;-46;504.9757;
;-101;500.0246;
;-208;498.1961;
;-299;491.0427;
;-324;471.6169;
;-288;439.6979;
;-212;400.0285;
;-132;358.7921;
;-102;320.6016;
;-140;285.8987;
;-189;251.5848;
;-195;215.2213;
;-171;178.0623;
;-158;143.6284;
;-161;112.5762;
;-150;80.80662;
;-110;44.00316;
;-67;3.005672;
;-60;-38.34631;
;-84;-77.26645;
;-102;-109.5641;
;-101;-127.6909;
;-100;-131.3968;
;-115;-134.4315;
;-125;-151.3234;
;-104;-180.0785;
;-57;-205.8482;
;-20;-218.5367;
;-17;-220.3999;
;-39;-218.3972;
;-52;-216.0353;
;-45;-211.682;
;-55;-202.3265;
;-114;-187.2079;
;-180;-170.165;
;-179;-157.4707;
;-115;-150.6712;
;-60;-143.687;
;-71;-129.5095;
;-133;-107.7072;
;-204;-82.41224;
;-252;-58.1627;
;-267;-38.9736;
;-252;-27.34757;
;-211;-23.66426;
;-158;-27.61461;
;-114;-38.59907;
;-81;-52.67535;
;-63;-63.32578;
;-62;-65.27217;
;-80;-57.9375;
;-109;-46.8;
;-139;-40.75603;
;-161;-44.15872;
;-152;-53.8898;
;-97;-67.55984;
;-8;-87.68126;
;68;-113.2291;
;85;-137.9373;
;43;-157.8484;
;-12;-173.7523;
;-43;-185.4097;
;-54;-193.0861;
;-56;-200.9306;
;-55;-212.6443;
;-52;-226.5187;
;-48;-238.0439;
;-43;-242.246;
;-50;-232.544;
;-84;-203.0719;
;-123;-152.1141;
;-136;-82.6599;
;-126;0.5479874;
;-128;94.7436;
;-138;200.5911;
;-123;321.2984;
;-71;461.4282;
;-12;626.8603;
;15;822.8184;
;-8;1050.596;
;-60;1308.435;
;-109;1596.339;
;-139;1915.637;
;-153;2263.074;
;-153;2629.593;
;-136;3005.071;
;-93;3384.142;
;-36;3767.423;
;1;4159.628;
;-8;4563.585;
;-61;4973.529;
;-134;5377.29;
;-204;5766.69;
;-247;6141.58;
;-247;6500.701;
;-214;6834.251;
;-176;7129.312;
;-157;7379.586;
;-175;7585.223;
;-221;7747.583;
;-248;7864.54;
;-220;7930.271;
;-164;7936.951;
;-138;7877.254;
;-161;7747.956;
;-194;7552.607;
;-191;7299.741;
;-143;6997.798;
;-90;6651.158;
;-80;6263.213;
;-103;5836.3;
;-107;5368.811;
;-82;4858.325;
;-68;4307.864;
;-76;3720.884;
;-79;3096.552;
;-62;2437.896;
;-43;1760.172;
;-29;1082.474;
;-21;417.0591;
;-31;-228.3582;
;-68;-846.7824;
;-104;-1434.512;
;-103;-1991.823;
;-72;-2519.772;
;-44;-3016.637;
;-27;-3474.539;
;-4;-3880.391;
;27;-4224.432;
;45;-4506.146;
;42;-4729.948;
;31;-4899.065;
;13;-5015.789;
;-15;-5084.376;
;-41;-5110.662;
;-44;-5098.307;
;-21;-5045.962;
;18;-4949.709;
;55;-4809.73;
;74;-4633.712;
;66;-4430.605;
;41;-4206.576;
;17;-3969.537;
;-1;-3731.456;
;-23;-3502.124;
;-50;-3283.162;
;-67;-3070.638;
;-53;-2862.431;
;-10;-2661.605;
;39;-2473.96;
;61;-2303.46;
;39;-2150.347;
;-20;-2015.41;
;-84;-1903.08;
;-113;-1817.887;
;-88;-1759.009;
;-27;-1718.44;
;31;-1684.453;
;64;-1650.401;
;73;-1618.026;
;70;-1590.063;
;54;-1565.145;
;31;-1543.389;
;21;-1527.198;
;30;-1516.381;
;36;-1507.205;
;35;-1498.419;
;66;-1489.135;
;131;-1474.357;
;171;-1448.323;
;151;-1410.395;
;99;-1363.028;
;46;-1309.783;
;-4;-1253.191;
;-30;-1193.819;
;0;-1130.63;
;82;-1061.196;
;170;-979.9056;
;216;-881.6785;
;210;-767.8818;
;172;-647.7939;
;128;-529.9394;
;96;-417.0995;
;83;-307.3122;
;82;-196.4742;
;75;-82.81998;
;65;28.64747;
;72;131.5039;
;102;227.9995;
;134;328.1432;
;154;436.7879;
;161;548.4907;
;130;655.8945;
;34;755.3308;
;-67;842.9867;
;-66;914.2324;
;43;968.9905;
;141;1015.352;
;137;1061.74;
;68;1109.517;
;19;1154.736;
;7;1194.464;
;-4;1227.073;
;-33;1249.404;
;-59;1258.783;
;-63;1255.857;
;-38;1243.114;
;10;1225.903;
;40;1211.828;
;16;1205.176;
;-42;1202.631;
;-76;1199.088;
;-68;1195.166;
;-42;1193.87;
;-17;1193.554;
;5;1189.744;
;39;1180.857;
;91;1168.393;
;137;1152.208;
;134;1131.844;
;78;1110.904;
;10;1097.095;
;-30;1092.65;
;-30;1089.997;
;-2;1079.07;
;31;1057.068;
;54;1030.865;
;80;1010.781;
;117;1000.587;
;127;994.9572;
;94;986.761;
;46;975.5445;
;13;965.032;
;-12;955.783;
;-27;947.3178;
;-11;941.1326;
;28;940.0182;
;63;944.2861;
;81;951.9293;
;84;962.4068;
;60;978.6356;
;0;1003.779;
;-73;1035.402;
;-109;1067.047;
;-80;1093.919;
;-10;1116.755;
;61;1139.597;
;108;1166.118;
;122;1198.142;
;100;1235.813;
;49;1277.027;
;-9;1315.212;
;-61;1343.118;
;-116;1360.398;
;-180;1372.54;
;-222;1382.298;
;-203;1389.048;
;-122;1396.303;
;-25;1409.388;
;44;1428.367;
;74;1451.217;
;86;1478.913;
;120;1510.716;
;189;1539.146;
;262;1555.465;
;307;1559.348;
;356;1558.952;
;476;1566.158;
;670;1589.749;
;869;1630.813;
;1023;1680.756;
;1136;1728.585;
;1243;1770.826;
;1364;1810.992;
;1504;1850;
;1667;1883.823;
;1841;1911.363;
;1994;1936.831;
;2095;1964.227;
;2133;1993.867;
;2120;2023.973;
;2061;2054.916;
;1994;2087.909;
;1984;2120.076;
;2043;2145.595;
;2114;2162.224;
;2172;2173.951;
;2245;2185.941;
;2315;2201.948;
;2304;2222.225;
;2182;2242.112;
;1999;2255.357;
;1804;2261.945;
