–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡¿ÙÓÌËÌ ÕËÍËÚ‡_› √_3Û1_10_2016.crv_2_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;1391;-790.5981;
-0.02122877;1431;-793.0713;
-0.02578321;1429;-775.6661;
-0.02969806;1394;-746.6151;
-0.02920786;1329;-714.4155;
-0.03152617;1258;-683.5921;
-0.03581784;1216;-659.18;
-0.04093812;1213;-646.5112;
-0.04635295;1235;-644.597;
-0.05216198;1276;-645.5508;
-0.05685086;1325;-640.3937;
-0.06011757;1354;-623.7604;
-0.05858566;1331;-595.5231;
-0.05842378;1258;-558.6166;
-0.06065361;1167;-515.1255;
-0.05845338;1092;-467.5198;
-0.06100743;1050;-423.5148;
-0.0608493;1058;-393.3221;
-0.06255765;1120;-381.1811;
-0.06710602;1199;-382.2597;
-0.06686705;1248;-386.7993;
-0.05783848;1258;-384.473;
-0.06311763;1239;-369.008;
-0.0642321;1182;-342.0921;
-0.06654517;1093;-311.4743;
-0.06865116;1020;-286.1306;
-0.06403776;1011;-274.128;
-0.06371848;1062;-278.7653;
-0.06076288;1140;-293.6869;
-0.05793952;1228;-307.0143;
-0.06680156;1312;-312.6596;
-0.06466153;1361;-312.0457;
-0.05853221;1354;-306.6241;
-0.06118528;1302;-294.7322;
-0.06440077;1231;-277.1497;
-0.06171774;1159;-258.8781;
-0.05564747;1105;-245.1225;
-0.04932353;1104;-238.4095;
-0.05675675;1174;-238.2567;
-0.06284994;1285;-240.5929;
-0.06052688;1399;-237.7708;
-0.06928517;1479;-222.5288;
-0.07756215;1486;-192.8236;
-0.08440998;1415;-153.4405;
-0.08431454;1321;-111.2666;
-0.08448301;1259;-72.09337;
-0.08680407;1228;-39.26529;
-0.1005147;1212;-13.9747;
-0.1047444;1223;5.343333;
-0.09495111;1279;21.31751;
-0.09996357;1368;36.47613;
-0.1001145;1445;54.12021;
-0.1077441;1456;78.72937;
-0.09355988;1387;111.7578;
-0.08491337;1276;147.1115;
-0.08072823;1178;174.0929;
-0.07853086;1128;184.9324;
-0.08229263;1148;177.816;
-0.09267239;1233;156.7536;
-0.07502018;1326;131.0661;
-0.0584675;1359;111.1037;
-0.06284614;1314;98.76313;
-0.04117477;1237;85.56409;
-0.0323512;1178;61.35701;
-0.05067954;1144;23.3858;
-0.0410386;1115;-24.73565;
-0.01999021;1091;-79.03333;
0.009037151;1088;-139.6894;
0.00619929;1124;-208.5206;
0.04129954;1195;-283.7865;
0.04622333;1273;-359.5856;
0.05585063;1312;-429.6909;
0.07953997;1280;-489.5676;
0.2038978;1193;-538.5645;
0.2038978;1107;-581.8826;
0.2038978;1062;-627.9098;
0.2038978;1063;-681.7971;
0.2038978;1107;-743.8781;
0.2025881;1190;-810.6221;
0.2020685;1277;-874.4783;
0.2003324;1319;-925.2217;
0.1993152;1307;-958.2811;
0.1982981;1273;-976.4977;
0.1950663;1231;-981.1291;
0.1865432;1168;-969.5811;
0.1805785;1086;-946.1436;
0.1746138;1030;-925.1664;
0.1677951;1036;-916.5014;
0.1614217;1087;-915.0187;
0.1483242;1149;-909.2276;
0.1362953;1207;-892.037;
0.1227932;1247;-861.3809;
0.1087031;1228;-819.3574;
0.09363598;1144;-770.4051;
0.08067812;1049;-719.0109;
0.06837791;996;-668.9152;
0.05200338;984;-625.3253;
0.03944121;998;-592.3863;
0.02851593;1031;-570.9074;
0.01389797;1076;-558.1579;
;1132;-549.0656;
;1204;-536.9883;
;1262;-518.6327;
;1254;-496.5268;
;1170;-476.2588;
;1068;-462.736;
;1022;-459.874;
;1046;-468.4613;
;1103;-484.7974;
;1153;-504.3918;
;1198;-524.9047;
;1239;-543.4514;
;1251;-555.5349;
;1217;-559.7551;
;1168;-561.5302;
;1134;-569.024;
;1111;-585.814;
;1093;-608.5793;
;1096;-631.3564;
;1120;-649.339;
;1139;-657.3137;
;1137;-648.9645;
;1128;-622.7164;
;1123;-585.0685;
;1100;-544.5341;
;1045;-505.7422;
;1002;-469.7016;
;1031;-435.7143;
;1123;-400.3989;
;1218;-360.115;
;1274;-313.3228;
;1284;-259.0927;
;1252;-195.2807;
;1184;-119.2161;
;1104;-31.08445;
;1039;65.02934;
;1014;160.6962;
;1049;248.0162;
;1133;325.3534;
;1208;399.8939;
;1228;483.3346;
;1197;583.6643;
;1146;697.7351;
;1106;813.7436;
;1087;921.7924;
;1075;1018.374;
;1057;1103.805;
;1053;1180.298;
;1075;1254.653;
;1092;1333.734;
;1087;1417.912;
;1081;1503.344;
;1074;1591.878;
;1033;1689.893;
;967;1799.79;
;928;1916.037;
;933;2028.017;
;962;2126.092;
;1007;2207.069;
;1080;2277.223;
;1151;2347.514;
;1166;2426.652;
;1107;2517.452;
;1012;2616.758;
;929;2717.542;
;884;2813.916;
;888;2902.421;
