–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡¿ÙÓÌËÌ ÕËÍˆÛˆÛËÚ‡_› √_03_11_2016.crv_1_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;513;-250.9948;
-0.02122877;449;-434.7394;
-0.02578321;375;-614.1133;
-0.02969806;348;-784.4586;
-0.02920786;373;-946.8816;
-0.03152617;408;-1109.257;
-0.03581784;430;-1278.917;
-0.04093812;432;-1454.221;
-0.04635295;412;-1626.396;
-0.05216198;383;-1786.882;
-0.05685086;367;-1934.966;
-0.06011757;378;-2079.428;
-0.05858566;410;-2229.208;
-0.05842378;436;-2383.875;
-0.06065361;414;-2534.95;
-0.05845338;348;-2675.819;
-0.06100743;301;-2804.529;
-0.0608493;328;-2922.587;
-0.06255765;419;-3034.362;
-0.06710602;505;-3144.844;
-0.06686705;521;-3256.991;
-0.05783848;459;-3369.344;
-0.06311763;384;-3476.358;
-0.0642321;371;-3571.463;
-0.06654517;409;-3654.211;
-0.06865116;446;-3732.552;
-0.06403776;459;-3815.534;
-0.06371848;460;-3903.822;
-0.06076288;449;-3989.655;
-0.05793952;420;-4062.619;
-0.06680156;395;-4118.834;
-0.06466153;399;-4163.436;
-0.05853221;432;-4204.464;
-0.06118528;457;-4245.187;
-0.06440077;432;-4282.76;
-0.06171774;355;-4312.671;
-0.05564747;286;-4331.458;
-0.04932353;299;-4338.507;
-0.05675675;399;-4337.006;
-0.06284994;512;-4331.547;
-0.06052688;539;-4325.492;
-0.06928517;468;-4318.562;
-0.07756215;384;-4305.177;
-0.08440998;374;-4279.016;
-0.08431454;430;-4241.916;
-0.08448301;491;-4204.234;
-0.08680407;524;-4173.786;
-0.1005147;527;-4149.625;
-0.1047444;513;-4124.11;
-0.09495111;499;-4088.317;
-0.09996357;498;-4038.757;
-0.1001145;521;-3982.959;
-0.1077441;569;-3931.511;
-0.09355988;631;-3887.062;
-0.08491337;656;-3843.585;
-0.08072823;613;-3795.043;
-0.07853086;546;-3739.109;
-0.08229263;534;-3678.148;
-0.09267239;590;-3617.464;
-0.07502018;663;-3560.519;
-0.0584675;690;-3505.771;
-0.06284614;649;-3449.45;
-0.04117477;588;-3386.743;
-0.0323512;570;-3313.137;
-0.05067954;607;-3230.092;
-0.0410386;650;-3145.786;
-0.01999021;671;-3065.803;
0.009037151;670;-2987.796;
0.00619929;653;-2903.26;
0.04129954;627;-2803.021;
0.04622333;604;-2685.056;
0.05585063;604;-2559.242;
0.07953997;627;-2437.921;
0.2038978;653;-2324.213;
0.2038978;649;-2212.205;
0.2038978;619;-2094.958;
0.2038978;612;-1969.563;
0.2038978;668;-1838.803;
0.2025881;773;-1710.054;
0.2020685;858;-1589.748;
0.2003324;867;-1479.397;
0.1993152;798;-1376.743;
0.1982981;721;-1277.288;
0.1950663;705;-1176.323;
0.1865432;754;-1075.005;
0.1805785;821;-982.8754;
0.1746138;881;-908.8918;
0.1677951;924;-852.4128;
0.1614217;942;-803.7474;
0.1483242;941;-752.7384;
0.1362953;948;-697.4722;
0.1227932;985;-646.5486;
0.1087031;1043;-610.743;
0.09363598;1086;-592.1809;
0.08067812;1074;-583.4182;
0.06837791;1015;-575.7706;
0.05200338;965;-565.0536;
0.03944121;979;-552.6814;
0.02851593;1053;-543.8618;
0.01389797;1132;-542.7704;
;1152;-548.9836;
;1102;-557.6938;
;1033;-561.6046;
;1012;-554.1848;
;1055;-536.1314;
;1118;-515.7111;
;1165;-500.6986;
;1186;-491.0602;
;1181;-478.6744;
;1157;-454.2375;
;1143;-415.0567;
;1163;-368.32;
;1213;-324.311;
;1255;-286.9413;
;1251;-253.2283;
;1198;-219.0858;
;1153;-181.6183;
;1171;-140.2394;
;1256;-97.71604;
;1349;-58.26847;
;1388;-24.46924;
