–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡¿ÙÓÌËÌ ÕˆËÍËÚ‡_› √_31_10_2016.crv_2_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;-475;-5208.197;
-0.02122877;-520;-5335.865;
-0.02578321;-579;-5443.535;
-0.02969806;-616;-5541.917;
-0.02920786;-632;-5637.894;
-0.03152617;-642;-5732.994;
-0.03581784;-651;-5824.649;
-0.04093812;-640;-5908.885;
-0.04635295;-590;-5984.176;
-0.05216198;-489;-6052.666;
-0.05685086;-363;-6116.579;
-0.06011757;-272;-6171.982;
-0.05858566;-287;-6210.62;
-0.05842378;-393;-6228.116;
-0.06065361;-499;-6231.296;
-0.05845338;-525;-6235.014;
-0.06100743;-467;-6249.023;
-0.0608493;-353;-6269.895;
-0.06255765;-222;-6286.824;
-0.06710602;-121;-6290.98;
-0.06686705;-74;-6277.928;
-0.05783848;-59;-6246.652;
-0.06311763;-66;-6200.186;
-0.0642321;-125;-6145.146;
-0.06654517;-218;-6087.147;
-0.06865116;-271;-6029.515;
-0.06403776;-237;-5973.407;
-0.06371848;-146;-5916.443;
-0.06076288;-59;-5852.111;
-0.05793952;6;-5777.569;
-0.06680156;54;-5696.186;
-0.06466153;77;-5609.101;
-0.05853221;61;-5510.208;
-0.06118528;9;-5396.02;
-0.06440077;-56;-5273.559;
-0.06171774;-114;-5152.66;
-0.05564747;-139;-5037.765;
-0.04932353;-105;-4930.569;
-0.05675675;-8;-4832.676;
-0.06284994;110;-4738.691;
-0.06052688;189;-4635.263;
-0.06928517;203;-4512.071;
-0.07756215;164;-4371.571;
-0.08440998;99;-4224.029;
-0.08431454;31;-4077.256;
-0.08448301;-13;-3935.696;
-0.08680407;-2;-3804.07;
-0.1005147;69;-3685.504;
-0.1047444;175;-3576.329;
-0.09495111;281;-3467.814;
-0.09996357;354;-3351.675;
-0.1001145;360;-3222.434;
-0.1077441;291;-3078.653;
-0.09355988;195;-2924.725;
-0.08491337;133;-2768.201;
-0.08072823;118;-2615.553;
-0.07853086;124;-2473.079;
-0.08229263;171;-2348.085;
-0.09267239;280;-2242.331;
-0.07502018;404;-2144.671;
-0.0584675;472;-2037.776;
-0.06284614;473;-1913.632;
-0.04117477;431;-1778.275;
-0.0323512;350;-1641.226;
-0.05067954;251;-1506.359;
-0.0410386;198;-1376.029;
-0.01999021;242;-1257.044;
0.009037151;365;-1155.594;
0.00619929;508;-1069.69;
0.04129954;617;-992.1739;
0.04622333;681;-918.3532;
0.05585063;708;-844.0237;
0.07953997;698;-761.8814;
0.2038978;648;-666.884;
0.2038978;576;-564.9153;
0.2038978;524;-470.4319;
0.2038978;526;-395.3584;
0.2038978;597;-342.4137;
0.2025881;737;-305.873;
0.2020685;909;-274.2807;
0.2003324;1050;-236.4715;
0.1993152;1139;-187.7492;
0.1982981;1185;-131.4097;
0.1950663;1169;-73.51849;
0.1865432;1079;-17.94726;
0.1805785;984;31.87246;
0.1746138;973;71.00056;
0.1677951;1064;97.38306;
0.1614217;1195;115.568;
0.1483242;1311;131.1646;
0.1362953;1389;146.5824;
0.1227932;1423;163.2997;
0.1087031;1400;184.1651;
0.09363598;1336;210.8009;
0.08067812;1275;238.6528;
0.06837791;1251;259.6362;
0.05200338;1263;267.3498;
0.03944121;1300;260.1157;
0.02851593;1365;241.2839;
0.01389797;1449;218.5602;
;1518;202.3581;
;1536;198.5136;
;1490;203.4151;
;1409;208.3853;
;1346;209.313;
;1356;204.7986;
;1448;191.6531;
;1579;166.8282;
;1695;133.5631;
;1779;100.5318;
;1841;76.82192;
;1884;69.59333;
;1884;81.63212;
;1836;108.3851;
;1783;137.5989;
;1786;155.732;
;1867;155.9248;
;1991;141.0176;
;2113;120.8139;
;2210;107.5738;
;2269;110.4226;
;2294;131.2339;
;2298;163.178;
;2281;196.6077;
;2232;226.2585;
;2172;250.5584;
;2151;265.702;
;2191;267.6461;
;2268;258.7583;
;2351;248.5159;
;2414;247.4053;
;2422;262.9977;
;2355;297.3141;
;2250;343.2509;
;2175;387.3913;
;2165;418.9425;
;2208;435.1698;
;2280;440.0034;
;2357;442.4936;
;2409;455.9386;
;2422;491.3874;
;2402;548.132;
;2359;614.8591;
;2286;680.5707;
;2177;741.16;
;2061;796.6055;
;1991;846.9941;
;2012;891.6133;
;2100;930.0074;
;2190;965.1003;
;2244;1006.459;
;2257;1065.719;
;2207;1146.861;
;2080;1240.933;
;1934;1331.738;
;1842;1405.642;
;1818;1460.213;
;1838;1503.756;
;1879;1546.713;
;1901;1594.815;
;1868;1650.58;
;1789;1715.302;
;1698;1788.774;
;1618;1869.586;
;1547;1956.582;
;1486;2045.919;
;1444;2129.936;
;1430;2203.406;
;1455;2270.12;
;1496;2340.262;
;1499;2424.145;
;1419;2527.582;
;1264;2650.139;
;1099;2783.39;
;977;2914.875;
;917;3035.264;
;907;3144.277;
;929;3247.127;
;951;3348.881;
;943;3453.703;
;916;3566.068;
;895;3688.272;
;885;3817.56;
;847;3949.086;
;755;4078.886;
;637;4199.528;
;563;4300.375;
;578;4377.105;
;643;4436.371;
;690;4485.301;
;693;4527.239;
;661;4566.128;
;595;4605.836;
;491;4642.98;
;382;4669.072;
;317;4677.169;
;306;4662.438;
;330;4620.504;
;362;4550.833;
;371;4459.277;
;326;4355.402;
;259;4246.323;
;224;4131.144;
;209;4003.837;
;152;3859.747;
;56;3696.36;
;1;3511.434;
;23;3303.652;
;84;3075.628;
;146;2831.694;
;209;2575.785;
;244;2312.309;
;198;2045.319;
;77;1774.97;
;-40;1496.474;
;-95;1205.869;
;-100;902.5546;
;-67;587.121;
;18;260.5;
;137;-68.52595;
;217;-385.659;
;205;-682.6116;
;121;-962.5857;
;11;-1229.688;
;-92;-1483.815;
;-166;-1726.541;
;-197;-1965.556;
;-173;-2205.235;
;-86;-2440.041;
;54;-2659.255;
;187;-2854.034;
;219;-3019.116;
;116;-3153.794;
;-45;-3264.891;
;-159;-3362.607;
;-199;-3453.012;
;-197;-3536.25;
;-157;-3610.038;
;-60;-3672.692;
;64;-3722.352;
;150;-3754.314;
;176;-3763.877;
;166;-3753.592;
;116;-3733.257;
;11;-3711.484;
;-110;-3692.956;
;-164;-3682.901;
;-113;-3683.237;
;6;-3686.076;
;139;-3680.007;
;248;-3659.992;
;287;-3625.441;
;235;-3576.059;
;127;-3516.116;
;31;-3457.299;
;-16;-3409.494;
;-27;-3374.403;
;-6;-3349.216;
;55;-3331.352;
;134;-3315.96;
;181;-3293.49;
;183;-3254.84;
;161;-3199.347;
;128;-3135.264;
;80;-3073.051;
;13;-3020.935;
;-38;-2985.862;
;-31;-2970.012;
;46;-2965.14;
;157;-2956.722;
;240;-2936.846;
;255;-2907.464;
;196;-2871.918;
;109;-2831.169;
;47;-2788.884;
;30;-2750.6;
;38;-2717.447;
;69;-2686.29;
;140;-2653.175;
;237;-2610.85;
;306;-2545.401;
;304;-2442.96;
;233;-2297.901;
;118;-2110.754;
;-7;-1881.938;
;-104;-1611.084;
;-128;-1297.184;
;-56;-933.6918;
;78;-504.8965;
;207;9.649014;
;267;627.1312;
;224;1358.184;
;104;2207.05;
;-30;3172.626;
;-106;4250.855;
;-103;5438.039;
;-55;6732.23;
;7;8131.54;
;89;9632.082;
;184;11228.97;
;250;12919.48;
;254;14700.99;
;200;16561.92;
;113;18479.83;
;25;20429.63;
;-19;22386.04;
;10;24318.01;
;100;26192.46;
;210;27983.87;
;301;29676;
;336;31253.5;
;277;32697.23;
;139;33981.9;
;13;35075.72;
;-23;35945.61;
;20;36563.83;
;79;36908.09;
;125;36960.48;
;168;36709.96;
;221;36155.28;
;281;35301.22;
;321;34154.22;
;298;32725.62;
;200;31039.15;
;76;29126.04;
;10;27009.67;
;49;24702.24;
;176;22219.28;
;322;19590.72;
;425;16854.69;
;474;14048.59;
;482;11207.89;
;450;8366.615;
;385;5555.198;
;322;2798.967;
;299;122.3407;
;316;-2447.12;
;365;-4880.255;
;446;-7151.46;
;542;-9239.689;
;610;-11126.89;
;618;-12798.86;
;566;-14251.92;
;482;-15494.28;
;401;-16539.31;
;370;-17399.2;
;420;-18084.53;
;539;-18604.06;
;664;-18964.06;
;744;-19173.07;
;774;-19243.76;
;764;-19190.35;
;724;-19027.15;
;671;-18774.01;
;634;-18456.56;
;626;-18100.08;
;645;-17722.94;
;718;-17336.93;
;860;-16949.99;
;1023;-16566.09;
;1134;-16183.6;
;1193;-15801.62;
;1223;-15428.83;
;1211;-15081.28;
;1150;-14770.37;
;1087;-14500.69;
;1077;-14278.39;
;1133;-14108.52;
;1241;-13985.55;
;1384;-13895.72;
;1530;-13826.38;
;1624;-13769.62;
;1622;-13718.54;
;1545;-13667.34;
;1467;-13612.75;
;1427;-13555.9;
;1417;-13499.97;
;1437;-13444.21;
;1500;-13378.82;
;1595;-13289.26;
;1671;-13162.47;
;1694;-12989.67;
;1668;-12768.18;
;1607;-12501.24;
;1528;-12193.19;
;1457;-11845.31;
;1434;-11457.44;
;1460;-11033.28;
;1510;-10580.7;
;1568;-10105.54;
;1621;-9604.743;
;1613;-9068.004;
;1513;-8486.332;
;1367;-7860.519;
;1248;-7205.174;
;1158;-6544.569;
;1072;-5899.455;
;1011;-5276.489;
;1024;-4671.788;
;1085;-4081.357;
;1115;-3504.494;
;1070;-2943.518;
;958;-2405.68;
;806;-1900.8;
;647;-1434.175;
;535;-1005.518;
;490;-615.4867;
;487;-268.7034;
;494;30.90257;
;495;284.1559;
;491;497.1295;
;472;678.9419;
;409;838.0996;
;304;977.2029;
;215;1092.89;
;195;1179.313;
;230;1233.468;
;286;1259.414;
;365;1267.844;
;453;1269.295;
;495;1270.133;
;455;1273.417;
;359;1281.381;
;250;1294.375;
;156;1311.445;
;108;1331.139;
;140;1349.801;
;234;1361.928;
;335;1366.087;
;405;1366.579;
;444;1370.116;
;447;1383.723;
;387;1411.772;
;265;1450.164;
;135;1488.335;
;59;1519.058;
;53;1542.871;
;101;1560.474;
;194;1570.372;
;300;1575.616;
;353;1585.35;
;313;1607.562;
;220;1643.925;
;143;1689.295;
;94;1735.583;
;56;1776.127;
;48;1808.519;
;95;1834.563;
;173;1858.379;
;239;1882.992;
;275;1910.807;
;277;1946.688;
;229;1998.325;
;139;2069.287;
;52;2153.679;
;0;2238.706;
;-16;2312.825;
;5;2371.379;
;69;2418.691;
