–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡¿ÙÓ˚‚‡˚ËÌ ÕËÍËÚ‡_› √_31_10_2016.crv_1_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;861;-1743.514;
-0.02122877;936;-1731.268;
-0.02578321;1008;-1709.086;
-0.02969806;1048;-1671.353;
-0.02920786;1040;-1617.774;
-0.03152617;1008;-1554.054;
-0.03581784;977;-1486.177;
-0.04093812;943;-1413.096;
-0.04635295;913;-1329.758;
-0.05216198;924;-1236.056;
-0.05685086;996;-1140.354;
-0.06011757;1097;-1048.782;
-0.05858566;1161;-958.722;
-0.05842378;1147;-863.3992;
-0.06065361;1067;-759.0121;
-0.05845338;984;-644.8167;
-0.06100743;962;-523.1484;
-0.0608493;1007;-401.1222;
-0.06255765;1070;-287.1967;
-0.06710602;1101;-185.0601;
-0.06686705;1101;-92.48621;
-0.05783848;1109;-4.642115;
-0.06311763;1134;81.94376;
-0.0642321;1139;167.303;
-0.06654517;1114;248.2607;
-0.06865116;1102;323.0912;
-0.06403776;1120;392.8993;
-0.06371848;1130;458.6301;
-0.06076288;1130;517.712;
-0.05793952;1183;563.6111;
-0.06680156;1322;589.8372;
-0.06466153;1482;596.4754;
-0.05853221;1569;593.0864;
-0.06118528;1551;591.2262;
-0.06440077;1464;596.6365;
-0.06171774;1367;608.272;
-0.05564747;1300;622.1441;
-0.04932353;1287;631.8165;
-0.05675675;1337;630.0439;
-0.06284994;1431;612.934;
-0.06052688;1543;583.6946;
-0.06928517;1656;551.1716;
-0.07756215;1750;523.0656;
-0.08440998;1778;499.2628;
-0.08431454;1718;472.4189;
-0.08448301;1610;436.7394;
-0.08680407;1514;393.0772;
-0.1005147;1453;346.7173;
-0.1047444;1427;303.4643;
-0.09495111;1446;267.391;
-0.09996357;1529;237.1663;
-0.1001145;1662;206.7411;
-0.1077441;1786;170.629;
-0.09355988;1836;128.9287;
-0.08491337;1788;87.09683;
-0.08072823;1693;53.86435;
-0.07853086;1623;35.54718;
-0.08229263;1622;29.54962;
-0.09267239;1674;25.65925;
-0.07502018;1726;15.48003;
-0.0584675;1732;-2.301169;
-0.06284614;1708;-23.11888;
-0.04117477;1712;-38.99421;
-0.0323512;1762;-44.29638;
-0.05067954;1817;-41.63428;
-0.0410386;1851;-38.64905;
-0.01999021;1861;-37.82535;
0.009037151;1844;-33.84225;
0.00619929;1807;-21.93459;
0.04129954;1784;-4.087988;
0.04622333;1801;13.21753;
0.05585063;1835;25.20485;
0.07953997;1845;33.07737;
0.2038978;1819;42.15004;
0.2038978;1770;56.10961;
0.2038978;1714;75.04684;
0.2038978;1665;97.51405;
0.2038978;1641;120.5932;
0.2025881;1644;138.7646;
0.2020685;1656;147.2115;
0.2003324;1654;146.0132;
0.1993152;1640;139.8554;
0.1982981;1618;135.6929;
0.1950663;1574;138.8264;
0.1865432;1509;149.7778;
0.1805785;1465;163.9073;
0.1746138;1451;176.8901;
0.1677951;1419;187.7759;
0.1614217;1347;196.5711;
0.1483242;1284;200.6959;
0.1362953;1279;197.4314;
