Результат свертки 1 файлаБолдырев Сергей Нейроинтерфейс_ЭКГ_07_11_2016.crv_1_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;1204;187.6784;
-0.02122877;1116;242.2559;
-0.02578321;1001;291.8759;
-0.02969806;902;330.2503;
-0.02920786;851;362.112;
-0.03152617;869;389.4829;
-0.03581784;956;410.5739;
-0.04093812;1092;426.0798;
-0.04635295;1241;437.2998;
-0.05216198;1353;444.1289;
-0.05685086;1375;452.447;
-0.06011757;1296;473.931;
-0.05858566;1175;511.9504;
-0.05842378;1100;554.2176;
-0.06065361;1096;584.238;
-0.05845338;1122;594.0314;
-0.06100743;1150;583.8037;
-0.0608493;1202;559.1767;
-0.06255765;1285;532.666;
-0.06710602;1357;520.5037;
-0.06686705;1377;530.364;
-0.05783848;1337;553.4615;
-0.06311763;1262;573.7379;
-0.0642321;1200;585.1225;
-0.06654517;1201;590.0972;
-0.06865116;1262;587.6154;
-0.06403776;1342;573.3069;
-0.06371848;1415;549.7994;
-0.06076288;1494;524.5468;
-0.05793952;1569;502.9395;
-0.06680156;1590;488.9268;
-0.06466153;1522;486.655;
-0.05853221;1415;493.6594;
-0.06118528;1358;501.5975;
-0.06440077;1383;503.9743;
-0.06171774;1439;497.705;
-0.05564747;1493;478.2504;
-0.04932353;1574;443.038;
-0.05675675;1679;399.5375;
-0.06284994;1759;365.3762;
-0.06052688;1789;353.8479;
-0.06928517;1798;359.3055;
-0.07756215;1787;363.8542;
-0.08440998;1730;357.8092;
-0.08431454;1656;345.2592;
-0.08448301;1640;328.2971;
-0.08680407;1717;301.4145;
-0.1005147;1859;263.7858;
-0.1047444;2009;223.7486;
-0.09495111;2119;188.7595;
-0.09996357;2143;161.2579;
-0.1001145;2066;143.7279;
-0.1077441;1947;136.6905;
-0.09355988;1880;134.1683;
-0.08491337;1883;126.3262;
-0.08072823;1906;105.5956;
-0.07853086;1947;68.76481;
-0.08229263;2031;18.28053;
-0.09267239;2117;-35.51229;
-0.07502018;2136;-77.68021;
-0.0584675;2101;-100.0904;
-0.06284614;2070;-109.7446;
-0.04117477;2040;-120.7689;
-0.0323512;1978;-139.5827;
-0.05067954;1897;-164.3128;
-0.0410386;1849;-195.8871;
-0.01999021;1865;-238.222;
0.009037151;1949;-287.9973;
0.00619929;2067;-336.6822;
0.04129954;2149;-378.9955;
0.04622333;2129;-413.24;
0.05585063;2005;-436.6788;
0.07953997;1853;-448.8994;
0.2038978;1756;-454.6621;
0.2038978;1719;-461.3498;
0.2038978;1710;-476.504;
0.2038978;1741;-506.4438;
0.2038978;1824;-550.321;
0.2025881;1902;-597.137;
0.2020685;1903;-630.2996;
0.2003324;1820;-638.5461;
0.1993152;1710;-624.3973;
0.1982981;1608;-601.7151;
0.1950663;1516;-581.4304;
0.1865432;1438;-563.5591;
0.1805785;1394;-545.2418;
0.1746138;1405;-527.9042;
0.1677951;1471;-512.577;
0.1614217;1558;-498.3164;
0.1483242;1611;-484.8079;
0.1362953;1577;-467.8296;
0.1227932;1439;-437.6276;
0.1087031;1248;-388.9478;
0.09363598;1104;-329.0764;
0.08067812;1064;-272.4668;
