Результат свертки 1 файлаБолдырев Сергей Нейроинтерфейуаыус_ЭКГ_07_11_2016.crv_2_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;4016;375.2258;
-0.02122877;3615;222.12;
-0.02578321;3116;273.264;
-0.02969806;3112;425.207;
-0.02920786;3488;564.4001;
-0.03152617;3667;621.4411;
-0.03581784;3293;579.8073;
-0.04093812;2410;483.0932;
-0.04635295;1529;404.9177;
-0.05216198;1579;389.1769;
-0.05685086;2903;411.019;
-0.06011757;4401;399.9808;
-0.05858566;4661;321.1218;
-0.05842378;3640;223.3103;
-0.06065361;2395;195.964;
-0.05845338;1665;300.2682;
-0.06100743;1486;523.2424;
-0.0608493;1735;736.9904;
-0.06255765;2337;757.1707;
-0.06710602;2994;538.7825;
-0.06686705;3200;263.1096;
-0.05783848;2783;146.6355;
-0.06311763;2252;232.4992;
-0.0642321;2198;417.0303;
-0.06654517;2532;584.0667;
-0.06865116;2694;662.3403;
-0.06403776;2329;635.0799;
-0.06371848;1464;546.8019;
-0.06076288;590;473.2132;
-0.05793952;634;459.1128;
-0.06680156;1953;477.7579;
-0.06466153;3460;457.7576;
-0.05853221;3742;366.2979;
-0.06118528;2740;253.5845;
-0.06440077;1497;205.6337;
-0.06171774;761;281.033;
-0.05564747;587;470.3506;
-0.04932353;856;652.6608;
-0.05675675;1480;645.9142;
-0.06284994;2158;401.9153;
-0.06052688;2389;97.97366;
-0.06928517;1995;-48.41607;
-0.07756215;1474;10.78194;
-0.08440998;1442;175.9518;
-0.08431454;1821;329.3583;
-0.08448301;2035;394.1561;
-0.08680407;1705;348.7928;
-0.1005147;857;236.7674;
-0.1047444;-11;135.9103;
-0.09495111;6;95.79276;
-0.09996357;1276;95.31697;
-0.1001145;2762;65.7921;
-0.1077441;3065;-28.48769;
-0.09355988;2093;-143.1169;
-0.08491337;872;-196.6874;
-0.08072823;163;-129.8528;
-0.07853086;19;52.82089;
-0.08229263;309;233.8431;
-0.09267239;944;229.1907;
-0.07502018;1643;-14.23985;
-0.0584675;1915;-321.8997;
-0.06284614;1559;-475.2723;
-0.04117477;1062;-424.822;
-0.0323512;1039;-269.63;
-0.05067954;1429;-124.8094;
-0.0410386;1650;-62.91441;
-0.01999021;1317;-103.7357;
0.009037151;473;-207.8487;
0.00619929;-365;-301.802;
0.04129954;-288;-335.5291;
0.04622333;1058;-327.153;
0.05585063;2625;-344.2907;
0.07953997;2991;-424.137;
0.2038978;2058;-524.7354;
0.2038978;862;-566.5165;
0.2038978;158;-490.357;
0.2038978;-7;-298.0207;
0.2038978;262;-103.0269;
0.2025881;895;-89.22865;
0.2020685;1604;-313.2218;
