Результат свертки 1 файлаБолдырев Сергей Нейроиуыпаыунтерфейс_ЭКГ_07_11_2016.crv_2_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;1713;-291.0392;
-0.02122877;1535;-296.8113;
-0.02578321;1222;-225.5765;
-0.02969806;1087;-130.2639;
-0.02920786;1264;-60.52833;
-0.03152617;1537;-36.82018;
-0.03581784;1594;-53.24634;
-0.04093812;1351;-85.85427;
-0.04635295;1033;-106.6009;
-0.05216198;1020;-97.44276;
-0.05685086;1458;-61.08834;
-0.06011757;1973;-23.2586;
-0.05858566;2035;-11.68208;
-0.05842378;1614;-23.68313;
-0.06065361;1143;-25.87335;
-0.05845338;948;13.0306;
-0.06100743;1018;91.22481;
-0.0608493;1227;162.6683;
-0.06255765;1495;165.9939;
-0.06710602;1734;93.37965;
-0.06686705;1805;15.32713;
-0.05783848;1623;7.707802;
-0.06311763;1322;74.85551;
-0.0642321;1196;165.5247;
-0.06654517;1361;232.0112;
-0.06865116;1607;254.0388;
-0.06403776;1643;234.8505;
-0.06371848;1388;196.5284;
-0.06076288;1061;168.6001;
-0.05793952;1042;170.8964;
-0.06680156;1481;201.3727;
-0.06466153;1999;234.4237;
-0.05853221;2066;241.0274;
-0.06118528;1655;220.3198;
-0.06440077;1205;203.7783;
-0.06171774;1040;225.0787;
-0.05564747;1128;286.4888;
-0.04932353;1332;343.299;
-0.05675675;1581;332.4098;
-0.06284994;1812;243.7832;
-0.06052688;1895;148.2302;
-0.06928517;1730;124.9712;
-0.07756215;1431;179.8797;
-0.08440998;1284;258.6307;
-0.08431454;1420;310.3485;
-0.08448301;1650;315.667;
-0.08680407;1687;282.0338;
-0.1005147;1438;233.6402;
-0.1047444;1103;197.7036;
-0.09495111;1064;189.8767;
-0.09996357;1487;207.034;
-0.1001145;2000;225.8454;
-0.1077441;2072;219.7617;
-0.09355988;1660;188.7739;
-0.08491337;1191;162.8203;
-0.08072823;976;174.5065;
-0.07853086;998;226.2808;
-0.08229263;1151;274.2913;
-0.09267239;1387;256.0026;
-0.07502018;1631;162.0075;
-0.0584675;1715;62.60714;
-0.06284614;1521;33.81999;
-0.04117477;1184;77.98869;
-0.0323512;1024;141.9847;
-0.05067954;1172;179.0113;
-0.0410386;1403;172.0648;
-0.01999021;1418;127.2944;
0.009037151;1152;66.80106;
0.00619929;827;16.78373;
0.04129954;817;-4.522749;
0.04622333;1258;2.419974;
0.05585063;1761;13.49465;
0.07953997;1792;-0.9603382;
0.2038978;1336;-41.8886;
0.2038978;856;-76.61775;
0.2038978;670;-70.96976;
0.2038978;722;-23.97383;
0.2038978;867;19.3987;
0.2025881;1061;-2.885567;
0.2020685;1266;-100.4858;
0.2003324;1340;-204.6501;
0.1993152;1153;-239.8116;
0.1982981;811;-202.0806;
0.1950663;626;-142.3288;
0.1865432;751;-105.9942;
0.1805785;980;-110.969;
0.1746138;991;-153.3203;
0.1677951;689;-211.0725;
0.1614217;322;-255.6511;
0.1483242;288;-268.4205;
0.1362953;716;-252.9218;
0.1227932;1207;-235.8592;
0.1087031;1252;-245.3537;
0.09363598;836;-279.8261;
0.08067812;383;-306.7451;
0.06837791;193;-293.2315;
0.05200338;247;-238.8542;
0.03944121;429;-189.5845;
0.02851593;666;-207.014;
0.01389797;878;-297.8247;
;940;-389.2495;
;762;-404.7653;
;462;-341.6772;
;329;-255.3602;
;492;-197.1075;
;738;-186.346;
;764;-212.9867;
;496;-249.7987;
;168;-268.828;
;153;-255.9982;
;576;-217.7332;
;1060;-179.8275;
;1105;-166.8888;
;707;-174.9246;
;287;-172.932;
;129;-132.0023;
;191;-53.45252;
;357;17.04473;
;586;18.54823;
;812;-55.46102;
;882;-132.5557;
;690;-136.8317;
;374;-64.75076;
;239;31.0837;
;407;100.7962;
;650;122.8509;
;667;103.1793;
;391;66.62348;
;62;41.35314;
;63;44.94728;
;523;75.05735;
;1047;107.1215;
;1105;113.1161;
;665;94.1637;
;173;83.18353;
;-34;113.8769;
;30;187.3167;
;231;257.1752;
;494;259.4922;
;736;186.1236;
;816;110.6898;
;629;111.9456;
;305;193.4768;
;155;301.0772;
;310;386.6176;
;557;432.1388;
;597;443.7976;
;357;444.8059;
;53;463.7708;
;45;518.0878;
;471;603.323;
;953;692.9065;
;986;759.7141;
;560;806.2979;
;111;864.9379;
;-57;966.6159;
;13;1109.789;
;201;1247.391;
;453;1317.512;
;699;1312.918;
;778;1305.013;
;582;1369.361;
;253;1506.631;
;107;1661.382;
;263;1784.662;
;509;1858.245;
;553;1888.207;
;317;1898.016;
;14;1915.767;
;22;1959.417;
;473;2025.991;
;972;2089.252;
;1002;2120.162;
;569;2119.158;
;120;2119.395;
;-46;2156.168;
;26;2231.417;
;215;2297.642;
;472;2290.159;
;723;2200.377;
;810;2102.925;
;619;2079.289;
;294;2135.65;
;151;2217.219;
;311;2271.793;
;548;2278.205;
;569;2243.649;
;316;2194.275;
;16;2160.589;
;29;2160.558;
;473;2189.147;
;961;2218.845;
;996;2222.99;
;583;2204.688;
;152;2196.845;
;-13;2230.281;
;48;2302.26;
;228;2365.038;
;488;2356.317;
;748;2268.707;
;833;2175.365;
;638;2153.6;
;312;2205.981;
;170;2276.317;
;338;2312.414;
