Результат свертки 1 файлаГлущенко Алексей Окулоинтерфейс_ЭКГ_08_11_2016.crv_2_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;1876;-1392.164;
-0.02122877;1744;-1392.981;
-0.02578321;1359;-1340.664;
-0.02969806;1010;-1260.007;
-0.02920786;927;-1189.991;
-0.03152617;1003;-1157.07;
-0.03581784;1054;-1167.126;
-0.04093812;1136;-1212.365;
-0.04635295;1353;-1273.127;
-0.05216198;1586;-1314.697;
-0.05685086;1677;-1302.246;
-0.06011757;1629;-1234.534;
-0.05858566;1486;-1147.828;
-0.05842378;1231;-1070.237;
-0.06065361;906;-997.4911;
-0.05845338;668;-929.852;
-0.06100743;658;-893.087;
-0.0608493;870;-902.4493;
-0.06255765;1187;-941.5991;
-0.06710602;1492;-985.672;
-0.06686705;1660;-1013.788;
-0.05783848;1552;-1003.028;
-0.06311763;1173;-943.0624;
-0.0642321;776;-854.7106;
-0.06654517;611;-776.3612;
-0.06865116;629;-737.6523;
-0.06403776;669;-750.6867;
-0.06371848;769;-810.4173;
-0.06076288;1013;-895.1395;
-0.05793952;1288;-969.7634;
-0.06680156;1414;-1002.083;
-0.06466153;1365;-988.9532;
-0.05853221;1183;-959.3324;
-0.06118528;887;-937.5708;
-0.06440077;560;-922.5233;
-0.06171774;362;-914.2429;
-0.05564747;406;-931.7054;
-0.04932353;665;-985.5377;
-0.05675675;1028;-1060.827;
-0.06284994;1381;-1134.628;
-0.06052688;1586;-1186.269;
-0.06928517;1494;-1192.325;
-0.07756215;1121;-1142.611;
-0.08440998;737;-1059.133;
-0.08431454;587;-983.5449;
-0.08448301;607;-946.2844;
-0.08680407;632;-954.2746;
-0.1005147;707;-996.9724;
-0.1047444;941;-1053.56;
-0.09495111;1231;-1094.311;
-0.09996357;1390;-1090.898;
-0.1001145;1362;-1040.118;
-0.1077441;1182;-970.3645;
-0.09355988;883;-907.1646;
-0.08491337;555;-849.4222;
-0.08072823;347;-795.3206;
-0.07853086;355;-765.4269;
-0.08229263;550;-776.4932;
-0.09267239;843;-816.8376;
-0.07502018;1149;-861.0676;
-0.0584675;1349;-884.5197;
-0.06284614;1285;-864.6613;
