Результат свертки 1 файлаГлущенко Алексей Окулоинтерфейс_ЭКГ_08впыв_11_2016.crv_1_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;140;-978.9625;
-0.02122877;90;-999.6733;
-0.02578321;19;-1009.149;
-0.02969806;-11;-1018.318;
-0.02920786;36;-1034.977;
-0.03152617;105;-1060.848;
-0.03581784;132;-1091.574;
-0.04093812;136;-1116.831;
-0.04635295;154;-1127.554;
-0.05216198;183;-1123.146;
-0.05685086;204;-1109.193;
-0.06011757;197;-1094.747;
-0.05858566;145;-1088.46;
-0.05842378;60;-1090.864;
-0.06065361;-7;-1095.131;
-0.05845338;-28;-1099.125;
-0.06100743;3;-1105.802;
-0.0608493;80;-1113.772;
-0.06255765;174;-1117.822;
-0.06710602;227;-1116.113;
-0.06686705;194;-1107.263;
-0.05783848;73;-1089.498;
-0.06311763;-60;-1066.202;
-0.0642321;-105;-1046.033;
-0.06654517;-49;-1035.468;
-0.06865116;23;-1035.982;
-0.06403776;50;-1044.214;
-0.06371848;50;-1053.836;
-0.06076288;52;-1058.438;
-0.05793952;59;-1052.313;
-0.06680156;70;-1032.079;
-0.06466153;77;-1003.597;
-0.05853221;67;-980.6556;
-0.06118528;41;-969.5774;
-0.06440077;15;-963.1;
-0.06171774;-4;-953.9052;
-0.05564747;-1;-942.913;
-0.04932353;43;-933.0371;
-0.05675675;105;-924.8103;
-0.06284994;138;-917.7839;
-0.06052688;108;-908.4942;
-0.06928517;19;-893.1865;
-0.07756215;-76;-875.1013;
-0.08440998;-99;-863.985;
-0.08431454;-38;-867.5927;
-0.08448301;27;-887.4723;
-0.08680407;42;-919.2538;
-0.1005147;31;-955.1308;
-0.1047444;31;-986.9796;
-0.09495111;38;-1008.228;
-0.09996357;39;-1015.287;
-0.1001145;14;-1011.19;
-0.1077441;-50;-1004.339;
-0.09355988;-125;-997.9464;
-0.08491337;-154;-986.196;
-0.08072823;-118;-963.7896;
-0.07853086;-44;-929.971;
-0.08229263;35;-883.9995;
-0.09267239;91;-822.4242;
-0.07502018;109;-739.7389;
-0.0584675;69;-628.2947;
-0.06284614;-38;-481.8322;
-0.04117477;-159;-300.2213;
-0.0323512;-187;-89.86258;
-0.05067954;-100;142.8182;
-0.0410386;9;396.8658;
-0.01999021;60;678.1094;
0.009037151;66;992.188;
0.00619929;64;1339.182;
0.04129954;56;1717.798;
0.04622333;47;2126.939;
0.05585063;59;2556.762;
0.07953997;86;2989.407;
0.2038978;88;3414.165;
0.2038978;51;3833.752;
0.2038978;26;4254.113;
0.2038978;56;4674.928;
0.2038978;115;5087.685;
0.2025881;155;5478.827;
0.2020685;165;5838.432;
0.2003324;145;6165.373;
0.1993152;70;6461.158;
0.1982981;-33;6720.893;
0.1950663;-70;6931.054;
0.1865432;-12;7075.596;
0.1805785;63;7147.631;
0.1746138;84;7155.126;
0.1677951;64;7109.972;
0.1614217;49;7017.167;
0.1483242;47;6877.777;
0.1362953;41;6691.823;
0.1227932;12;6451.983;
0.1087031;-42;6147.891;
0.09363598;-111;5782.95;
0.08067812;-180;5375.198;
0.06837791;-211;4938.276;
0.05200338;-165;4472.857;
0.03944121;-56;3978.05;
0.02851593;49;3459.754;
0.01389797;101;2928.583;
;104;2396.247;
;80;1871.636;
;43;1355.38;
;5;841.795;
;-27;329.1125;
;-48;-177.9546;
;-45;-670.8113;
;-10;-1139.347;
;50;-1573.409;
;104;-1966.906;
;123;-2318.399;
;110;-2632.867;
;85;-2919.995;
;60;-3184.299;
;45;-3419.17;
;70;-3618.448;
;137;-3785.451;
;207;-3926.784;
;255;-4044.711;
;290;-4138.28;
;293;-4202.632;
;232;-4230.481;
;146;-4221;
;131;-4183.285;
;216;-4127.936;
;331;-4061.685;
;396;-3984.987;
;414;-3892.271;
;428;-3777.708;
;452;-3640.925;
;464;-3485.476;
;460;-3317.838;
;451;-3147.491;
;430;-2978.855;
;403;-2807.198;
;401;-2629.879;
;437;-2453.278;
;484;-2283.732;
;517;-2120.709;
;528;-1960.096;
;501;-1796.742;
;433;-1628.953;
;361;-1463.939;
;342;-1311.787;
;383;-1174.751;
;429;-1048.968;
;432;-930.8313;
;401;-815.109;
;377;-694.3442;
;385;-565.9249;
;435;-438.9191;
;491;-329.6213;
;481;-246.9172;
;390;-181.6528;
;299;-115.2694;
;287;-38.16561;
;342;45.85115;
;404;127.1394;
;443;197.4107;
;459;257.2843;
;440;318.9563;
;361;392.6631;
;242;474.6987;
;173;552.4747;
;213;615.6559;
;300;661.8307;
;340;697.6625;
;323;733.9499;
;283;778.1459;
;233;832.6764;
;187;895.2253;
;156;956.8297;
