Результат свертки 1 файлаГлущенко Дыхательный интерфевпывпйс_ЭКГ_03_11_2016.crv_2_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;2152;820.5782;
-0.02122877;2094;860.6743;
-0.02578321;2082;895.9438;
-0.02969806;2157;923.2686;
-0.02920786;2282;943.7701;
-0.03152617;2404;961.7933;
-0.03581784;2497;977.9167;
-0.04093812;2547;990.8939;
-0.04635295;2546;1004.573;
-0.05216198;2509;1024.445;
-0.05685086;2475;1048.2;
-0.06011757;2482;1067.964;
-0.05858566;2527;1078.039;
-0.05842378;2590;1076.524;
-0.06065361;2669;1063.639;
-0.05845338;2761;1043.972;
-0.06100743;2822;1026.204;
-0.0608493;2833;1016.163;
-0.06255765;2846;1012.181;
-0.06710602;2887;1007.342;
-0.06686705;2905;997.9349;
-0.05783848;2878;985.6994;
-0.06311763;2855;972.6412;
-0.0642321;2880;957.5547;
-0.06654517;2946;941.2413;
-0.06865116;3027;925.4143;
-0.06403776;3101;908.1086;
-0.06371848;3142;887.4517;
-0.06076288;3129;869.9882;
-0.05793952;3066;864.2308;
-0.06680156;3006;868.9984;
-0.06466153;2994;875.3362;
-0.05853221;3009;876.2042;
-0.06118528;3025;869.2289;
-0.06440077;3059;855.4771;
-0.06171774;3103;840.1091;
-0.05564747;3105;831.0454;
-0.04932353;3066;833.175;
-0.05675675;3047;844.7295;
-0.06284994;3046;859.9017;
-0.06052688;3002;874.9147;
-0.06928517;2911;888.6241;
-0.07756215;2840;899.0316;
-0.08440998;2825;903.8582;
-0.08431454;2849;905.7747;
-0.08448301;2877;909.6215;
-0.08680407;2887;913.7169;
-0.1005147;2858;913.9044;
-0.1047444;2768;914.5208;
-0.09495111;2636;924.217;
-0.09996357;2518;942.3801;
-0.1001145;2451;959.6519;
-0.1077441;2410;968.3328;
-0.09355988;2374;966.3527;
-0.08491337;2355;954.3328;
-0.08072823;2346;936.424;
-0.07853086;2303;921.1074;
-0.08229263;2219;914.6745;
-0.09267239;2137;915.5026;
-0.07502018;2078;917.0587;
-0.0584675;2001;914.5858;
-0.06284614;1878;905.9562;
-0.04117477;1750;889.4149;
-0.0323512;1677;863.491;
-0.05067954;1670;830.2054;
-0.0410386;1692;794.0717;
-0.01999021;1697;755.8926;
0.009037151;1656;713.631;
0.00619929;1564;670.4432;
0.04129954;1439;633.6691;
0.04622333;1324;603.0757;
0.05585063;1245;570.1932;
0.07953997;1189;528.3657;
0.2038978;1143;476.7938;
0.2038978;1130;416.8747;
0.2038978;1143;352.6628;
0.2038978;1127;291.9774;
0.2038978;1066;240.9081;
0.2025881;1008;198.4065;
0.2020685;967;159.0632;
0.2003324;897;121.0722;
0.1993152;792;85.85677;
0.1982981;705;50.79505;
0.1950663;676;10.85198;
0.1865432;703;-33.20348;
0.1805785;752;-74.56351;
0.1746138;777;-110.8119;
0.1677951;748;-144.9653;
0.1614217;669;-176.1236;
0.1483242;570;-197.3788;
0.1362953;487;-207.1498;
0.1227932;446;-211.3369;
0.1087031;444;-217.5362;
0.09363598;457;-230.0576;
0.08067812;483;-249.1619;
0.06837791;508;-270.7498;
0.05200338;492;-288.5533;
0.03944121;432;-298.2074;
0.02851593;384;-301.1557;
