–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡√Ë„Ó¸Â‚ÒÍËÈ ¿ÎÂÍÒ‡€‘¿‘‰_› √_07_11_2016.crv_1_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;317;-272.0801;
-0.02122877;299;-282.0899;
-0.02578321;273;-293.1612;
-0.02969806;264;-306.3293;
-0.02920786;261;-320.0899;
-0.03152617;253;-332.5415;
-0.03581784;261;-345.1893;
-0.04093812;302;-360.5926;
-0.04635295;356;-377.1763;
-0.05216198;383;-389.5593;
-0.05685086;362;-395.858;
-0.06011757;321;-399.3263;
-0.05858566;295;-402.6695;
-0.05842378;300;-404.6989;
-0.06065361;324;-404.3848;
-0.05845338;341;-402.9054;
-0.06100743;341;-402.1113;
-0.0608493;341;-400.8833;
-0.06255765;355;-395.8454;
-0.06710602;372;-384.4759;
-0.06686705;366;-367.329;
-0.05783848;339;-347.544;
-0.06311763;323;-328.4972;
-0.0642321;332;-310.6132;
-0.06654517;342;-291.814;
-0.06865116;339;-270.0919;
-0.06403776;336;-245.6052;
-0.06371848;350;-220.554;
-0.06076288;362;-195.9297;
-0.05793952;352;-170.5029;
-0.06680156;338;-144.5265;
-0.06466153;341;-119.2779;
-0.05853221;361;-94.6022;
-0.06118528;370;-70.07162;
-0.06440077;357;-47.75529;
-0.06171774;336;-30.56058;
-0.05564747;312;-18.5859;
-0.04932353;285;-9.593333;
-0.05675675;278;-1.909123;
-0.06284994;297;4.696012;
-0.06052688;319;10.22309;
-0.06928517;321;13.69153;
-0.07756215;310;13.98918;
-0.08440998;301;11.63146;
-0.08431454;286;8.920257;
-0.08448301;258;7.484375;
-0.08680407;228;6.742288;
-0.1005147;213;3.543043;
-0.1047444;214;-4.937241;
-0.09495111;214;-18.32273;
-0.09996357;209;-32.86899;
-0.1001145;211;-45.31575;
-0.1077441;230;-54.23355;
-0.09355988;262;-58.78485;
-0.08491337;285;-60.37168;
-0.08072823;281;-62.80862;
-0.07853086;260;-68.51543;
-0.08229263;252;-77.39774;
-0.09267239;278;-88.29799;
-0.07502018;319;-99.22387;
-0.0584675;344;-107.4004;
-0.06284614;341;-111.0185;
-0.04117477;329;-110.5723;
-0.0323512;333;-107.8925;
-0.05067954;338;-104.1051;
-0.0410386;320;-100.4661;
-0.01999021;290;-99.39205;
0.009037151;284;-102.9808;
0.00619929;315;-110.2945;
0.04129954;346;-116.8639;
0.04622333;346;-118.8882;
0.05585063;325;-116.4975;
0.07953997;302;-111.9958;
0.2038978;287;-107.0178;
0.2038978;281;-102.141;
0.2038978;281;-97.22715;
0.2038978;280;-93.2874;
0.2038978;272;-91.77496;
0.2025881;264;-92.52;
0.2020685;263;-92.33961;
0.2003324;259;-88.07207;
0.1993152;247;-78.5852;
0.1982981;230;-65.85313;
0.1950663;215;-53.24517;
0.1865432;204;-42.55806;
0.1805785;189;-33.37929;
0.1746138;173;-26.39481;
0.1677951;169;-23.15136;
0.1614217;193;-22.35194;
0.1483242;229;-20.50125;
0.1362953;239;-15.94726;
0.1227932;211;-9.044177;
0.1087031;170;-0.09018524;
0.09363598;150;9.776496;
0.08067812;158;17.88343;
0.06837791;168;22.31738;
0.05200338;151;22.5448;
0.03944121;116;20.02204;
0.02851593;109;18.43045;
0.01389797;144;20.16314;
;170;23.52583;
;157;24.57388;
;138;21.70958;
;146;16.55241;
;159;11.88805;
;149;9.254009;
;139;7.690977;
;156;4.468644;
;182;-0.5543755;
;186;-5.452468;
;162;-9.800742;
;135;-15.03499;
;125;-21.42945;
;128;-27.6545;
;137;-32.87258;
;148;-37.75999;
;152;-43.22766;
;143;-50.23686;
;130;-58.3178;
;131;-65.61258;
;142;-69.84905;
;148;-70.22963;
;160;-66.94859;
;182;-60.73266;
;203;-51.7421;
;201;-40.20733;
;183;-26.22982;
;169;-10.77218;
;173;6.238968;
;194;26.08288;
;217;49.81002;
;231;76.63537;
;238;106.9141;
;243;142.2179;
;254;182.112;
;265;223.6696;
;255;264.7004;
;224;304.6427;
;198;342.2337;
;198;377.6564;
;207;413.7571;
;197;452.655;
;182;492.4822;
;182;530.2023;
;185;565.3694;
;174;599.1883;
;155;630.5896;
;156;656.2687;
;176;674.7576;
;189;688.7692;
;183;701.7756;
;155;714.8702;
;121;727.5477;
;101;739.4753;
;98;749.436;
;103;755.4013;
;106;756.1724;
;115;752.8129;
;147;748.5368;
;196;747.4564;
;230;751.687;
;230;759.5965;
;199;767.5482;
;156;774.478;
;117;783.8398;
;90;798.7083;
;84;816.9225;
;103;834.6699;
;137;854.5369;
;163;882.5392;
;165;919.9087;
;147;962.5093;
;125;1006.998;
;109;1052.524;
;112;1097.627;
;128;1140.365;
;135;1180.34;
;130;1219.28;
;133;1259.578;
;149;1301.821;
;148;1343.963;
;108;1382.856;
;67;1416.481;
;65;1444.315;
;88;1466.357;
;96;1482.345;
;90;1491.101;
;96;1491.738;
;119;1484.53;
;126;1470.676;
;96;1450.064;
;49;1421.733;
;20;1386.284;
;26;1344.996;
;54;1296.708;
;77;1239.05;
;80;1172.653;
;65;1100.211;
;45;1022.821;
;35;939.8832;
;33;853.0134;
;31;764.7144;
;40;675.2338;
;60;581.5584;
;74;481.9814;
;75;378.1339;
;74;271.8849;
;82;162.9585;
;95;50.20066;
;108;-64.97049;
;117;-180.0831;
;121;-294.0453;
;119;-407.0952;
;120;-518.1387;
;130;-625.7619;
;134;-730.0968;
;117;-832.5062;
;94;-933.6766;
;89;-1032.615;
;113;-1127.207;
;151;-1214.582;
;178;-1293.115;
;180;-1364.582;
;163;-1431.562;
;127;-1492.824;
;76;-1544.43;
;41;-1585.87;
;45;-1621.754;
;78;-1656;
;116;-1687.141;
;140;-1711.699;
;142;-1728.491;
;121;-1737.929;
;82;-1739.788;
;42;-1734.521;
;20;-1724.097;
;19;-1710.389;
;38;-1694.422;
;77;-1676.605;
;124;-1656.51;
;151;-1632.96;
;137;-1605.368;
;97;-1574.516;
;62;-1541.443;
;48;-1506.597;
;51;-1469.838;
;61;-1432.654;
;73;-1398.253;
;94;-1367.775;
;119;-1337.43;
;129;-1302.933;
;106;-1264.504;
;64;-1224.854;
;25;-1184.822;
;7;-1144.767;
;15;-1106.133;
;33;-1069.468;
;49;-1032.77;
;70;-994.5529;
;95;-954.9415;
;105;-914.0453;
;92;-871.2482;
;69;-826.0952;
;48;-779.119;
;33;-729.8853;
;32;-677.129;
;52;-621.0497;
;83;-563.918;
;112;-506.2098;
;125;-443.5729;
;112;-370.0226;
;87;-282.8339;
;73;-182.4006;
;84;-69.33746;
;107;57.17529;
;120;198.6668;
;113;356.5401;
;94;532.7083;
;79;730.2662;
;76;952.9012;
;73;1202.621;
;67;1479.458;
;71;1784.467;
;92;2120.942;
;112;2492.864;
