Результат свертки 1 файлаГригорьевский Александр_ЭКГ_27_10_2вы016.crv_2_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;-688;294.8801;
-0.02122877;-642;276.8354;
-0.02578321;-575;252.6977;
-0.02969806;-496;227.0192;
-0.02920786;-437;205.1297;
-0.03152617;-442;193.2235;
-0.03581784;-499;194.2356;
-0.04093812;-553;202.7612;
-0.04635295;-579;209.4659;
-0.05216198;-598;210.061;
-0.05685086;-612;206.2883;
-0.06011757;-605;198.1596;
-0.05858566;-566;185.4741;
-0.05842378;-517;173.0545;
-0.06065361;-484;167.603;
-0.05845338;-486;167.6134;
-0.06100743;-519;167.6166;
-0.0608493;-576;166.0966;
-0.06255765;-638;164.4149;
-0.06710602;-671;160.7863;
-0.06686705;-660;151.3364;
-0.05783848;-613;133.865;
-0.06311763;-549;108.2254;
-0.0642321;-481;75.63878;
-0.06654517;-437;41.60038;
-0.06865116;-440;14.60183;
-0.06403776;-471;0.7347146;
-0.06371848;-497;-3.948172;
-0.06076288;-502;-10.17654;
-0.05793952;-507;-24.94092;
-0.06680156;-512;-46.77358;
-0.06466153;-497;-72.66618;
-0.05853221;-448;-100.3596;
-0.06118528;-373;-123.9386;
-0.06440077;-303;-137.1865;
-0.06171774;-257;-140.5272;
-0.05564747;-258;-137.6502;
-0.04932353;-320;-128.0215;
-0.05675675;-410;-110.1645;
-0.06284994;-458;-88.16808;
-0.06052688;-434;-69.1912;
-0.06928517;-368;-56.11879;
-0.07756215;-301;-46.1975;
-0.08440998;-250;-34.15901;
-0.08431454;-224;-15.17599;
-0.08448301;-242;15.04116;
-0.08680407;-294;58.16676;
-0.1005147;-344;109.1599;
-0.1047444;-374;157.3082;
-0.09495111;-399;195.7366;
-0.09996357;-427;225.2346;
-0.1001145;-433;247.221;
-0.1077441;-402;260.375;
-0.09355988;-347;267.7634;
-0.08491337;-304;276.3022;
-0.08072823;-301;288.9874;
-0.07853086;-351;303.938;
-0.08229263;-439;319.3957;
-0.09267239;-519;333.1624;
-0.07502018;-535;338.6677;
-0.0584675;-491;329.8582;
-0.06284614;-432;307.3418;
-0.04117477;-379;276.0558;
-0.0323512;-329;240.2983;
-0.05067954;-303;205.9644;
-0.0410386;-331;181.3637;
-0.01999021;-389;170.8592;
0.009037151;-419;167.8351;
0.00619929;-407;160.1235;
0.04129954;-392;141.295;
0.04622333;-387;114.0219;
0.05585063;-358;83.22991;
0.07953997;-288;52.20774;
0.2038978;-216;24.3142;
0.2038978;-177;3.567316;
0.2038978;-159;-8.369224;
0.2038978;-156;-12.13349;
0.2038978;-201;-8.075659;
0.2025881;-292;3.904015;
0.2020685;-351;20.20932;
0.2003324;-323;33.5731;
0.1993152;-242;38.58881;
0.1982981;-163;35.82629;
0.1950663;-98;30.23832;
0.1865432;-62;29.08741;
0.1805785;-82;39.87786;
0.1746138;-147;65.78043;
0.1677951;-205;100.3798;
0.1614217;-235;132.9383;
0.1483242;-256;158.0273;
0.1362953;-276;176.7888;
0.1227932;-269;190.8211;
0.1087031;-224;201.3854;
0.09363598;-166;212.5191;
0.08067812;-128;229.2783;
0.06837791;-125;252.187;
0.05200338;-167;277.8567;
0.03944121;-252;303.5617;
0.02851593;-353;328.3207;
0.01389797;-419;350.018;
;-420;365.1285;
;-370;370.8939;
;-298;367.2615;
;-222;356.3619;
;-173;344.5884;
;-184;341.8494;
;-253;354.0706;
;-326;374.8554;
;-363;391.0415;
;-369;394.7239;
;-357;386.9265;
;-314;371.8253;
;-227;354.6583;
;-124;341.5189;
;-44;335.6328;
;-8;334.5485;
;-18;336.0358;
;-80;342.6003;
;-166;357.2993;
;-217;378.0926;
;-198;399.407;
;-133;416.6612;
;-62;429.3663;
;-5;440.422;
;22;456.4754;
;-1;485.5582;
;-60;531.0833;
;-105;586.2166;
;-119;639.9267;
;-129;687.4193;
;-158;731.5444;
;-181;775.5082;
;-172;821.4901;
;-140;873.7084;
;-107;935.7899;
;-97;1006.285;
;-123;1081.387;
;-187;1159.012;
;-258;1236.965;
;-284;1309.859;
;-245;1372.297;
;-174;1424.333;
;-106;1470.16;
;-43;1512.882;
;-4;1554.444;
;-23;1598.887;
;-96;1649.897;
;-171;1704.156;
;-205;1752.595;
;-208;1788.677;
;-198;1811.102;
;-170;1821.012;
;-112;1821.739;
;-38;1819.665;
;21;1820.389;
;46;1824.568;
;28;1829.967;
;-43;1835.488;
;-139;1841.457;
;-196;1845.57;
;-186;1842.136;
;-144;1827.044;
;-102;1802.189;
;-50;1773.645;
;6;1749.546;
;22;1739.033;
;-20;1746.59;
;-76;1765.458;
;-113;1783.036;
;-136;1793.039;
;-151;1797.034;
;-140;1797.062;
;-89;1794.31;
;-24;1792.236;
;26;1793.697;
;46;1797.13;
;30;1800.067;
;-31;1802.514;
