Результат свертки 1 файлаГригорьевский Александр_ЭКГ_27_10_йцу2016.crv_1_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;3267;-533.135;
-0.02122877;3239;-517.8407;
-0.02578321;3213;-510.3679;
-0.02969806;3195;-504.9434;
-0.02920786;3180;-494.1939;
-0.03152617;3172;-475.9934;
-0.03581784;3177;-453.3842;
-0.04093812;3182;-430.203;
-0.04635295;3158;-409.3927;
-0.05216198;3096;-391.298;
-0.05685086;3029;-374.8066;
-0.06011757;3000;-359.3373;
-0.05858566;3010;-345.4541;
-0.05842378;3017;-334.5095;
-0.06065361;2999;-327.7072;
-0.05845338;2964;-324.3473;
-0.06100743;2917;-321.8897;
-0.0608493;2850;-318.0016;
-0.06255765;2778;-312.6061;
-0.06710602;2728;-307.2571;
-0.06686705;2691;-303.3405;
-0.05783848;2645;-301.7673;
-0.06311763;2584;-302.8505;
-0.0642321;2514;-304.9961;
-0.06654517;2441;-304.7941;
-0.06865116;2376;-298.7741;
-0.06403776;2335;-287.1147;
-0.06371848;2307;-273.5439;
-0.06076288;2253;-261.4793;
-0.05793952;2165;-251.82;
-0.06680156;2075;-244.5316;
-0.06466153;2020;-238.3271;
-0.05853221;2002;-231.4473;
-0.06118528;1989;-224.8552;
-0.06440077;1956;-222.6015;
-0.06171774;1900;-224.7104;
-0.05564747;1829;-225.5635;
-0.04932353;1752;-220.2822;
-0.05675675;1682;-209.6059;
-0.06284994;1633;-197.5333;
-0.06052688;1604;-188.5263;
-0.06928517;1581;-185.3665;
-0.07756215;1557;-188.1405;
-0.08440998;1532;-193.8924;
-0.08431454;1506;-199.5573;
-0.08448301;1479;-203.9268;
-0.08680407;1454;-208.6495;
-0.1005147;1423;-216.5623;
-0.1047444;1378;-228.2639;
-0.09495111;1319;-241.7943;
-0.09996357;1261;-256.1324;
-0.1001145;1214;-271.3274;
-0.1077441;1182;-286.1839;
-0.09355988;1158;-299.9457;
-0.08491337;1136;-314.6383;
-0.08072823;1117;-331.7775;
-0.07853086;1103;-349.1308;
-0.08229263;1075;-364.0468;
-0.09267239;1022;-377.0151;
-0.07502018;972;-390.6766;
-0.0584675;950;-407.2643;
-0.06284614;945;-426.4212;
-0.04117477;934;-446.4273;
-0.0323512;919;-465.425;
-0.05067954;901;-482.0675;
-0.0410386;874;-494.9782;
-0.01999021;848;-504.2924;
0.009037151;840;-511.6312;
0.00619929;835;-518.0638;
0.04129954;803;-522.9178;
0.04622333;750;-526.2067;
0.05585063;712;-529.1756;
0.07953997;702;-532.2982;
0.2038978;704;-535.73;
0.2038978;705;-539.6368;
0.2038978;705;-543.2887;
0.2038978;703;-544.939;
0.2038978;687;-543.1;
0.2025881;657;-538.227;
0.2020685;637;-532.5869;
0.2003324;642;-529.7543;
0.1993152;654;-532.288;
0.1982981;648;-539.2988;
0.1950663;627;-545.8715;
0.1865432;611;-547.9286;
0.1805785;618;-546.2665;
0.1746138;649;-546.5036;
0.1677951;682;-553.0072;
0.1614217;690;-563.745;
0.1483242;666;-573.0797;
0.1362953;638;-578.2346;
0.1227932;628;-581.7787;
0.1087031;638;-588.1203;
0.09363598;656;-598.496;
0.08067812;670;-610.2932;
0.06837791;671;-619.8969;
0.05200338;658;-625.1248;
0.03944121;643;-625.4075;
0.02851593;644;-622.9092;
0.01389797;659;-621.1476;
;666;-621.7838;
;653;-623.0788;
;628;-622.3331;
;611;-617.8315;
;605;-609.347;
;607;-598.5106;
;619;-588.5782;
;633;-580.1563;
;621;-570.4247;
;578;-557.5175;
;542;-543.5522;
;550;-531.4991;
;596;-522.2633;
;644;-516.1273;
;665;-513.6822;
;655;-513.9905;
;632;-514.3272;
;602;-513.0499;
;573;-510.3784;
;567;-507.6266;
;596;-507.5421;
;639;-512.8823;
;657;-522.8965;
;633;-534.4826;
;597;-545.4467;
;590;-554.9056;
;607;-562.7283;
;612;-570.1113;
;588;-578.9612;
;543;-588.1642;
;493;-594.5596;
;465;-596.77;
;477;-596.4867;
;522;-595.68;
;557;-595.7678;
;556;-596.3789;
;533;-593.7643;
;510;-583.7941;
;501;-566.788;
;499;-547.028;
;499;-529.1429;
;491;-514.9562;
;481;-503.6413;
;483;-493.2421;
;500;-481.3162;
;529;-466.2858;
;553;-448.2065;
;564;-429.0586;
;554;-411.0308;
;530;-394.3433;
;506;-377.2826;
;501;-359.0256;
;517;-340.7328;
;548;-323.9951;
;578;-310.4196;
;590;-299.9278;
;575;-290.2616;
;541;-278.154;
;509;-263.0227;
;490;-245.9005;
;486;-227.8802;
;483;-210.0952;
;473;-194.8124;
;457;-182.0701;
;449;-169.0853;
;452;-152.9795;
;453;-133.7157;
;443;-112.4806;
;421;-90.32867;
;399;-66.52588;
;377;-39.37609;
;356;-8.82294;
;362;22.37404;
;407;51.10953;
;461;77.8312;
;477;106.3879;
