Результат свертки 1 файлаГригорьевский Александр_ЭКГ_27_ц10_2016.crv_2_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;221;-4371.844;
-0.02122877;89;-4288.744;
-0.02578321;-93;-4196.921;
-0.02969806;-257;-4105.561;
-0.02920786;-296;-4027.548;
-0.03152617;-173;-3971.476;
-0.03581784;9;-3933.12;
-0.04093812;146;-3898.62;
-0.04635295;239;-3854.48;
-0.05216198;297;-3791.84;
-0.05685086;269;-3705.051;
-0.06011757;139;-3594.472;
-0.05858566;-16;-3472.982;
-0.05842378;-115;-3360.255;
-0.06065361;-135;-3265.714;
-0.05845338;-78;-3184.776;
-0.06100743;52;-3112.834;
-0.0608493;218;-3047.413;
-0.06255765;351;-2978.387;
-0.06710602;407;-2891.403;
-0.06686705;390;-2781.822;
-0.05783848;302;-2653.668;
-0.06311763;139;-2512.93;
-0.0642321;-35;-2371.366;
-0.06654517;-87;-2247.214;
-0.06865116;26;-2151.177;
-0.06403776;197;-2077.517;
-0.06371848;328;-2010.533;
-0.06076288;425;-1936.439;
-0.05793952;497;-1847.254;
-0.06680156;490;-1738.384;
-0.06466153;384;-1609.691;
-0.05853221;239;-1472.656;
-0.06118528;119;-1347.318;
-0.06440077;62;-1246.08;
-0.06171774;96;-1166.001;
-0.05564747;229;-1099.875;
-0.04932353;412;-1043.095;
-0.05675675;568;-986.6457;
-0.06284994;643;-917.5424;
-0.06052688;628;-830.6423;
-0.06928517;531;-730.7219;
-0.07756215;358;-624.672;
-0.08440998;176;-522.4835;
-0.08431454;115;-438.0708;
-0.08448301;227;-380.2431;
-0.08680407;408;-344.2347;
-0.1005147;541;-317.026;
-0.1047444;635;-286.1532;
-0.09495111;723;-242.1191;
-0.09996357;744;-178.1712;
-0.1001145;655;-94.09007;
-0.1077441;516;-2.811706;
-0.09355988;424;75.17197;
-0.08491337;412;128.5897;
-0.08072823;480;162.3433;
-0.07853086;626;184.272;
-0.08229263;821;198.2325;
-0.09267239;1000;212.5234;
-0.07502018;1101;240.9695;
-0.0584675;1106;290.0063;
-0.06284614;1019;354.7316;
-0.04117477;871;426.3559;
-0.0323512;742;494.8033;
-0.05067954;743;547.5323;
-0.0410386;904;576.4769;
-0.01999021;1124;586.7264;
0.009037151;1300;591.5596;
0.00619929;1421;602.4052;
0.04129954;1505;627.8115;
0.04622333;1517;675.079;
0.05585063;1438;744.839;
0.07953997;1325;822.8859;
0.2038978;1248;887.8817;
0.2038978;1237;930.4169;
0.2038978;1307;955.9941;
0.2038978;1470;969.8438;
0.2038978;1674;973.9258;
0.2025881;1829;978.5847;
0.2020685;1884;999.974;
0.2003324;1859;1042.425;
0.1993152;1782;1096.542;
0.1982981;1654;1153.102;
0.1950663;1526;1205.024;
0.1865432;1506;1240.79;
0.1805785;1641;1250.917;
0.1746138;1836;1237.79;
0.1677951;1988;1213.536;
0.1614217;2095;1192.012;
0.1483242;2175;1185.145;
0.1362953;2172;1200.529;
0.1227932;2056;1235.98;
0.1087031;1909;1275.182;
0.09363598;1817;1297.233;
0.08067812;1800;1292.959;
0.06837791;1851;1268.286;
0.05200338;1974;1231.05;
0.03944121;2146;1184.682;
0.02851593;2293;1137.63;
0.01389797;2355;1103.712;
;2326;1088.714;
;2218;1087.655;
;2046;1093.059;
;1877;1095.916;
;1829;1081.78;
;1941;1039.626;
;2112;972.8444;
;2236;895.9455;
;2319;822.8541;
;2370;762.1602;
;2331;720.0442;
;2179;697.0566;
;1997;680.7723;
;1873;649.8892;
;1830;590.2319;
;1861;502.5677;
;1965;393.205;
;2110;268.0226;
;2225;137.9951;
;2257;16.83491;
;2199;-91.54479;
;2066;-193.6199;
;1872;-295.5887;
;1664;-402.5519;
;1544;-524.6534;
;1575;-670.8085;
;1694;-838.1536;
;1794;-1011.134;
;1851;-1171.686;
;1877;-1305.7;
;1835;-1405.657;
;1694;-1472.093;
;1502;-1517.426;
;1330;-1560.937;
;1217;-1612.37;
;1190;-1665.263;
;1262;-1709.535;
;1382;-1740.022;
;1464;-1744.657;
;1459;-1703.899;
;1379;-1607.8;
;1233;-1463.437;
;1025;-1282.663;
;807;-1080.508;
;694;-877.856;
;743;-688.1614;
;879;-504.0313;
;989;-308.7733;
;1046;-94.5476;
;1060;140.1057;
;998;399.1514;
;848;684.8586;
;669;985.2501;
;532;1276.538;
;462;1538.769;
;464;1769.055;
;542;1977.192;
;669;2175.962;
;782;2377.069;
;832;2590.412;
;804;2817.264;
;693;3049.213;
;497;3276.102;
;287;3492.322;
;199;3690.838;
;291;3860.185;
;455;3993.144;
;569;4095.612;
;641;4180.299;
;702;4263;
;694;4363.464;
;564;4495.641;
;377;4646.891;
;234;4785.319;
;170;4891.237;
;182;4968.107;
;275;5022.958;
;425;5058.494;
;557;5083.561;
;599;5110.661;
;543;5142.028;
;418;5169.625;
;240;5186.904;
;53;5190.46;
;-36;5174.701;
;35;5131.874;
;186;5058.216;
;302;4958.37;
;375;4843.197;
;423;4725.747;
;401;4616.967;
;278;4521.743;
;108;4430.492;
;-40;4322.145;
;-128;4181.544;
;-116;4009.679;
;14;3814.344;
;204;3601.97;
;357;3383.104;
;411;3171.421;
;371;2972.4;
;262;2780.766;
;98;2588.939;
;-75;2388.933;
;-152;2167.971;
;-75;1916.8;
;88;1639.961;
;234;1353.966;
;336;1074.322;
;398;809.8034;
;381;565.6133;
;265;344.1353;
;111;135.6505;
;-5;-79.97787;
;-63;-316.5539;
;-46;-571.513;
;63;-835.5879;
;233;-1102.98;
;382;-1363.451;
;446;-1601.515;
;415;-1810.077;
;308;-1994.516;
;149;-2162.784;
;-14;-2322.863;
;-80;-2486.778;
;7;-2664.407;
;178;-2853.131;
;323;-3038.849;
;420;-3208.537;
;485;-3353.802;
;481;-3466.653;
;375;-3543.385;
;219;-3595.05;
;97;-3644.694;
;49;-3707.84;
;77;-3782.214;
;183;-3860.67;
;343;-3940.254;
;483;-4012.692;
;543;-4061.877;
;517;-4079.255;
;418;-4069.03;
;259;-4039.732;
;91;-4001.014;
;25;-3967.887;
;117;-3952.224;
;280;-3951.8;
;409;-3952.816;
;504;-3941.655;
;582;-3909.442;
;578;-3849.683;
;452;-3760.522;
;292;-3653.022;
;201;-3549.987;
;184;-3467.569;
;217;-3403.717;
;318;-3350.753;
;481;-3306.935;
;637;-3267.094;
;710;-3217.397;
;678;-3149.179;
;562;-3066.542;
;393;-2978.483;
;233;-2893.815;
;187;-2825.779;
;295;-2786.101;
;471;-2773.437;
;608;-2774.448;
;698;-2775.862;
;768;-2767.618;
;770;-2740.228;
;662;-2688.778;
;502;-2623.061;
;378;-2564.934;
;325;-2529.166;
;345;-2513.378;
;452;-2508.49;
;622;-2507.088;
;777;-2496.741;
;849;-2458.447;
