–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡√Ë„Ó¸Â‚ÒÍËÈ ¿ÎÂÍÒ‡Ì‰_› √_”… ÷27_10_2016.crv_1_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;158;116.6102;
-0.02122877;179;125.3264;
-0.02578321;222;126.7253;
-0.02969806;253;127.8624;
-0.02920786;269;132.5068;
-0.03152617;286;139.7687;
-0.03581784;309;146.6975;
-0.04093812;321;151.0565;
-0.04635295;308;152.1917;
-0.05216198;265;150.3626;
-0.05685086;214;147.6504;
-0.06011757;194;145.3681;
-0.05858566;230;141.3871;
-0.05842378;301;130.3549;
-0.06065361;356;109.4399;
-0.05845338;355;83.48508;
-0.06100743;303;63.52359;
-0.0608493;232;57.01723;
-0.06255765;175;61.18747;
-0.06710602;149;66.30848;
-0.06686705;147;62.79976;
-0.05783848;151;46.12639;
-0.06311763;152;18.82315;
-0.0642321;156;-10.02135;
-0.06654517;175;-30.73949;
-0.06865116;212;-39.93958;
-0.06403776;258;-41.9545;
-0.06371848;275;-45.16433;
-0.06076288;229;-55.35471;
-0.05793952;144;-71.33205;
-0.06680156;92;-86.86143;
-0.06466153;109;-100.3214;
-0.05853221;170;-118.1009;
-0.06118528;234;-146.8506;
-0.06440077;269;-184.3077;
-0.06171774;264;-219.2346;
-0.05564747;232;-241.4991;
-0.04932353;200;-249.8167;
-0.05675675;179;-251.4513;
-0.06284994;183;-253.6923;
-0.06052688;220;-259.192;
-0.06928517;268;-268.1377;
-0.07756215;279;-280.9589;
-0.08440998;247;-296.3066;
-0.08431454;224;-309.9818;
-0.08448301;252;-318.2763;
-0.08680407;304;-320.2257;
-0.1005147;327;-317.016;
-0.1047444;296;-309.3682;
-0.09495111;229;-296.9693;
-0.09996357;154;-279.6658;
-0.1001145;103;-260.4796;
-0.1077441;121;-244.4542;
-0.09355988;225;-232.2576;
-0.08491337;346;-218.4663;
-0.08072823;385;-197.9615;
-0.07853086;324;-171.8145;
-0.08229263;238;-142.4601;
-0.09267239;186;-110.3585;
-0.07502018;173;-78.21391;
-0.0584675;188;-51.38716;
-0.06284614;221;-30.72583;
-0.04117477;251;-10.95362;
-0.0323512;263;11.89995;
-0.05067954;276;36.86235;
-0.0410386;310;60.99758;
-0.01999021;349;82.12926;
0.009037151;345;100.6506;
0.00619929;291;119.7468;
0.04129954;232;141.1351;
0.04622333;211;162.3829;
0.05585063;223;180.3145;
0.07953997;251;192.7742;
0.2038978;297;197.408;
0.2038978;350;192.825;
0.2038978;369;182.7483;
0.2038978;336;173.8761;
0.2038978;284;171.7938;
0.2025881;252;177.2061;
0.2020685;252;183.9033;
0.2003324;262;182.0615;
0.1993152;256;166.8256;
0.1982981;226;141.7009;
0.1950663;200;113.2495;
0.1865432;207;87.12364;
0.1805785;242;67.71589;
0.1746138;269;55.40683;
0.1677951;269;44.44966;
0.1614217;249;27.94076;
0.1483242;218;4.796458;
0.1362953;177;-20.02546;
0.1227932;131;-40.34793;
0.1087031;108;-55.31093;
0.09363598;143;-71.50271;
0.08067812;228;-95.46921;
0.06837791;309;-121.9327;
0.05200338;347;-136.9775;
0.03944121;345;-134.0016;
0.02851593;322;-119.9992;
0.01389797;295;-105.0421;
;275;-93.99426;
;271;-87.6917;
;286;-84.31786;
;318;-77.91093;
;368;-62.8237;
;431;-38.45016;
;484;-8.836161;
;499;19.89774;
;467;42.09831;
;411;57.66557;
;372;72.58263;
;373;90.38589;
;395;105.9922;
;409;112.9172;
