Результат свертки 1 файлаГригорьевский Алексцукцуандр_ЭКГ_07_11_2016.crv_2_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;570;755.2189;
-0.02122877;632;806.9183;
-0.02578321;700;860.8696;
-0.02969806;751;920.505;
-0.02920786;786;983.3354;
-0.03152617;825;1043.522;
-0.03581784;860;1098.811;
-0.04093812;864;1150.672;
-0.04635295;844;1199.242;
-0.05216198;842;1242.124;
-0.05685086;886;1276.344;
-0.06011757;973;1301.381;
-0.05858566;1074;1319.894;
-0.05842378;1160;1334.963;
-0.06065361;1208;1349.643;
-0.05845338;1208;1367.73;
-0.06100743;1190;1391.051;
-0.0608493;1202;1414.697;
-0.06255765;1245;1430.374;
-0.06710602;1284;1434.491;
-0.06686705;1315;1430.897;
-0.05783848;1365;1425.209;
-0.06311763;1427;1422.645;
-0.0642321;1471;1426.943;
-0.06654517;1493;1438.28;
-0.06865116;1513;1452.213;
-0.06403776;1519;1465.093;
-0.06371848;1496;1477.205;
-0.06076288;1471;1489.571;
-0.05793952;1476;1498.988;
-0.06680156;1515;1502.007;
-0.06466153;1572;1501.12;
-0.05853221;1631;1501.9;
-0.06118528;1677;1506.905;
-0.06440077;1683;1516.776;
-0.06171774;1642;1532.622;
-0.05564747;1587;1553.169;
-0.04932353;1552;1572.747;
-0.05675675;1549;1585.706;
-0.06284994;1559;1589.252;
-0.06052688;1575;1584.56;
-0.06928517;1601;1576.414;
-0.07756215;1630;1569.671;
-0.08440998;1640;1565.345;
-0.08431454;1627;1561.979;
-0.08448301;1600;1558.893;
-0.08680407;1554;1555.36;
-0.1005147;1493;1550.672;
-0.1047444;1447;1545.02;
-0.09495111;1447;1535.419;
-0.09996357;1481;1516.474;
-0.1001145;1523;1487.647;
-0.1077441;1548;1454.86;
-0.09355988;1545;1422.837;
-0.08491337;1510;1392.458;
-0.08072823;1454;1364.595;
-0.07853086;1388;1339.901;
-0.08229263;1326;1315.006;
-0.09267239;1271;1285.009;
-0.07502018;1219;1248.264;
-0.0584675;1179;1205.39;
-0.06284614;1175;1158.435;
-0.04117477;1195;1110.736;
-0.0323512;1198;1065.756;
-0.05067954;1163;1025.015;
-0.0410386;1113;987.8726;
-0.01999021;1054;953.5863;
0.009037151;963;920.9219;
0.00619929;843;887.344;
0.04129954;750;849.6053;
0.04622333;724;807.5771;
0.05585063;748;764.9382;
0.07953997;759;725.2949;
0.2038978;720;689.129;
0.2038978;635;656.551;
0.2038978;536;630.4064;
0.2038978;448;613.4919;
0.2038978;385;604.5819;
0.2025881;342;597.983;
0.2020685;301;586.7042;
0.2003324;267;567.8643;
0.1993152;257;545.8215;
0.1982981;260;528.4293;
0.1950663;240;519.0018;
0.1865432;191;513.4812;
0.1805785;145;506.3692;
0.1746138;105;497.0268;
0.1677951;48;487.9726;
0.1614217;-37;480.99;
0.1483242;-105;474.279;
0.1362953;-115;464.2679;
0.1227932;-77;448.7504;
0.1087031;-46;429.4383;
0.09363598;-56;409.2681;
0.08067812;-99;390.7182;
0.06837791;-157;375.6938;
0.05200338;-227;364.4925;
0.03944121;-291;352.94;
0.02851593;-331;334.1911;
0.01389797;-346;306.0584;
;-350;272.6295;
;-347;239.3911;
;-337;208.8035;
;-337;181.6241;
;-355;157.9144;
;-377;136.5336;
;-404;116.5376;
;-451;97.94465;
;-508;80.74725;
;-539;62.30201;
;-519;40.86578;
;-458;18.34392;
;-391;-1.436489;
;-356;-16.16479;
;-376;-24.37156;
;-440;-24.37034;
;-513;-16.65123;
;-560;-4.469676;
;-584;9.728132;
;-609;25.19508;
;-635;39.41928;
;-627;49.86505;
;-570;60.07534;
;-496;77.49447;
;-453;105.1763;
;-460;139.8726;
;-515;177.9108;
;-598;218.4963;
;-677;261.5125;
;-717;304.3594;
;-706;343.5054;
;-659;378.9574;
;-607;414.8313;
;-576;454.9328;
;-577;498.9387;
;-596;545.9165;
;-618;595.7529;
;-633;646.2367;
;-638;692.6677;
;-636;730.9431;
;-623;760.1281;
;-596;782.8492;
;-564;803.852;
;-544;826.9292;
;-537;852.5938;
;-540;878.3303;
;-567;902.6301;
;-615;925.8591;
;-647;948.1352;
;-632;966.577;
;-591;979.2515;
;-548;988.0388;
;-508;995.6145;
;-472;1001.578;
;-461;1006.769;
;-484;1016.026;
;-520;1032.53;
;-547;1053.586;
;-556;1073.1;
;-560;1087.202;
;-558;1096.538;
;-539;1104.131;
;-512;1112.43;
;-497;1122.761;
;-500;1136.164;
;-498;1152.998;
;-491;1173.161;
;-512;1196.101;
;-570;1219.652;
;-612;1238.674;
;-593;1249.346;
;-531;1252.671;
;-473;1252.759;
;-449;1251.921;
;-459;1250.919;
;-484;1249.497;
;-502;1246.108;
;-499;1237.952;
;-483;1221.563;
;-463;1195.064;
;-436;1158.537;
;-396;1113.933;
;-341;1063.831;
;-288;1010.99;
;-255;957.1715;
;-241;902.8538;
;-245;847.5413;
;-273;791.314;
;-314;733.9067;
;-328;673.2961;
;-290;607.5836;
;-220;536.8575;
;-166;463.5941;
;-152;390.5564;
;-179;320.0663;
;-227;255.7933;
;-270;201.6674;
;-283;156.7512;
;-271;114.654;
;-259;68.65353;
;-250;17.9405;
;-220;-31.31037;
;-174;-71.75348;
;-154;-102.2149;
;-170;-126.8188;
;-190;-149.2818;
;-202;-169.3876;
;-221;-185.4178;
;-240;-197.3001;
;-228;-209.0516;
;-178;-226.2427;
;-107;-250.4591;
;-48;-277.2885;
;-26;-302.2485;
;-32;-324.3981;
;-45;-343.784;
;-56;-359.983;
;-69;-375.1386;
;-78;-393.3098;
;-81;-416.8671;
;-81;-445.5441;
;-55;-477.9894;
;2;-511.9462;
;55;-544.2511;
;69;-572.0442;
;54;-595.2335;
;33;-616.5613;
;1;-639.2451;
;-41;-665.1458;
;-62;-694.77;
;-38;-728.7637;
;15;-765.6169;
;69;-800.6251;
;101;-829.9081;
;101;-851.1296;
;72;-861.5966;
;31;-860.1879;
;-1;-851.9764;
;-20;-844.4333;
;-19;-841.1219;
;9;-841.3441;
;59;-842.7267;
;99;-840.2064;
;103;-828.3657;
;88;-806.5806;
;78;-778.6295;
;66;-747.1703;
;29;-711.9993;
;-26;-672.707;
;-66;-632.8572;
;-63;-599.2813;
;-12;-575.239;
;54;-557.2231;
;86;-539.4517;
;65;-519.7488;
;26;-497.4682;
;17;-473.2862;
;35;-451.5169;
;39;-439.2452;
;17;-440.7693;
;-7;-456.0848;
;-2;-483.1144;
;29;-519.3686;
;62;-562.649;
;78;-610.571;
;85;-661.4206;
;85;-713.8688;
;64;-768.1453;
;25;-825.0182;
;5;-888.0208;
;37;-960.4344;
;97;-1039.007;
;140;-1113.006;
;146;-1174.896;
;131;-1222.283;
;105;-1250.494;
;69;-1251.769;
;39;-1225.638;
;25;-1176.367;
;26;-1102.125;
;33;-994.4575;
;56;-844.8017;
;91;-645.8373;
;112;-389.6956;
;105;-69.61955;
;80;319.4848;
;52;782.6216;
;21;1324.603;
;-8;1948.046;
;-23;2651.281;
;-23;3433.292;
;-7;4299.479;
;31;5260.913;
;79;6323.406;
;97;7486.418;
;69;8747.163;
;26;10101.38;
;0;11538.69;
;-10;13047.31;
;-20;14619.71;
;-25;16249.89;
;-2;17928.32;
;48;19642.21;
;87;21378.35;
;90;23120.09;
;71;24847.75;
;57;26539.49;
;43;28174.73;
;22;29732.59;
;17;31189.72;
;49;32520.49;
;111;33703.42;
;174;34723.34;
;213;35564.94;
;221;36210.51;
;201;36644.86;
;169;36856.28;
;151;36830.86;
;152;36551.34;
;161;36006.13;
;170;35194.51;
;196;34124.36;
;233;32808.13;
;260;31260.95;
;276;29498.76;
;295;27536.57;
;303;25389.81;
;276;23080.15;
;231;20634.93;
;206;18079.49;
;222;15434.3;
;263;12722.36;
;301;9974.595;
;325;7224.7;
;337;4503.949;
;336;1843.302;
;321;-728.8676;
;298;-3192.537;
;271;-5536.528;
;248;-7751.937;
;248;-9826.495;
;287;-11743.66;
;346;-13487.23;
;389;-15047.27;
;398;-16422.86;
;389;-17618.33;
;372;-18638.1;
;350;-19486.32;
;331;-20169.43;
;331;-20698.79;
;366;-21090.07;
;423;-21357.72;
;479;-21512.19;
;510;-21563.31;
;513;-21522.2;
;500;-21397.86;
;484;-21199.63;
;470;-20942.56;
;457;-20646.21;
;447;-20326.26;
;449;-19991.79;
;466;-19646.88;
;488;-19294.07;
;507;-18936.86;
;519;-18581.07;
;524;-18231.72;
;515;-17891.29;
;471;-17562.95;
;392;-17252.81;
;319;-16966.45;
;295;-16703.84;
;329;-16458.97;
;379;-16225.7;
;391;-16000.05;
;356;-15777.41;
;319;-15550.81;
;305;-15315.34;
;296;-15070.6;
;272;-14818.49;
;243;-14558.26;
;232;-14287.56;
;258;-14002.99;
;312;-13698.01;
;359;-13363.47;
;371;-12993.8;
;357;-12591.27;
;340;-12161.83;
;321;-11707.21;
;289;-11225.46;
;262;-10717.71;
;267;-10189.64;
;303;-9645.396;
;344;-9085.897;
;364;-8512.315;
;356;-7925.975;
;325;-7326.235;
;282;-6713.98;
;249;-6097.59;
;244;-5488.603;
;259;-4896.216;
;276;-4326.294;
;291;-3781.403;
