Результат свертки 1 файлаГригорьевский Окулоинтерфейс_ЭКГ_03_11_2016.crv_2_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;462;-217.9491;
-0.02122877;406;-210.8856;
-0.02578321;396;-189.5782;
-0.02969806;415;-162.8869;
-0.02920786;381;-138.2703;
-0.03152617;285;-121.3133;
-0.03581784;199;-116.7323;
-0.04093812;198;-123.3344;
-0.04635295;291;-131.3262;
-0.05216198;420;-133.5328;
-0.05685086;518;-133.9022;
-0.06011757;552;-136.7883;
-0.05858566;514;-136.2705;
-0.05842378;419;-123.2084;
-0.06065361;308;-97.37032;
-0.05845338;235;-68.97755;
-0.06100743;234;-53.33078;
-0.0608493;313;-59.6643;
-0.06255765;441;-83.25848;
-0.06710602;538;-108.6549;
-0.06686705;549;-122.304;
-0.05783848;518;-119.4197;
-0.06311763;518;-103.0061;
-0.0642321;535;-80.49281;
-0.06654517;498;-60.39499;
-0.06865116;400;-49.71273;
-0.06403776;307;-52.56664;
-0.06371848;297;-66.83591;
-0.06076288;389;-83.11282;
-0.05793952;525;-95.48274;
-0.06680156;624;-107.8636;
-0.06466153;643;-124.3557;
-0.05853221;588;-138.4312;
-0.06118528;485;-139.6976;
-0.06440077;376;-126.9608;
-0.06171774;305;-110.578;
-0.05564747;301;-104.9939;
-0.04932353;373;-119.2088;
-0.05675675;486;-149.9282;
-0.06284994;559;-183.49;
-0.06052688;544;-204.7283;
-0.06928517;493;-206.1465;
-0.07756215;476;-191.3792;
-0.08440998;476;-170.8154;
-0.08431454;432;-153.5365;
-0.08448301;343;-144.9686;
-0.08680407;269;-147.9828;
-0.1005147;275;-159.4785;
-0.1047444;368;-169.6737;
-0.09495111;492;-172.1966;
-0.09996357;577;-171.4539;
-0.1001145;586;-172.2773;
-0.1077441;521;-169.2561;
-0.09355988;411;-153.5385;
-0.08491337;302;-124.1899;
-0.08072823;239;-90.60093;
-0.07853086;241;-67.37164;
-0.08229263;313;-65.38498;
-0.09267239;430;-82.16641;
-0.07502018;516;-103.8453;
-0.0584675;515;-115.1805;
-0.06284614;472;-108.6899;
-0.04117477;463;-87.06599;
-0.0323512;476;-59.78271;
-0.05067954;445;-35.93198;
-0.0410386;360;-21.85511;
-0.01999021;282;-20.966;
0.009037151;279;-31.0685;
0.00619929;360;-43.15508;
0.04129954;479;-51.38229;
0.04622333;573;-59.36366;
0.05585063;608;-71.14463;
0.07953997;568;-81.46236;
0.2038978;465;-82.58784;
0.2038978;349;-73.19762;
0.2038978;276;-61.59373;
0.2038978;273;-60.99568;
0.2038978;345;-81.1244;
0.2025881;459;-119.2448;
0.2020685;538;-162.2719;
0.2003324;529;-195.7558;
0.1993152;479;-212.6607;
0.1982981;461;-214.8031;
0.1950663;467;-209.9976;
0.1865432;431;-206.7722;
0.1805785;340;-211.8774;
0.1746138;256;-230.1579;
0.1677951;246;-259.6646;
0.1614217;326;-289.9194;
0.1483242;442;-312.861;
0.1362953;525;-331.099;
0.1227932;541;-349.5051;
0.1087031;492;-364.2467;
0.09363598;396;-366.6946;
0.08067812;288;-354.2894;
0.06837791;214;-334.3391;
0.05200338;207;-320.8816;
0.03944121;280;-325.0929;
0.02851593;400;-345.9962;
0.01389797;482;-370.5276;
;471;-383.6997;
;411;-377.5841;
;385;-354.221;
;394;-322.5464;
;371;-291.5775;
;291;-268.16;
;207;-256.9447;
;193;-256.0711;
;273;-254.8429;
;398;-245.0454;
;487;-230.1193;
;502;-215.6125;
;445;-196.9951;
;340;-165.6986;
;234;-120.6109;
;169;-70.74276;
;168;-30.44675;
;232;-9.957415;
;338;-6.397222;
;420;-5.778074;
;420;5.740355;
;377;34.71902;
;363;79.31038;
;372;131.5918;
;339;182.6663;
;251;225.1463;
;164;253.8402;
;148;270.4094;
;228;285.0341;
;361;305.743;
;466;329.4395;
;489;351.0126;
;432;374.049;
;328;406.6319;
;215;450.5976;
;131;497.8109;
;111;533.8666;
