Результат свертки 1 файлаГригорьевский Окулоинтерфейс_ЭКГ_03уауфа_11_2016.crv_1_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;350;-516.3795;
-0.02122877;421;-562.4595;
-0.02578321;460;-607.83;
-0.02969806;426;-639.3068;
-0.02920786;330;-650.6827;
-0.03152617;243;-647.3799;
-0.03581784;208;-642.5087;
-0.04093812;209;-647.414;
-0.04635295;221;-662.7112;
-0.05216198;230;-680.8698;
-0.05685086;243;-692.4725;
-0.06011757;267;-689.8931;
-0.05858566;309;-670.5568;
-0.05842378;352;-641.4747;
-0.06065361;355;-612.8571;
-0.05845338;292;-587.6472;
-0.06100743;203;-560.0215;
-0.0608493;157;-524.6833;
-0.06255765;187;-482.2093;
-0.06710602;265;-439.9486;
-0.06686705;358;-406.0803;
-0.05783848;432;-381.6391;
-0.06311763;460;-357.2334;
-0.0642321;426;-319.8484;
-0.06654517;356;-263.6266;
-0.06865116;299;-194.3622;
-0.06403776;288;-127.6531;
-0.06371848;308;-77.8622;
-0.06076288;330;-48.71572;
-0.05793952;338;-31.97479;
-0.06680156;349;-15.76302;
-0.06466153;389;8.666075;
-0.05853221;475;40.74913;
-0.06118528;581;70.33415;
-0.06440077;641;86.37078;
-0.06171774;595;87.059;
-0.05564747;463;80.03365;
-0.04932353;339;72.68078;
-0.05675675;300;64.75439;
-0.06284994;343;47.84613;
-0.06052688;422;14.30058;
-0.06928517;489;-33.83512;
-0.07756215;500;-84.09205;
-0.08440998;437;-121.4298;
-0.08431454;358;-140.837;
-0.08448301;340;-152.4148;
-0.08680407;380;-173.4823;
-0.1005147;410;-213.6712;
-0.1047444;402;-269.0608;
-0.09495111;374;-329.6545;
-0.09996357;355;-386.8406;
-0.1001145;365;-434.3016;
-0.1077441;409;-467.6679;
-0.09355988;460;-488.0258;
-0.08491337;474;-502.1527;
-0.08072823;428;-517.0546;
-0.07853086;337;-533.093;
-0.08229263;266;-545.6761;
