Результат свертки 1 файлаЕремин Денис Миоинтерфейс_ЭКГфвафу_08_11_2016.crv_1_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;2773;586.1823;
-0.02122877;2830;577.5958;
-0.02578321;2842;586.3245;
-0.02969806;2789;609.622;
-0.02920786;2697;631.3605;
-0.03152617;2608;635.7577;
-0.03581784;2571;622.0296;
-0.04093812;2615;598.8663;
-0.04635295;2729;570.9005;
-0.05216198;2860;538.0716;
-0.05685086;2961;503.8236;
-0.06011757;3000;475.7989;
-0.05858566;2970;460.5649;
-0.05842378;2865;459.8501;
-0.06065361;2708;467.9969;
-0.05845338;2586;473.057;
-0.06100743;2593;463.4002;
-0.0608493;2707;435.7936;
-0.06255765;2812;396.5337;
-0.06710602;2849;354.8747;
-0.06686705;2866;317.9558;
-0.05783848;2890;293.0891;
-0.06311763;2877;287.5246;
-0.0642321;2786;299.1919;
-0.06654517;2641;312.0518;
-0.06865116;2497;309.8089;
-0.06403776;2399;292.6755;
-0.06371848;2376;272.047;
-0.06076288;2432;252.6411;
-0.05793952;2526;230.9915;
-0.06680156;2597;207.2533;
-0.06466153;2605;187.4711;
-0.05853221;2540;178.1065;
-0.06118528;2393;182.9206;
-0.06440077;2178;199.5911;
-0.06171774;1975;216.5443;
-0.05564747;1895;219.3606;
-0.04932353;1950;202.5649;
-0.05675675;2031;172.619;
-0.06284994;2056;140.1768;
-0.06052688;2038;114.1638;
-0.06928517;2008;102.9329;
-0.07756215;1954;110.2808;
-0.08440998;1857;129.793;
-0.08431454;1716;146.0856;
-0.08448301;1557;147.7499;
-0.08680407;1426;137.2271;
-0.1005147;1376;122.9131;
-0.1047444;1420;106.9199;
-0.09495111;1505;86.66782;
-0.09996357;1559;63.50091;
-0.1001145;1544;44.15082;
-0.1077441;1460;35.98526;
-0.09355988;1299;42.36505;
-0.08491337;1078;59.96683;
-0.08072823;894;77.44923;
-0.07853086;853;81.36349;
-0.08229263;929;66.05743;
-0.09267239;997;36.46113;
-0.07502018;991;3.447247;
-0.0584675;959;-23.11463;
-0.06284614;936;-36.11089;
