–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡≈ÂÏËÌ ƒÂÌËÒ ÕÂÈÈˆ‚ÈÓËÌÚÂÙÂÈÒ_› √_03_11_2016.crv_2_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;608;-442.9149;
-0.02122877;477;-485.4619;
-0.02578321;372;-528.9531;
-0.02969806;329;-578.8766;
-0.02920786;337;-639.074;
-0.03152617;341;-706.4277;
-0.03581784;318;-772.2341;
-0.04093812;283;-829.5612;
-0.04635295;246;-878.1788;
-0.05216198;194;-922.696;
-0.05685086;120;-967.1942;
-0.06011757;26;-1011.77;
-0.05858566;-69;-1053.88;
-0.05842378;-141;-1092.266;
-0.06065361;-183;-1126.742;
-0.05845338;-207;-1155.902;
-0.06100743;-214;-1178.046;
-0.0608493;-199;-1192.929;
-0.06255765;-183;-1199.724;
-0.06710602;-193;-1195.786;
-0.06686705;-236;-1180.076;
-0.05783848;-300;-1156.159;
-0.06311763;-347;-1129.265;
-0.0642321;-358;-1101.589;
-0.06654517;-345;-1071.134;
-0.06865116;-317;-1035.727;
-0.06403776;-279;-995.1688;
-0.06371848;-262;-949.6153;
-0.06076288;-292;-898.2678;
-0.05793952;-343;-841.3187;
-0.06680156;-383;-780.1835;
-0.06466153;-419;-716.2422;
-0.05853221;-464;-651.0797;
-0.06118528;-510;-587.8552;
-0.06440077;-532;-530.0172;
-0.06171774;-517;-478.752;
-0.05564747;-481;-433.7934;
-0.04932353;-454;-394.7693;
-0.05675675;-458;-359.1237;
-0.06284994;-504;-323.1978;
-0.06052688;-576;-286.6782;
-0.06928517;-626;-253.5287;
-0.07756215;-625;-227.2606;
-0.08440998;-598;-208.0123;
-0.08431454;-600;-195.5484;
-0.08448301;-647;-190.0166;
-0.08680407;-692;-190.8069;
-0.1005147;-695;-196.7789;
-0.1047444;-668;-208.2181;
-0.09495111;-641;-227.2077;
-0.09996357;-621;-255.2519;
-0.1001145;-618;-289.9109;
-0.1077441;-632;-326.1227;
-0.09355988;-649;-360.2928;
-0.08491337;-659;-391.9721;
-0.08072823;-663;-422.6837;
-0.07853086;-657;-456.0026;
-0.08229263;-650;-495.0932;
-0.09267239;-669;-538.6407;
-0.07502018;-727;-580.4246;
-0.0584675;-791;-615.1769;
-0.06284614;-819;-643.736;
-0.04117477;-806;-671.4197;
-0.0323512;-785;-702.0089;
-0.05067954;-780;-736.4191;
-0.0410386;-786;-773.6985;
-0.01999021;-801;-809.3004;
0.009037151;-827;-835.067;
0.00619929;-847;-846.1959;
0.04129954;-838;-846.6224;
0.04622333;-812;-844.5886;
0.05585063;-802;-842.8036;
0.07953997;-807;-837.6575;
0.2038978;-801;-824.5328;
0.2038978;-772;-801.9044;
0.2038978;-736;-770.9901;
0.2038978;-697;-735.5051;
0.2038978;-655;-700.1384;
0.2025881;-630;-669.1976;
0.2020685;-648;-642.7825;
