Результат свертки 1 файлаЕремин Денис Нейроинтерфейс_ЭКГ_03фаф_11_2016.crv_2_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;2528;-77.38936;
-0.02122877;2466;-113.1326;
-0.02578321;2428;-148.4803;
-0.02969806;2413;-182.8491;
-0.02920786;2404;-216.6622;
-0.03152617;2383;-251.7739;
-0.03581784;2335;-288.476;
-0.04093812;2258;-324.0023;
-0.04635295;2169;-355.578;
-0.05216198;2094;-383.7938;
-0.05685086;2049;-412.0508;
-0.06011757;2024;-443.9458;
-0.05858566;1999;-480.9322;
-0.05842378;1968;-521.1041;
-0.06065361;1928;-560.5329;
-0.05845338;1879;-594.9404;
-0.06100743;1830;-622.6665;
-0.0608493;1790;-646.129;
-0.06255765;1755;-670.017;
-0.06710602;1711;-696.196;
-0.06686705;1656;-723.5466;
-0.05783848;1594;-750.5239;
-0.06311763;1534;-775.5228;
-0.0642321;1493;-796.7174;
-0.06654517;1478;-814.3781;
-0.06865116;1473;-830.8641;
-0.06403776;1450;-846.2783;
-0.06371848;1398;-856.7821;
-0.06076288;1328;-859.476;
-0.05793952;1269;-856.1904;
-0.06680156;1238;-850.6095;
-0.06466153;1230;-845.1485;
-0.05853221;1222;-840.9113;
-0.06118528;1200;-837.7048;
-0.06440077;1162;-832.6561;
-0.06171774;1120;-821.2027;
-0.05564747;1085;-801.0698;
-0.04932353;1061;-775.205;
-0.05675675;1044;-748.7396;
-0.06284994;1023;-724.3502;
-0.06052688;994;-701.3993;
-0.06928517;961;-678.0394;
-0.07756215;934;-653.0438;
-0.08440998;921;-626.1703;
-0.08431454;919;-598.6033;
-0.08448301;920;-571.9908;
-0.08680407;907;-546.5603;
-0.1005147;873;-520.1194;
-0.1047444;830;-490.6943;
-0.09495111;806;-459.3362;
-0.09996357;815;-429.7629;
-0.1001145;839;-405.3965;
-0.1077441;848;-387.5621;
-0.09355988;833;-375.205;
-0.08491337;807;-364.8195;
-0.08072823;786;-351.7886;
-0.07853086;774;-334.5189;
-0.08229263;773;-316.5609;
-0.09267239;778;-303.1828;
-0.07502018;773;-295.6448;
-0.0584675;748;-291.9865;
-0.06284614;712;-290.5781;
-0.04117477;690;-291.0785;
-0.0323512;694;-292.6823;
-0.05067954;720;-295.4359;
-0.0410386;744;-301.7018;
-0.01999021;741;-312.433;
0.009037151;707;-323.5243;
0.00619929;661;-330.3947;
0.04129954;629;-333.7902;
0.04622333;620;-338.5893;
0.05585063;620;-348.9053;
0.07953997;623;-365.8752;
0.2038978;624;-387.6274;
0.2038978;621;-409.3373;
0.2038978;607;-425.9772;
0.2038978;590;-436.7176;
0.2038978;584;-445.3788;
0.2025881;591;-456.0888;
0.2020685;596;-469.7576;
0.2003324;584;-484.788;
0.1993152;561;-499.4973;
0.1982981;553;-512.7663;
0.1950663;571;-524.1941;
0.1865432;601;-534.9113;
0.1805785;617;-547.9673;
0.1746138;601;-563.623;
0.1677951;563;-577.5828;
0.1614217;520;-585.3984;
0.1483242;491;-587.5184;
0.1362953;487;-588.6252;
0.1227932;505;-592.6989;
0.1087031;529;-601.2635;
0.09363598;547;-613.2823;
0.08067812;553;-625.2962;
0.06837791;549;-632.6724;
0.05200338;541;-633.7908;
0.03944121;534;-631.3931;
0.02851593;530;-630.1792;
0.01389797;518;-632.665;
;491;-638.1679;
;469;-644.1394;
;480;-648.3439;
;523;-649.9425;
;571;-650.298;
;602;-652.1845;
;609;-656.4349;
;595;-660.321;
;571;-660.0085;
;563;-655.5881;
;579;-650.6301;
;606;-648.775;
;623;-651.4262;
;628;-657.8808;
;630;-664.4537;
;634;-666.6043;
;644;-663.1122;
;664;-657.6907;
;685;-655.248;
;691;-657.2815;
;675;-662.0661;
;655;-667.3342;
;653;-671.6871;
;674;-674.7164;
;707;-677.4363;
;734;-680.9244;
;740;-684.8427;
;723;-687.0629;
;693;-685.2596;
;673;-679.1498;
;681;-670.7392;
;711;-662.8113;
;748;-656.4575;
;775;-649.9337;
;786;-638.938;
;782;-618.8209;
;776;-587.4395;
;780;-547.9918;
