Результат свертки 1 файлаЕремин Денис Нейроинтерфейс_ЭКГ_0йцвй2_11_2016.crv_1_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;4320;594.3784;
-0.02122877;4355;614.9974;
-0.02578321;4406;632.8345;
-0.02969806;4441;650.5544;
-0.02920786;4458;668.283;
-0.03152617;4481;683.1748;
-0.03581784;4509;692.5596;
-0.04093812;4517;696.566;
-0.04635295;4501;699.7492;
-0.05216198;4479;706.6874;
-0.05685086;4461;717.1193;
-0.06011757;4445;725.1002;
-0.05858566;4441;724.3503;
-0.05842378;4464;713.3633;
-0.06065361;4492;694.7038;
-0.05845338;4474;672.4037;
-0.06100743;4409;649.7852;
-0.0608493;4357;627.238;
-0.06255765;4351;601.2314;
-0.06710602;4359;568.5831;
-0.06686705;4341;532.1259;
-0.05783848;4304;498.1146;
-0.06311763;4264;469.7446;
-0.0642321;4219;446.5568;
-0.06654517;4164;427.5599;
-0.06865116;4092;411.778;
-0.06403776;4004;397.7398;
-0.06371848;3913;385.3177;
-0.06076288;3842;375.469;
-0.05793952;3797;368.7808;
-0.06680156;3759;365.4855;
-0.06466153;3705;366.6293;
-0.05853221;3634;372.4864;
-0.06118528;3552;382.4477;
-0.06440077;3446;396.6801;
-0.06171774;3299;416.202;
-0.05564747;3135;439.8622;
-0.04932353;3012;464.9941;
-0.05675675;2950;489.7355;
-0.06284994;2908;513.5015;
-0.06052688;2839;534.9305;
-0.06928517;2745;552.6897;
-0.07756215;2661;568.7484;
-0.08440998;2607;584.9854;
-0.08431454;2567;599.8564;
-0.08448301;2508;610.0015;
-0.08680407;2413;612.7842;
-0.1005147;2287;606.4089;
-0.1047444;2156;592.082;
-0.09495111;2044;573.2796;
-0.09996357;1958;551.3073;
-0.1001145;1897;524.2455;
-0.1077441;1861;491.7794;
-0.09355988;1832;455.761;
-0.08491337;1780;417.4522;
-0.08072823;1693;378.2842;
-0.07853086;1588;341.2393;
-0.08229263;1492;308.3484;
-0.09267239;1419;278.5203;
-0.07502018;1369;249.743;
-0.0584675;1316;222.2021;
-0.06284614;1245;198.1578;
-0.04117477;1177;180.3302;
-0.0323512;1142;169.5719;
-0.05067954;1142;163.1163;
-0.0410386;1147;156.2896;
-0.01999021;1131;147.8254;
0.009037151;1093;140.9468;
0.00619929;1045;138.7675;
0.04129954;997;139.8515;
0.04622333;958;140.5594;
0.05585063;933;139.1568;
0.07953997;926;135.63;
0.2038978;915;130.2264;
0.2038978;874;123.8926;
0.2038978;797;117.2809;
0.2038978;722;108.239;
0.2038978;680;93.5451;
0.2025881;665;71.05066;
0.2020685;651;39.45264;
0.2003324;628;-2.132901;
0.1993152;597;-52.06316;
0.1982981;556;-105.3949;
0.1950663;502;-157.4355;
0.1865432;445;-206.7098;
0.1805785;403;-255.165;
0.1746138;368;-306.3904;
0.1677951;316;-361.4666;
0.1614217;248;-417.8463;
0.1483242;195;-473.3578;
0.1362953;181;-526.8689;
0.1227932;195;-576.4494;
0.1087031;216;-619.7128;
0.09363598;224;-656.7394;
0.08067812;205;-688.9417;
0.06837791;162;-714.3331;
0.05200338;118;-729.6525;
0.03944121;97;-735.3838;
0.02851593;99;-736.1453;
0.01389797;112;-735.8342;
;138;-734.5608;
;187;-731.0527;
;253;-724.0219;
;309;-712.6726;
;337;-696.2941;
;336;-674.9864;
;313;-647.9023;
;280;-614.7787;
;252;-578.5546;
;236;-543.961;
;236;-513.3835;
;250;-486.204;
;281;-462.0083;
;315;-441.1457;
;327;-421.9198;
;321;-400.4767;
;323;-373.8828;
;342;-344.4216;
;347;-317.6934;
;318;-296.6432;
;265;-279.6487;
;212;-264.8421;
;174;-252.6456;
;152;-244.1636;
;141;-239.0357;
;137;-234.9381;
;136;-228.8483;
;132;-219.3116;
;124;-207.1103;
;119;-194.864;
;122;-186.6959;
;137;-185.9827;
;161;-190.6068;
;186;-194.0039;
;200;-190.6333;
;191;-179.1965;
;173;-161.6984;
;171;-141.7581;
;195;-123.5121;
;217;-108.5061;
;200;-95.04634;
;161;-80.24479;
;140;-63.21046;
;154;-43.5985;
;181;-19.74987;
;206;10.67194;
;230;47.12581;
;245;86.71397;
;229;128.1427;
;188;172.1697;
;158;218.6865;
;164;266.1199;
;179;313.9237;
;161;362.454;
;113;413.2992;
;81;467.862;
;93;527.1793;
;132;590.9128;
;168;658.5959;
;184;727.5035;
;182;794.4832;
;173;860.6994;
;168;933.3267;
;177;1016.874;
;203;1107.966;
;234;1197.972;
;253;1281.68;
;244;1360.39;
;210;1439.355;
;173;1520.079;
;162;1599.005;
;194;1672.004;
;260;1739.971;
;332;1805.674;
;370;1872.838;
;364;1943.398;
;338;2014.897;
;328;2078.51;
;338;2126.505;
;344;2157.461;
;320;2175.562;
;280;2184.901;
;257;2187.943;
;268;2185.49;
;304;2177.299;
;345;2163.672;
;383;2145.409;
;406;2120.728;
;404;2084.571;
;392;2032.309;
;399;1965.355;
;424;1888.938;
;429;1806.678;
;401;1718.405;
;369;1624.647;
;351;1527.651;
;339;1429.918;
;327;1331.412;
;333;1229.81;
;360;1121.831;
;390;1005.833;
;402;882.594;
;390;755.5774;
;362;631.1202;
;336;512.6465;
;320;396.6581;
;305;275.3306;
;283;146.4306;
;265;15.23306;
;260;-111.4541;
;264;-231.7718;
;270;-348.8109;
;283;-467.0576;
;301;-588.0663;
;300;-710.1967;
;288;-830.1708;
;294;-945.4082;
;325;-1056.944;
;366;-1167.304;
;407;-1276.566;
;437;-1381.672;
;453;-1479.792;
;464;-1568.013;
;477;-1643.894;
;489;-1708.914;
;504;-1769.25;
;524;-1830.016;
;534;-1890.903;
;521;-1947.089;
;492;-1992.227;
;471;-2023.528;
;467;-2043.746;
;463;-2057.994;
;446;-2067.671;
;418;-2068.863;
;387;-2056.929;
;368;-2032.976;
;371;-2005.238;
;378;-1980.836;
;364;-1959.784;
;329;-1938.892;
;302;-1917.963;
;298;-1897.31;
;304;-1874.332;
;310;-1845.602;
;316;-1811.44;
;320;-1774.793;
;323;-1737.127;
;339;-1697.576;
;370;-1657.323;
;411;-1620.564;
;460;-1590.172;
;512;-1564.177;
;548;-1538.543;
;543;-1511.143;
;501;-1481.914;
;454;-1453.114;
;437;-1426.534;
;461;-1401.333;
;495;-1374.902;
;505;-1347.43;
;493;-1322.597;
;468;-1304.144;
;429;-1292.759;
;375;-1287.179;
;326;-1288.402;
;300;-1300.631;
;275;-1325.017;
;235;-1357.714;
;196;-1397.033;
;184;-1445.368;
;195;-1505.302;
;201;-1576.952;
;204;-1659.117;
;210;-1748.992;
;216;-1842.59;
;210;-1938.691;
;189;-2036.717;
;156;-2133.514;
;127;-2222.768;
;127;-2298.053;
;160;-2354.219;
;208;-2387.913;
;252;-2394.011;
;291;-2365.375;
;324;-2294.31;
;327;-2173.613;
;288;-1993.785;
;227;-1743.373;
;194;-1412.676;
;213;-995.1512;
;260;-487.5596;
;301;110.6813;
;320;800.3079;
;322;1584.968;
;315;2468.667;
;305;3453.57;
;287;4538.346;
;260;5717.651;
;238;6982.808;
;233;8323.807;
;252;9731.742;
;291;11196.41;
;334;12704.14;
;350;14238.43;
;327;15783.16;
;280;17323.51;
;229;18843.58;
;192;20324.23;
;179;21744.51;
;201;23082.9;
;246;24314.87;
;285;25415.77;
;296;26367.31;
;292;27159.02;
;288;27782.81;
;276;28228.27;
;247;28481.7;
;221;28529.85;
;221;28364.6;
;234;27986.85;
;238;27404.39;
;240;26626.69;
;262;25659.48;
;304;24505.21;
;346;23166.86;
;362;21651.94;
;354;19974.81;
;332;18156.3;
;307;16219.82;
;283;14186;
;287;12071.43;
;325;9894.208;
;359;7678.867;
;342;5454.753;
;290;3250.157;
;260;1086.061;
;288;-1021.914;
;346;-3057.87;
;388;-5005.146;
;399;-6850.523;
;409;-8583.332;
;435;-10191.79;
;464;-11663.74;
;473;-12991.56;
;473;-14172.99;
;466;-15206.92;
;452;-16091.82;
;449;-16826.38;
;496;-17412.53;
;588;-17857.73;
;677;-18172.56;
;728;-18367.01;
;755;-18449.91;
;774;-18429.84;
;773;-18315.64;
;747;-18117.07;
;717;-17844.96;
;711;-17511.78;
;739;-17130.41;
;792;-16713.63;
;856;-16271.62;
;905;-15811.72;
;925;-15340.16;
;922;-14865.07;
;917;-14393.45;
;911;-13928.24;
;894;-13468.52;
;860;-13013.83;
;823;-12565.74;
;808;-12127.92;
;826;-11705.38;
;860;-11302.78;
;885;-10919.84;
;883;-10549.63;
;841;-10183.05;
;784;-9814.449;
;748;-9443.155;
;752;-9071.24;
;764;-8701.414;
;747;-8334.258;
;699;-7965.551;
;650;-7587.509;
;624;-7193.963;
;621;-6784.503;
;628;-6363.705;
;642;-5937.169;
;653;-5505.576;
;648;-5063.646;
;630;-4604.875;
;604;-4128.906;
;576;-3641.842;
;548;-3151.572;
;523;-2662.573;
;486;-2175.152;
;434;-1686.649;
;395;-1195.166;
;395;-702.4673;
;425;-215.4838;
;449;255.2934;
;434;701.7483;
;370;1124.687;
;289;1532.105;
;233;1927.882;
;220;2306.599;
;219;2660.619;
;182;2988.214;
;108;3291.7;
;52;3572.227;
;63;3828.465;
;115;4057.197;
;155;4255.134;
;179;4422.63;
;214;4563.92;
;251;4684.224;
;247;4786.597;
;194;4871.553;
;140;4938.431;
;124;4986.394;
;132;5014.938;
;136;5022.824;
;154;5009.698;
;204;4979.51;
;259;4938.436;
;277;4889.944;
;256;4834.415;
;228;4772.088;
;207;4703.644;
;195;4629.488;
;184;4552.219;
;171;4476.155;
;151;4402.6;
;127;4328.488;
;113;4253.124;
;117;4180.992;
;127;4117.001;
;126;4061.985;
;129;4015.134;
;161;3974.978;
;193;3938.006;
;181;3901.203;
;138;3866.238;
;107;3838.02;
;114;3820.037;
;142;3812.86;
;159;3814.475;
;151;3820.799;
;131;3829.895;
;127;3844.613;
;129;3868.806;
;116;3903.536;
;85;3948.098;
;58;4000.508;
;55;4057.465;
;66;4117.92;
;58;4184.903;
;30;4260.313;
;0;4340.462;
;-25;4419.736;
;-67;4495.949;
;-142;4570.604;
;-240;4647.925;
;-343;4733.966;
;-422;4832.412;
;-459;4939.839;
;-473;5048.89;
;-507;5156.1;
;-578;5263.217;
;-669;5373.199;
;-746;5487.69;
;-791;5605.408;
;-798;5721.379;
;-759;5830.688;
;-684;5933.17;
;-584;6034.086;
;-459;6139.245;
;-299;6250.271;
;-107;6363.91;
;103;6475.808;
;339;6584.892;
;624;6693.868;
;967;6806.046;
;1359;6922.348;
;1810;7039.998;
;2323;7154.414;
;2861;7263.145;
;3376;7365.858;
;3850;7462.374;
;4303;7554.048;
;4769;7645.073;
;5256;7737.952;
;5747;7830.597;
;6198;7919.198;
;6568;8002.166;
;6847;8079.369;
;7076;8150.907;
;7301;8218.413;
;7536;8282.217;
;7766;8339.544;
;7952;8385.643;
;8049;8417.874;
;8039;8435.943;
;7942;8440.729;
;7797;8433.038;
;7615;8413.851;
;7375;8382.87;
;7064;8337.774;
;6692;8277.308;
;6287;8203.202;
;5855;8116.872;
;5389;8016.126;
;4905;7897.237;
;4438;7759.01;
;3993;7603.665;
;3541;7434.26;
;3062;7251.505;
;2574;7054.365;
;2106;6841.589;
;1661;6611.952;
;1229;6364.506;
;805;6099.057;
;409;5818.879;
;67;5529.457;
;-214;5235.335;
;-446;4936.998;
;-641;4631.725;
;-805;4316.337;
;-947;3990.157;
;-1068;3654.334;
;-1157;3311.93;
;-1198;2966.034;
;-1191;2616.365;
;-1147;2258.46;
;-1088;1888.815;
;-1027;1509.458;
;-972;1126.885;
;-914;745.1899;
;-848;362.5423;
;-778;-26.73038;
;-719;-426.8648;
;-675;-837.3383;
;-641;-1253.301;
;-599;-1669.084;
;-527;-2080.107;
;-418;-2484.389;
;-298;-2885.031;
;-208;-3289.104;
;-164;-3700.773;
;-152;-4115.252;
;-145;-4524.09;
;-125;-4924.175;
;-73;-5320.214;
;15;-5716.753;
;108;-6111.911;
;167;-6497.105;
;187;-6864.971;
;204;-7215.161;
;254;-7550.981;
;338;-7873.069;
;419;-8180.531;
;463;-8475.397;
;468;-8759.842;
;468;-9032.354;
;490;-9289.367;
;540;-9529.803;
;604;-9754.551;
;663;-9962.88;
;694;-10152.15;
;692;-10321.15;
;676;-10472.87;
;685;-10611.13;
;751;-10737.42;
;857;-10851.65;
;938;-10955.93;
;945;-11051.24;
;909;-11133.91;
;891;-11198;
;904;-11241.63;
;914;-11268.74;
;910;-11285.69;
;914;-11295.89;
;938;-11295.53;
;972;-11277.58;
;1004;-11239.57;
;1023;-11185.89;
;1027;-11121.31;
;1016;-11047.85;
;1002;-10966.03;
;997;-10874.14;
;998;-10768.99;
;1002;-10648.31;
;1020;-10513.08;
;1076;-10366.71;
;1157;-10213.93;
;1212;-10055.47;
;1220;-9884.633;
;1211;-9694.396;
;1223;-9486.67;
;1257;-9269.854;
;1293;-9051.373;
;1326;-8834.73;
;1350;-8619.592;
;1364;-8401.847;
;1380;-8176.425;
;1413;-7941.791;
;1448;-7701.868;
;1460;-7463.753;
;1452;-7232.997;
;1444;-7009.023;
;1438;-6787.026;
;1436;-6562.992;
;1456;-6337.31;
;1498;-6114.552;
;1536;-5900.137;
;1548;-5694.115;
;1539;-5490.052;
;1524;-5282.789;
;1520;-5075.537;
;1548;-4875.663;
;1599;-4687.748;
;1638;-4512.673;
;1648;-4348.798;
;1641;-4190.939;
;1634;-4032.705;
;1641;-3871.982;
;1674;-3713.568;
;1720;-3563.688;
;1752;-3423.98;
;1770;-3289.188;
;1804;-3152.295;
;1871;-3011.615;
;1949;-2872.054;
;2008;-2739.918;
;2031;-2616.736;
;2015;-2498.319;
;1981;-2377.534;
;1974;-2250.592;
