Результат свертки 1 файлаЕремин Денис фаМиоинтерфейс_ЭКГ_08_11_2016.crv_1_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;982;-4346.534;
-0.02122877;890;-4173.884;
-0.02578321;703;-3973.13;
-0.02969806;556;-3761.257;
-0.02920786;543;-3562.817;
-0.03152617;623;-3394.802;
-0.03581784;695;-3258.127;
-0.04093812;742;-3139.605;
-0.04635295;827;-3021.444;
-0.05216198;961;-2888.855;
-0.05685086;1077;-2734.17;
-0.06011757;1101;-2562.439;
-0.05858566;1009;-2389.533;
-0.05842378;846;-2227.116;
-0.06065361;695;-2072.907;
-0.05845338;648;-1923.171;
-0.06100743;748;-1784.392;
-0.0608493;953;-1664.943;
-0.06255765;1181;-1562.643;
-0.06710602;1351;-1465.797;
-0.06686705;1407;-1359.612;
-0.05783848;1325;-1231.346;
-0.06311763;1149;-1080.122;
-0.0642321;1014;-923.1961;
-0.06654517;1017;-785.3575;
-0.06865116;1120;-681.2749;
-0.06403776;1223;-608.8318;
-0.06371848;1305;-554.5797;
-0.06076288;1416;-501.2864;
-0.05793952;1567;-433.609;
-0.06680156;1701;-344.6696;
-0.06466153;1758;-242.0097;
-0.05853221;1709;-141.7972;
-0.06118528;1577;-54.93113;
-0.06440077;1441;20.32876;
-0.06171774;1400;87.37347;
-0.05564747;1510;141.629;
-0.04932353;1740;175.0767;
-0.05675675;2001;187.8795;
-0.06284994;2204;191.146;
-0.06052688;2282;203.0458;
-0.06928517;2202;238.7542;
-0.07756215;2024;299.6013;
-0.08440998;1890;368.9691;
-0.08431454;1904;422.7433;
-0.08448301;2033;445.1823;
-0.08680407;2165;436.8855;
-0.1005147;2262;409.6839;
-0.1047444;2371;379.8234;
-0.09495111;2507;363.4843;
-0.09996357;2632;370.3094;
-0.1001145;2686;395.1796;
-0.1077441;2633;421.0063;
-0.09355988;2491;436.0852;
-0.08491337;2348;443.2573;
-0.08072823;2305;447.7026;
-0.07853086;2408;444.321;
-0.08229263;2620;424.628;
-0.09267239;2860;389.6861;
-0.07502018;3050;352.3199;
-0.0584675;3119;330.587;
-0.06284614;3028;338.332;
-0.04117477;2835;375.2786;
-0.0323512;2685;423.9717;
-0.05067954;2681;460.1159;
-0.0410386;2785;468.72;
-0.01999021;2888;450.3545;
0.009037151;2964;415.7609;
0.00619929;3070;379.8895;
0.04129954;3217;357.5986;
0.04622333;3336;358.06;
0.05585063;3354;376.313;
0.07953997;3255;396.8426;
0.2038978;3085;409.0716;
0.2038978;2931;414.8847;
0.2038978;2879;416.5185;
0.2038978;2968;407.2688;
0.2038978;3159;378.9936;
0.2025881;3373;333.9533;
0.2020685;3531;284.1936;
0.2003324;3568;245.8972;
0.1993152;3453;232.7316;
0.1982981;3228;246.6347;
0.1950663;3039;271.7208;
0.1865432;3005;284.1554;
0.1805785;3089;267.8469;
0.1746138;3162;222.1612;
0.1677951;3190;157.9572;
0.1614217;3245;91.97291;
0.1483242;3348;42.43557;
0.1362953;3430;20.32469;
0.1227932;3413;20.13807;
0.1087031;3278;23.83646;
0.09363598;3067;19.29485;
0.08067812;2861;9.276295;
0.06837791;2750;-1.502436;
0.05200338;2775;-18.76864;
0.03944121;2913;-51.47225;
0.02851593;3086;-99.16875;
0.01389797;3209;-151.1693;
;3211;-191.4752;
;3056;-205.7504;
;2797;-190.5957;
;2575;-160.1681;
;2498;-138.6366;
;2522;-144.6402;
;2537;-180.5326;
;2520;-234.2489;
;2531;-287.5397;
;2578;-323.1841;
;2606;-332.4375;
;2558;-321.6826;
;2408;-308.5799;
;2172;-304.9554;
;1926;-307.7508;
;1772;-311.706;
;1766;-321.6863;
;1875;-346.4105;
;2015;-386.2616;
;2098;-431.3224;
;2057;-464.7013;
;1868;-470.471;
;1587;-445.1806;
;1353;-404.834;
;1261;-374.6673;
;1262;-372.3069;
;1261;-398.4817;
;1245;-441.7285;
;1269;-484.944;
;1338;-511.0653;
;1385;-509.3429;
;1343;-484.502;
;1187;-453.8058;
;948;-430.2353;
;710;-412.4865;
;573;-395.5349;
;583;-383.2671;
;710;-383.4256;
;874;-396.6729;
;984;-413.4057;
;974;-417.7814;
;816;-394.4925;
;566;-340.0021;
;356;-269.1506;
;288;-206.0415;
;324;-167.8584;
;349;-157.3495;
;340;-165.5696;
;362;-176.0297;
;447;-169.7986;
;530;-135.0067;
;528;-76.98904;
;406;-14.56746;
;194;37.29231;
;-18;79.31316;
;-130;117.8141;
;-93;149.4466;
;71;164.1218;
;278;159.7049;
;433;146.7908;
;455;142.1286;
