–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡≈ÂÏËÌ ƒÂÌËÒ_› √_01_11_2016ÛÍ‡ˆÛ.crv_1_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;926;-182.4071;
-0.02122877;786;-159.6158;
-0.02578321;664;-132.4143;
-0.02969806;609;-106.7138;
-0.02920786;609;-88.3174;
-0.03152617;631;-80.06322;
-0.03581784;659;-80.44604;
-0.04093812;680;-83.42294;
-0.04635295;679;-82.73717;
-0.05216198;660;-75.18102;
-0.05685086;640;-62.80053;
-0.06011757;608;-52.53874;
-0.05858566;551;-51.28515;
-0.05842378;487;-60.79064;
-0.06065361;457;-77.23015;
-0.05845338;470;-95.13635;
-0.06100743;507;-110.505;
-0.0608493;547;-124.4326;
-0.06255765;578;-142.2117;
-0.06710602;579;-166.1907;
-0.06686705;520;-190.6065;
-0.05783848;416;-207.293;
-0.06311763;335;-216.1577;
-0.0642321;332;-224.821;
-0.06654517;388;-240.5271;
-0.06865116;438;-264.7317;
-0.06403776;452;-293.759;
-0.06371848;431;-321.0472;
-0.06076288;386;-339.7138;
-0.05793952;341;-345.9817;
-0.06680156;319;-341.2138;
-0.06466153;315;-331.7564;
-0.05853221;297;-324.3188;
-0.06118528;266;-321.4428;
-0.06440077;256;-320.9624;
-0.06171774;281;-319.8449;
-0.05564747;325;-317.0355;
-0.04932353;371;-313.2781;
-0.05675675;400;-309.6772;
-0.06284994;389;-304.9912;
-0.06052688;327;-295.5526;
-0.06928517;240;-278.6355;
-0.07756215;189;-256.0509;
-0.08440998;211;-233.246;
-0.08431454;277;-216.5398;
-0.08448301;334;-209.7672;
-0.08680407;357;-210.7527;
-0.1005147;352;-212.8575;
-0.1047444;330;-209.0424;
-0.09495111;307;-197.1289;
-0.09996357;300;-180.5702;
-0.1001145;307;-166.3314;
-0.1077441;310;-158.2228;
-0.09355988;300;-155.5281;
-0.08491337;296;-157.0783;
-0.08072823;317;-163.3553;
-0.07853086;359;-173.0055;
-0.08229263;406;-183.1902;
-0.09267239;433;-193.3812;
-0.07502018;422;-202.5954;
-0.0584675;370;-206.3314;
-0.06284614;305;-201.2366;
-0.04117477;269;-191.7272;
-0.0323512;285;-186.7625;
-0.05067954;332;-192.2869;
-0.0410386;373;-207.8778;
-0.01999021;391;-228.6972;
0.009037151;386;-248.6766;
0.00619929;366;-262.8249;
0.04129954;343;-267.3736;
0.04622333;339;-261.9565;
0.05585063;344;-251.3821;
0.07953997;328;-242.7456;
0.2038978;287;-240.1736;
0.2038978;253;-243.8356;
0.2038978;249;-251.3681;
0.2038978;272;-258.6306;
0.2038978;308;-262.6263;
0.2025881;350;-263.821;
0.2020685;375;-262.6889;
0.2003324;356;-256.6351;
0.1993152;296;-244.1983;
0.1982981;246;-229.5311;
0.1950663;246;-219.1777;
0.1865432;288;-216.9605;
0.1805785;340;-222.5373;
0.1746138;376;-232.9882;
0.1677951;390;-243.9653;
0.1614217;397;-250.2219;
0.1483242;417;-247.765;
0.1362953;447;-239.2172;
0.1227932;450;-232.5005;
0.1087031;402;-232.4385;
0.09363598;337;-236.1085;
0.08067812;307;-240.0914;
0.06837791;325;-244.1971;
0.05200338;368;-247.7722;
0.03944121;420;-247.8856;
0.02851593;482;-244.3915;
0.01389797;526;-238.9369;
;519;-229.938;
;465;-213.9981;
;410;-192.4702;
;391;-172.5479;
;399;-160.0821;
;417;-154.0732;
;449;-148.3264;
;490;-136.5344;
;522;-115.0658;
;531;-84.04568;
;527;-47.28376;
;510;-10.40589;
;457;22.59908;
;375;50.2229;
;313;71.86163;
;322;88.524;
;405;103.1709;
;512;117.0947;
;580;128.4037;
;578;135.9383;
;509;143.9078;
;408;157.9364;
;327;177.9901;
;304;196.6499;
;333;206.357;
;386;204.898;
;427;195.0604;
;437;181.1653;
;419;168.1543;
;396;160.6676;
;389;159.5152;
;386;159.9056;
;366;155.2105;
;341;143.3825;
;346;127.4373;
;390;111.188;
;444;96.13538;
;484;81.32813;
