–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡≈ÂÏËÌ ƒÂÌËÒ_› √_01_11_201Û6.crv_1_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;3577;117.9359;
-0.02122877;3477;65.01067;
-0.02578321;3561;-3.808658;
-0.02969806;3784;-86.20679;
-0.02920786;3939;-180.2195;
-0.03152617;3894;-281.0374;
-0.03581784;3731;-380.804;
-0.04093812;3607;-476.0554;
-0.04635295;3562;-568.2065;
-0.05216198;3537;-657.2306;
-0.05685086;3522;-742.0602;
-0.06011757;3551;-824.9143;
-0.05858566;3609;-906.9709;
-0.05842378;3653;-981.6749;
-0.06065361;3698;-1036.397;
-0.05845338;3754;-1065.199;
-0.06100743;3763;-1076.796;
-0.0608493;3686;-1085.193;
-0.06255765;3588;-1092.862;
-0.06710602;3542;-1089.786;
-0.06686705;3530;-1064.791;
-0.05783848;3505;-1015.305;
-0.06311763;3453;-948.3319;
-0.0642321;3383;-875.5859;
-0.06654517;3300;-802.9118;
-0.06865116;3224;-725.2275;
-0.06403776;3183;-636.2957;
-0.06371848;3167;-536.5217;
-0.06076288;3123;-429.0049;
-0.05793952;3000;-318.2241;
-0.06680156;2813;-213.7392;
-0.06466153;2627;-124.0991;
-0.05853221;2482;-48.99466;
-0.06118528;2370;16.91716;
-0.06440077;2274;80.1532;
-0.06171774;2191;149.4249;
-0.05564747;2133;229.8695;
-0.04932353;2122;313.7464;
-0.05675675;2163;386.7206;
-0.06284994;2187;440.5013;
-0.06052688;2101;474.0274;
-0.06928517;1897;488.2443;
-0.07756215;1692;489.3205;
-0.08440998;1622;487.5329;
-0.08431454;1707;488.3064;
-0.08448301;1831;488.1696;
-0.08680407;1866;481.9828;
-0.1005147;1797;469.1336;
-0.1047444;1702;451.4291;
-0.09495111;1644;430.1763;
-0.09996357;1629;405.6158;
-0.1001145;1625;373.7797;
-0.1077441;1620;328.6165;
-0.09355988;1652;272.7425;
-0.08491337;1742;220.5505;
-0.08072823;1824;182.5639;
-0.07853086;1818;152.9997;
-0.08229263;1736;118.4386;
-0.09267239;1639;74.99065;
-0.07502018;1521;27.86558;
-0.0584675;1343;-23.50769;
-0.06284614;1157;-88.85802;
-0.04117477;1076;-171.4792;
-0.0323512;1101;-258.8698;
-0.05067954;1102;-335.3965;
-0.0410386;1013;-398.9471;
-0.01999021;899;-457.6086;
0.009037151;825;-516.085;
0.00619929;774;-573.5908;
0.04129954;731;-630.244;
0.04622333;728;-690.799;
0.05585063;772;-760.5486;
0.07953997;820;-837.6855;
0.2038978;815;-912.379;
0.2038978;736;-982.2252;
0.2038978;636;-1058.823;
0.2038978;599;-1151.65;
0.2038978;650;-1252.302;
0.2025881;734;-1346.777;
0.2020685;788;-1430.717;
0.2003324;802;-1504.901;
0.1993152;800;-1568.644;
0.1982981;802;-1625.745;
0.1950663;818;-1682.636;
0.1865432;860;-1738.577;
0.1805785;937;-1787.843;
0.1746138;1040;-1829.554;
0.1677951;1139;-1866.956;
0.1614217;1179;-1900.063;
0.1483242;1118;-1924.148;
0.1362953;980;-1932.716;
0.1227932;833;-1919.315;
0.1087031;725;-1882.124;
0.09363598;672;-1826.586;
0.08067812;678;-1759.664;
0.06837791;726;-1682.288;
0.05200338;772;-1589.922;
0.03944121;800;-1478.674;
0.02851593;829;-1350.96;
0.01389797;857;-1214.115;
;841;-1071.156;
;764;-917.4674;
;694;-749.3034;
;707;-571.2061;
;767;-392.1748;
;759;-222.5441;
;615;-74.2521;
;375;46.93762;
;114;151.7044;
;-95;257.8112;
;-184;368.2601;
;-123;465.7549;
;58;530.0758;
;305;557.8939;
;544;564.0342;
;655;563.6576;
;566;558.1184;
;366;538.1899;
;235;495.0459;
;253;425.2485;
;351;334.2374;
;453;236.701;
;554;145.6329;
;660;60.55611;
;744;-26.39053;
;787;-119.3749;
;832;-218.1693;
;928;-320.8132;
;1039;-417.8831;
;1065;-494.271;
;982;-541.8826;
;905;-565.7896;
;932;-575.2772;
;1016;-576.9321;
;1056;-575.9056;
;1028;-575.7114;
;968;-572.0619;
;892;-552.7626;
;814;-510.3793;
;761;-458.4439;
;729;-424.8726;
;698;-418.7525;
;673;-415.4616;
;679;-385.5212;
;721;-324.7704;
;786;-249.2245;
;863;-175.162;
;921;-112.6152;
;901;-64.90907;
;789;-27.54226;
;646;3.651618;
;538;24.19192;
;482;27.03768;
;471;13.09124;
;477;-9.327918;
;466;-28.47271;
;431;-32.99665;
;426;-19.42516;
;489;1.539257;
;563;15.09517;
;559;16.84113;
;473;13.16576;
;391;11.87029;
;387;16.97915;
;455;28.06361;
;538;46.23442;
;584;79.44548;
;598;134.7931;
;622;204.622;
;665;272.8271;
;681;332.0462;
;665;387.5568;
;669;449.5551;
;718;528.4149;
;780;628.5756;
;838;746.3846;
;894;878.6718;
;925;1029.528;
;897;1201.72;
;822;1387.654;
;735;1576.013;
;646;1760.789;
;572;1938.431;
;558;2102.85;
;614;2251.083;
;672;2391.445;
;641;2538.529;
;536;2698.856;
;466;2867.831;
;483;3037.774;
;513;3201.15;
;476;3349.173;
;383;3475.506;
;303;3579.396;
;285;3661.572;
;323;3721.147;
;365;3759.358;
;371;3777.497;
;361;3771.195;
;356;3736.177;
;344;3677.4;
;335;3602.529;
;371;3511.88;
;452;3401.617;
;533;3274.115;
;592;3136.315;
;615;2989.764;
;567;2828.891;
;456;2649.703;
;379;2456.014;
;420;2255.213;
;555;2050.771;
;697;1841.91;
;795;1628.029;
;826;1410.115;
;784;1191.265;
;697;976.1641;
;626;767.4491;
;609;561.8867;
;634;353.7801;
;674;140.5778;
;703;-76.0257;
;708;-293.476;
;714;-509.4597;
;735;-720.3166;
;720;-923.8501;
;618;-1124.394;
;492;-1330.23;
;460;-1543.827;
;531;-1758.574;
;598;-1966.203;
;606;-2164.864;
;635;-2359.489;
;748;-2557.818;
;851;-2765.254;
;818;-2981.458;
;679;-3201.438;
;577;-3417.816;
;567;-3625.667;
;576;-3826.898;
;553;-4027.671;
;531;-4227.602;
;557;-4417.397;
;613;-4588.087;
;636;-4737.665;
;587;-4867.083;
;531;-4977.537;
;550;-5070.877;
;619;-5146.315;
;630;-5199.732;
;553;-5230.33;
;447;-5242.91;
;346;-5241.194;
;257;-5224.795;
;224;-5191.271;
;267;-5133.144;
;320;-5035.835;
;325;-4889.959;
;323;-4703.989;
;367;-4499.164;
;417;-4291.395;
;395;-4078.963;
;303;-3847.898;
;210;-3590.499;
;160;-3315.623;
;139;-3038.181;
;124;-2767.215;
;118;-2508.396;
;114;-2270.044;
;78;-2055.739;
;12;-1859.389;
;-27;-1673.226;
;-24;-1497.038;
;-33;-1335.327;
;-83;-1191.767;
;-128;-1068.726;
;-116;-967.0212;
;-35;-886.8308;
;97;-830.0323;
;223;-802.5045;
;258;-806.4744;
;183;-832.5127;
;98;-864.2153;
;130;-892.7061;
;296;-915.4921;
;491;-920.0674;
;606;-882.9827;
;631;-787.7236;
;624;-630.3782;
;629;-406.783;
;654;-109.6124;
;699;265.1596;
;742;721.0925;
;745;1267.767;
;707;1917.936;
;668;2679.884;
;647;3557.184;
;640;4550.07;
;645;5657.533;
;658;6875.715;
;626;8198.938;
;502;9618.43;
;317;11122.34;
;157;12694.92;
;77;14316.63;
;85;15963.82;
;166;17611.94;
;269;19244;
;304;20853.17;
;217;22431.95;
;70;23956.9;
;26;25387.64;
;173;26681.67;
;369;27813.67;
;399;28779.24;
;247;29577.86;
;73;30193.33;
;-11;30596.98;
;-16;30768.17;
;37;30703.56;
;154;30406.97;
;301;29880.24;
;421;29127.4;
;491;28156.89;
;521;26974.2;
;509;25581.84;
;454;23988.56;
;370;22214.57;
;282;20286.35;
;225;18228.95;
;235;16058.67;
;298;13789.39;
;363;11447.65;
;396;9068.615;
;386;6669.866;
;333;4251.302;
;267;1828.907;
;213;-552.4855;
;158;-2847.348;
;98;-5033.832;
;94;-7108.932;
;182;-9071.135;
;312;-10908.96;
;402;-12601.82;
;407;-14133.15;
;341;-15500.08;
;269;-16706.12;
;234;-17751.32;
;206;-18635.49;
;144;-19363.96;
;89;-19945.05;
;125;-20383.99;
;246;-20683.76;
;364;-20851.54;
;457;-20900.52;
;589;-20839.15;
;752;-20665.83;
;819;-20384.46;
;718;-20020.82;
;545;-19608.36;
;426;-19162.09;
;393;-18679.44;
;436;-18162.57;
;554;-17625.96;
;707;-17084.17;
;823;-16541.57;
;882;-15993.82;
;922;-15437.13;
;958;-14873.75;
;991;-14312.96;
;1054;-13767.17;
;1159;-13249.25;
;1252;-12766.59;
;1283;-12315.32;
;1265;-11880.93;
;1240;-11449.17;
;1211;-11013.46;
;1176;-10570.74;
;1177;-10119.65;
;1248;-9666.9;
;1346;-9227.323;
;1389;-8810.132;
;1355;-8412.348;
;1292;-8023.31;
;1250;-7631.508;
;1245;-7230.784;
;1262;-6828.354;
;1257;-6435.864;
;1196;-6047.715;
;1099;-5640.876;
;1022;-5201.521;
;980;-4740.979;
;947;-4280.834;
;918;-3831.329;
;923;-3388.251;
;960;-2943.673;
;966;-2492.605;
;910;-2031.016;
;844;-1557.218;
;822;-1078.156;
;816;-609.9838;
;766;-163.6029;
;670;265.5722;
;579;690.6285;
;539;1117.808;
;567;1541.621;
;634;1949.156;
;676;2328.71;
;650;2676.356;
;562;2995.524;
;462;3289.122;
;399;3556.185;
;389;3797.438;
;400;4018.278;
;387;4222.728;
;334;4411.483;
;250;4584.692;
;143;4743.742;
;35;4886.603;
;-42;5002.241;
;-83;5073.09;
;-109;5091.005;
;-132;5069.555;
;-148;5032.441;
;-153;4991.899;
;-146;4947.335;
;-142;4897.758;
;-191;4844.344;
;-331;4786.952;
;-510;4726.438;
;-631;4664.405;
;-644;4596.754;
;-585;4514.202;
;-543;4411.512;
;-579;4292.697;
;-656;4167.282;
;-683;4045.339;
;-638;3933.694;
;-561;3832.563;
;-464;3736.561;
;-319;3642.121;
;-169;3550.385;
;-112;3465.608;
;-173;3392.531;
;-266;3335.749;
;-311;3294.928;
;-306;3263.329;
;-269;3234.403;
;-205;3208.529;
;-117;3191.306;
;-14;3190.662;
;123;3211.644;
;286;3250.744;
;405;3299.751;
;430;3354.655;
;425;3413.002;
;461;3468.64;
;473;3523.026;
;371;3590.63;
;200;3679.894;
;68;3780.571;
;0;3880.724;
;-31;3979.662;
;-30;4079.14;
;-9;4178.793;
;-8;4280.357;
;-63;4382.445;
;-167;4475.375;
;-303;4553.208;
;-454;4622.364;
;-597;4693.934;
;-685;4775.064;
;-711;4869.469;
;-713;4975.693;
;-720;5087.298;
;-707;5199.027;
;-624;5312.172;
;-436;5430.132;
;-148;5552.813;
;173;5674.864;
;449;5789.004;
;673;5893.045;
;938;5993.054;
;1353;6095.205;
;1929;6202.19;
;2556;6320.098;
;3121;6458.289;
;3617;6614.964;
;4131;6773.945;
;4714;6921.414;
;5315;7055.603;
;5855;7175.303;
;6327;7273.965;
