–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡≈ÂÏËÌ ƒÂÌËÒ_› √_01_11_20ÛÍ16.crv_2_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;1146;-51.5118;
-0.02122877;1069;11.66515;
-0.02578321;987;92.95347;
-0.02969806;913;180.7456;
-0.02920786;904;262.6953;
-0.03152617;1024;327.3806;
-0.03581784;1253;368.852;
-0.04093812;1503;391.6313;
-0.04635295;1707;406.1234;
-0.05216198;1833;421.7291;
-0.05685086;1860;445.9841;
-0.06011757;1786;484.0522;
-0.05858566;1656;531.2538;
-0.05842378;1555;571.586;
-0.06065361;1546;589.0418;
-0.05845338;1623;578.6939;
-0.06100743;1759;544.3293;
-0.0608493;1939;491.9365;
-0.06255765;2131;430.0001;
-0.06710602;2263;371.8294;
-0.06686705;2286;329.6472;
-0.05783848;2225;305.9981;
-0.06311763;2128;293.3878;
-0.0642321;2020;284.1677;
-0.06654517;1939;272.679;
-0.06865116;1925;251.9286;
-0.06403776;1979;218.1877;
-0.06371848;2047;176.7157;
-0.06076288;2095;136.6163;
-0.05793952;2124;103.0166;
-0.06680156;2106;81.80556;
-0.06466153;2008;79.41752;
-0.05853221;1860;93.0256;
-0.06118528;1743;109.6706;
-0.06440077;1696;118.947;
-0.06171774;1694;118.2276;
-0.05564747;1726;107.7421;
-0.04932353;1811;90.44676;
-0.05675675;1926;75.26292;
-0.06284994;2012;77.58315;
-0.06052688;2023;108.9304;
-0.06928517;1964;166.8815;
-0.07756215;1863;235.0701;
-0.08440998;1752;297.5945;
-0.08431454;1679;344.4907;
-0.08448301;1696;367.2189;
-0.08680407;1822;360.2614;
-0.1005147;2013;332.0016;
-0.1047444;2201;302.1289;
-0.09495111;2330;287.0226;
-0.09996357;2359;291.6928;
-0.1001145;2279;312.8062;
-0.1077441;2142;341.4475;
-0.09355988;2036;366.5849;
-0.08491337;1985;381.4436;
-0.08072823;1963;383.6924;
-0.07853086;1997;369.5031;
-0.08229263;2132;334.2294;
-0.09267239;2316;284.7679;
-0.07502018;2416;241.035;
-0.0584675;2378;217.9845;
-0.06284614;2256;212.2227;
-0.04117477;2119;212.6698;
-0.0323512;1976;214.4789;
-0.05067954;1840;213.6129;
-0.0410386;1767;199.8619;
-0.01999021;1798;165.5905;
0.009037151;1906;116.5562;
0.00619929;2019;66.32429;
0.04129954;2088;26.78025;
0.04622333;2081;5.006279;
0.05585063;1979;3.782217;
0.07953997;1821;18.4435;
0.2038978;1703;37.06689;
0.2038978;1681;47.02502;
0.2038978;1731;42.31223;
0.2038978;1799;20.96681;
0.2038978;1854;-19.09953;
0.2025881;1887;-74.03941;
0.2020685;1890;-127.517;
0.2003324;1866;-161.6223;
0.1993152;1813;-174.5241;
0.1982981;1721;-180.7033;
0.1950663;1612;-195.9365;
0.1865432;1529;-229.617;
0.1805785;1505;-284.9822;
0.1746138;1536;-358.0056;
