–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡∆Â‚‡Ì‰Ó‚ ‰˚ı‡ÌËÂ_› √_07_ˆÛÂˆ11_2016.crv_2_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;902;-4688.022;
-0.02122877;888;-4522.246;
-0.02578321;1005;-4388.791;
-0.02969806;1004;-4295.16;
-0.02920786;771;-4226.498;
-0.03152617;552;-4160.928;
-0.03581784;729;-4083.209;
-0.04093812;1308;-3984.324;
-0.04635295;1793;-3863.685;
-0.05216198;1752;-3733.854;
-0.05685086;1301;-3608.791;
-0.06011757;855;-3481.048;
-0.05858566;640;-3325.849;
-0.05842378;647;-3140.851;
-0.06065361;824;-2972.777;
-0.05845338;1127;-2878.719;
-0.06100743;1457;-2856.958;
-0.0608493;1662;-2839.984;
-0.06255765;1626;-2761.222;
-0.06710602;1385;-2610.855;
-0.06686705;1136;-2424.444;
-0.05783848;1080;-2245.344;
-0.06311763;1196;-2102.161;
-0.0642321;1247;-2003.124;
-0.06654517;1079;-1938.612;
-0.06865116;896;-1889.813;
-0.06403776;1075;-1835.957;
-0.06371848;1639;-1760.534;
-0.06076288;2114;-1662.875;
-0.05793952;2070;-1561.028;
-0.06680156;1620;-1472.34;
-0.06466153;1178;-1387.966;
-0.05853221;969;-1280.517;
-0.06118528;965;-1145.964;
-0.06440077;1129;-1029.245;
-0.06171774;1446;-984.6977;
-0.05564747;1807;-1009.058;
-0.04932353;2026;-1035.037;
-0.05675675;1992;-998.0952;
-0.06284994;1762;-890.4227;
-0.06052688;1536;-749.2148;
-0.06928517;1484;-617.8685;
-0.07756215;1583;-524.5988;
-0.08440998;1618;-476.2908;
-0.08431454;1446;-460.8434;
-0.08448301;1247;-457.368;
-0.08680407;1382;-447.0401;
-0.1005147;1901;-416.876;
-0.1047444;2372;-366.8149;
-0.09495111;2374;-311.4814;
-0.09996357;1974;-264.9613;
-0.1001145;1555;-219.9389;
-0.1077441;1352;-152.4718;
-0.09355988;1357;-59.1563;
-0.08491337;1514;16.22886;
