–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡∆Â‚‡Ì‰Ó‚ ‰˚ı‡ÌËÂÙ˚‡Ù˚_› √_07_11_2016.crv_2_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;329;-1071.107;
-0.02122877;-13;-1288.134;
-0.02578321;-221;-1505.721;
-0.02969806;142;-1705.76;
-0.02920786;958;-1886.032;
-0.03152617;1529;-2055.087;
-0.03581784;1369;-2223.957;
-0.04093812;728;-2388.646;
-0.04635295;161;-2523.519;
-0.05216198;-83;-2604.709;
-0.05685086;-53;-2651.056;
-0.06011757;177;-2735.667;
-0.05858566;542;-2923.531;
-0.05842378;875;-3186.91;
-0.06065361;980;-3415.064;
-0.05845338;812;-3523.084;
-0.06100743;539;-3520.143;
-0.0608493;386;-3474.016;
-0.06255765;422;-3447.69;
-0.06710602;500;-3470.875;
-0.06686705;387;-3536.756;
-0.05783848;48;-3615.521;
-0.06311763;-172;-3678.57;
-0.0642321;163;-3711.066;
-0.06654517;959;-3709.914;
-0.06865116;1519;-3682.101;
-0.06403776;1349;-3637.569;
-0.06371848;696;-3575.622;
-0.06076288;124;-3480.723;
-0.05793952;-100;-3339.028;
-0.06680156;-21;-3171.236;
-0.06466153;264;-3044.785;
-0.05853221;667;-3018.172;
-0.06118528;1035;-3063.42;
-0.06440077;1175;-3080.193;
-0.06171774;1019;-2996.708;
-0.05564747;724;-2824.921;
-0.04932353;552;-2623.965;
-0.05675675;593;-2449.221;
-0.06284994;678;-2332.924;
-0.06052688;559;-2276.738;
-0.06928517;226;-2255.978;
-0.07756215;44;-2238.424;
-0.08440998;425;-2201.911;
-0.08431454;1238;-2140.804;
-0.08448301;1788;-2066.286;
-0.08680407;1599;-1994.921;
-0.1005147;917;-1928.674;
-0.1047444;304;-1845.615;
-0.09495111;38;-1719.079;
-0.09996357;88;-1562.832;
-0.1001145;367;-1453.146;
-0.1077441;789;-1464.161;
-0.09355988;1196;-1571.114;
-0.08491337;1383;-1659.762;
-0.08072823;1268;-1642.393;
-0.07853086;995;-1526.223;
-0.08229263;818;-1373.482;
-0.09267239;850;-1243.448;
-0.07502018;949;-1170.217;
-0.0584675;859;-1154.526;
-0.06284614;537;-1168.571;
-0.04117477;336;-1184.424;
-0.0323512;693;-1192.466;
-0.05067954;1504;-1194.858;
-0.0410386;2086;-1196.902;
-0.01999021;1947;-1202.844;
0.009037151;1319;-1205.929;
0.00619929;759;-1181.63;
0.04129954;537;-1108.218;
