–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡∆Â‚‡Ì‰Ó‚_› √_31_10_20ÛÂˆ16.crv_1_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;488;278.7208;
-0.02122877;412;250.5493;
-0.02578321;374;216.7722;
-0.02969806;341;179.6253;
-0.02920786;281;141.4562;
-0.03152617;220;103.9393;
-0.03581784;204;69.06868;
-0.04093812;235;38.73793;
-0.04635295;265;15.97529;
-0.05216198;246;1.682823;
-0.05685086;174;-8.764932;
-0.06011757;88;-21.99883;
-0.05858566;37;-36.84079;
-0.05842378;45;-47.63697;
-0.06065361;101;-53.33363;
-0.05845338;161;-59.332;
-0.06100743;180;-69.40387;
-0.0608493;146;-81.53897;
-0.06255765;86;-89.69428;
-0.06710602;24;-88.73327;
-0.06686705;-40;-81.36134;
-0.05783848;-108;-74.18991;
-0.06311763;-164;-70.21893;
-0.0642321;-166;-67.25819;
-0.06654517;-113;-64.19337;
-0.06865116;-69;-61.61917;
-0.06403776;-92;-60.0319;
-0.06371848;-160;-58.33365;
-0.06076288;-215;-53.77662;
-0.05793952;-238;-44.98275;
-0.06680156;-250;-33.43062;
-0.06466153;-270;-22.34558;
-0.05853221;-287;-13.71404;
-0.06118528;-282;-9.710049;
-0.06440077;-238;-11.83529;
-0.06171774;-178;-18.87795;
-0.05564747;-146;-26.65752;
-0.04932353;-164;-31.26697;
-0.05675675;-198;-31.12412;
-0.06284994;-206;-26.45494;
-0.06052688;-191;-19.18084;
-0.06928517;-180;-11.89035;
-0.07756215;-186;-10.26043;
-0.08440998;-189;-19.48258;
-0.08431454;-178;-38.57153;
-0.08448301;-150;-59.40609;
-0.08680407;-104;-76.05782;
-0.1005147;-43;-88.98783;
-0.1047444;-6;-101.395;
-0.09495111;-26;-114.4268;
-0.09996357;-76;-126.1405;
-0.1001145;-119;-134.6404;
-0.1077441;-150;-140.2896;
-0.09355988;-175;-146.7568;
-0.08491337;-172;-157.0189;
-0.08072823;-144;-170.8285;
-0.07853086;-114;-185.8248;
-0.08229263;-88;-199.9394;
-0.09267239;-58;-209.2508;
-0.07502018;-43;-208.8891;
-0.0584675;-70;-196.4961;
-0.06284614;-126;-175.771;
-0.04117477;-186;-154.8977;
-0.0323512;-222;-139.1246;
-0.05067954;-221;-127.5323;
-0.0410386;-191;-115.9394;
-0.01999021;-155;-103.529;
