–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡∆Â‚‡Ì‰Ó‚_› √_31ÛÍˆ_10_2016.crv_2_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;2764;548.7586;
-0.02122877;2862;572.7336;
-0.02578321;2940;593.5246;
-0.02969806;2972;619.6041;
-0.02920786;2943;653.8114;
-0.03152617;2874;690.6112;
-0.03581784;2821;721.008;
-0.04093812;2827;737.1177;
-0.04635295;2884;734.9328;
-0.05216198;2964;714.9024;
-0.05685086;3053;681.7175;
-0.06011757;3122;643.5333;
-0.05858566;3143;610.1122;
-0.05842378;3133;587.3285;
-0.06065361;3120;572.8937;
-0.05845338;3100;560.1799;
-0.06100743;3062;544.3734;
-0.0608493;3042;522.691;
-0.06255765;3083;493.0635;
-0.06710602;3181;456.7794;
-0.06686705;3282;417.0087;
-0.05783848;3357;375.7043;
-0.06311763;3401;335.6579;
-0.0642321;3402;303.5605;
-0.06654517;3351;285.9923;
-0.06865116;3270;283.9778;
-0.06403776;3217;291.8282;
-0.06371848;3226;299.4737;
-0.06076288;3276;296.3485;
-0.05793952;3337;278.0166;
-0.06680156;3390;249.6097;
-0.06466153;3427;222.1187;
-0.05853221;3444;205.7976;
-0.06118528;3440;205.5081;
-0.06440077;3415;218.8786;
-0.06171774;3356;239.278;
-0.05564747;3259;259.727;
-0.04932353;3161;274.4854;
-0.05675675;3120;278.95;
-0.06284994;3144;272.8155;
-0.06052688;3184;260.8882;
-0.06928517;3199;249.3826;
-0.07756215;3185;241.3311;
-0.08440998;3132;237.9089;
-0.08431454;3020;240.6039;
-0.08448301;2860;249.7787;
-0.08680407;2707;260.3048;
-0.1005147;2601;263.6509;
-0.1047444;2548;254.8004;
-0.09495111;2528;233.6496;
-0.09996357;2514;201.3125;
-0.1001145;2477;159.9939;
-0.1077441;2402;115.7157;
-0.09355988;2290;74.28448;
-0.08491337;2158;36.14542;
-0.08072823;2017;0.1409817;
-0.07853086;1875;-34.00708;
-0.08229263;1762;-70.51112;
-0.09267239;1738;-117.5366;
-0.07502018;1812;-178.0174;
-0.0584675;1904;-246.1753;
-0.06284614;1918;-314.4597;
-0.04117477;1844;-377.7115;
-0.0323512;1732;-430.7283;
-0.05067954;1613;-471.0473;
-0.0410386;1491;-503.7959;
-0.01999021;1379;-538.4803;
0.009037151;1297;-579.8621;
0.00619929;1265;-625.7003;
0.04129954;1288;-672.1757;
0.04622333;1342;-716.197;
0.05585063;1375;-752.7909;
0.07953997;1345;-773.7853;
0.2038978;1261;-772.9482;
0.2038978;1150;-752.0289;
0.2038978;1015;-719.4974;
0.2038978;854;-684.6448;
0.2038978;714;-653.9962;
0.2025881;672;-630.7825;
0.2020685;740;-612.8679;
0.2003324;844;-594.7031;
0.1993152;904;-572.9873;
0.1982981;906;-548.2036;
0.1950663;864;-519.8376;
0.1865432;780;-484.9354;
0.1805785;670;-442.7713;
0.1746138;575;-397.6394;
0.1677951;534;-358.5511;
0.1614217;559;-335.7484;
0.1483242;643;-334.838;
0.1362953;751;-351.6165;
0.1227932;829;-375.0174;
0.1087031;847;-392.9207;
0.09363598;820;-397.8236;
0.08067812;772;-391.0787;
0.06837791;718;-382.6171;
0.05200338;673;-383.233;
0.03944121;639;-398.7654;
0.02851593;615;-431.9568;
0.01389797;615;-482.3973;
;651;-542.442;
;707;-599.7597;
;749;-645.4575;
;754;-676.8538;
;712;-694.1623;
;623;-699.6744;
;512;-698.9752;
;422;-700.4987;
;400;-709.7034;
;464;-725.05;
;572;-740.9747;
;641;-754.0786;
;630;-761.3367;
;565;-756.5787;
;482;-735.7479;
;397;-703.6601;
;319;-669.5756;
;281;-639.6584;
;312;-616.611;
;408;-601.4954;
;526;-592.1196;
;617;-584.5274;
;648;-574.0432;
;605;-554.5259;
;493;-523.1439;
;363;-486.2085;
;290;-454.9816;
;304;-436.323;
;366;-431.0396;
;442;-437.407;
;529;-451.2355;
;624;-465.1188;
;701;-470.5784;
;739;-462.4488;
;743;-440.9392;
;713;-411.186;
;649;-379.2163;
;569;-348.527;
;517;-319.5523;
;527;-290.6726;
;594;-259.4453;
;673;-221.3139;
;725;-168.2872;
;731;-92.51802;
;689;8.377973;
;613;130.4235;
;529;266.497;
;468;410.9848;
;441;560.3437;
;453;713.164;
;489;871.4335;
;520;1041.268;
;533;1229.264;
;537;1437.059;
;532;1662.133;
;492;1901.225;
;410;2149.53;
;326;2398.161;
;291;2638.232;
;316;2865.857;
;370;3082.184;
;421;3291.135;
;467;3499.034;
;496;3710.71;
;484;3926.175;
;427;4139.897;
;369;4343.549;
;338;4528.353;
;333;4688.295;
;364;4822.297;
;442;4934.352;
;548;5033.32;
;640;5129.772;
;688;5227.2;
;680;5319.314;
;621;5398.145;
;541;5460.417;
;485;5506.141;
;481;5537.146;
;539;5556.906;
;640;5569.538;
;753;5576.614;
;841;5579.474;
;864;5582.569;
;803;5592.426;
