–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡∆Â‚‡Ì‰Ó‚ˆÈ‚È_› √_31_10_2016.crv_2_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;2109;-16.18501;
-0.02122877;2049;-19.05474;
-0.02578321;1952;-5.86905;
-0.02969806;1885;13.1798;
-0.02920786;1899;26.97596;
-0.03152617;1986;30.79291;
-0.03581784;2101;25.46092;
-0.04093812;2208;15.54758;
-0.04635295;2290;9.635271;
-0.05216198;2345;17.47381;
-0.05685086;2369;44.09584;
-0.06011757;2361;85.03165;
-0.05858566;2320;132.5476;
-0.05842378;2262;180.3352;
-0.06065361;2223;222.8931;
-0.05845338;2243;254.2427;
-0.06100743;2326;274.9228;
-0.0608493;2445;291.7239;
-0.06255765;2559;311.2284;
-0.06710602;2628;336.8608;
-0.06686705;2624;371.0909;
-0.05783848;2551;413.4644;
-0.06311763;2468;457.1609;
-0.0642321;2438;493.6906;
-0.06654517;2470;518.6594;
-0.06865116;2531;531.2134;
-0.06403776;2604;530.4459;
-0.06371848;2679;517.941;
-0.06076288;2733;501.671;
-0.05793952;2747;492.901;
-0.06680156;2723;495.8412;
-0.06466153;2679;504.7646;
-0.05853221;2632;512.1118;
-0.06118528;2589;514.8724;
-0.06440077;2568;511.4103;
-0.06171774;2592;498.6781;
-0.05564747;2662;476.3018;
-0.04932353;2751;448.0125;
-0.05675675;2827;418.6082;
-0.06284994;2858;393.516;
-0.06052688;2818;378.8273;
-0.06928517;2718;375.2155;
-0.07756215;2613;375.2845;
-0.08440998;2551;370.6638;
-0.08431454;2533;359.0148;
-0.08448301;2544;339.8246;
-0.08680407;2582;311.3384;
-0.1005147;2627;274.6493;
-0.1047444;2629;237.0982;
-0.09495111;2575;206.6587;
-0.09996357;2494;185.4946;
-0.1001145;2402;169.7454;
-0.1077441;2290;154.1523;
-0.09355988;2178;134.4075;
-0.08491337;2106;106.0859;
-0.08072823;2089;66.854;
-0.07853086;2092;18.84375;
-0.08229263;2080;-32.06495;
-0.09267239;2068;-81.46503;
-0.07502018;2062;-128.0686;
-0.0584675;2018;-172.5618;
