–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡∆Â‚‡Ì‰ÓˆÛÂˆ‚_› √_02_11_2016.crv_2_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;412;403.3486;
-0.02122877;392;379.041;
-0.02578321;402;344.1255;
-0.02969806;440;300.2076;
-0.02920786;486;250.2776;
-0.03152617;518;197.5104;
-0.03581784;529;143.4892;
-0.04093812;512;88.91489;
-0.04635295;474;34.8205;
-0.05216198;432;-19.40085;
-0.05685086;409;-79.09245;
-0.06011757;416;-149.3866;
-0.05858566;445;-230.3827;
-0.05842378;486;-317.2872;
-0.06065361;532;-404.7021;
-0.05845338;564;-488.8176;
-0.06100743;566;-568.4771;
-0.0608493;546;-645.7715;
-0.06255765;524;-723.0494;
-0.06710602;499;-800.7505;
-0.06686705;467;-879.4149;
-0.05783848;447;-960.7671;
-0.06311763;462;-1046.367;
-0.0642321;512;-1134.842;
-0.06654517;574;-1221.86;
-0.06865116;622;-1302.471;
-0.06403776;635;-1374.6;
-0.06371848;606;-1438.857;
-0.06076288;551;-1495.82;
-0.05793952;505;-1546.668;
-0.06680156;491;-1596.232;
-0.06466153;508;-1648.834;
-0.05853221;544;-1703.988;
-0.06118528;598;-1757.933;
-0.06440077;660;-1807.49;
-0.06171774;701;-1849.511;
-0.05564747;699;-1881.316;
-0.04932353;669;-1902.243;
-0.05675675;643;-1915.403;
-0.06284994;630;-1924.433;
-0.06052688;621;-1932.19;
-0.06928517;615;-1939.657;
-0.07756215;639;-1945.743;
-0.08440998;697;-1948.634;
-0.08431454;763;-1946.711;
-0.08448301;801;-1937.461;
-0.08680407;794;-1918.638;
-0.1005147;751;-1890.185;
-0.1047444;696;-1853.631;
-0.09495111;657;-1811.87;
-0.09996357;656;-1768.428;
-0.1001145;683;-1727.526;
-0.1077441;721;-1691.085;
-0.09355988;763;-1656.779;
-0.08491337;807;-1619.787;
-0.08072823;838;-1574.867;
-0.07853086;845;-1518.725;
-0.08229263;833;-1453.054;
-0.09267239;813;-1383.389;
-0.07502018;789;-1314.85;
-0.0584675;769;-1250.224;
-0.06284614;772;-1190.874;
-0.04117477;810;-1137.389;
-0.0323512;871;-1089.221;
-0.05067954;936;-1044.262;
-0.0410386;991;-999.6312;
-0.01999021;1015;-952.4525;
0.009037151;1000;-900.8188;
0.00619929;963;-844.4766;
0.04129954;935;-786.9051;
0.04622333;937;-734.4937;
0.05585063;958;-692.0936;
0.07953997;987;-658.9485;
0.2038978;1027;-630.215;
0.2038978;1075;-601.0453;
0.2038978;1114;-568.2739;
0.2038978;1128;-530.5013;
0.2038978;1110;-488.752;
0.2025881;1072;-445.1632;
0.2020685;1027;-401.1525;
0.2003324;990;-357.6737;
0.1993152;981;-316.4974;
0.1982981;1005;-280.3358;
0.1950663;1056;-250.1391;
0.1865432;1121;-222.4344;
0.1805785;1180;-191.12;
0.1746138;1207;-152.3718;
0.1677951;1194;-106.4814;
0.1614217;1163;-55.71144;
0.1483242;1134;-3.593613;
0.1362953;1118;45.41231;
0.1227932;1120;88.28685;
0.1087031;1148;125.8064;
0.09363598;1203;160.324;
0.08067812;1269;194.4319;
0.06837791;1323;231.1033;
0.05200338;1343;272.5965;
0.03944121;1338;318.5366;
0.02851593;1336;364.6983;
0.01389797;1338;406.1941;
;1329;440.8139;
;1314;467.9413;
;1325;486.8365;
;1369;499.066;
;1422;507.9318;
;1458;515.734;
;1469;522.9862;
;1449;530.9493;
;1406;540.8294;
;1358;551.0164;
;1329;556.314;
;1331;552.2965;
;1361;537.4;
;1406;513.9298;
;1447;486.1024;
;1471;458.5502;
;1465;434.2743;
;1440;413.361;
;1405;393.0849;
;1373;370.0265;
;1353;342.608;
;1358;311.0057;
;1387;276.3374;
;1431;238.9721;
;1471;200.2565;
;1498;163.14;
;1498;130.174;
;1473;102.0236;
;1428;78.23655;
;1380;56.5645;
;1343;32.65696;
;1340;3.479663;
;1372;-30.71531;
;1414;-67.58305;
;1439;-104.0236;
;1437;-136.8809;
;1420;-164.3147;
;1391;-187.4713;
;1353;-208.8968;
;1308;-229.6762;
;1272;-249.0481;
;1258;-267.6967;
;1275;-288.1313;
;1307;-311.586;
;1339;-334.6787;
