Результат свертки 1 файлаЗолотов Артур Нейвыаыфвароинтерфейс_ЭКГ_08_11_2016.crv_1_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;151;-686.0162;
-0.02122877;168;-845.0335;
-0.02578321;204;-1013.393;
-0.02969806;243;-1187.46;
-0.02920786;246;-1356.894;
-0.03152617;195;-1514.264;
-0.03581784;138;-1663.147;
-0.04093812;125;-1815.109;
-0.04635295;155;-1978.227;
-0.05216198;174;-2151.5;
-0.05685086;164;-2328.646;
-0.06011757;160;-2503.414;
-0.05858566;193;-2669.954;
-0.05842378;247;-2824.738;
-0.06065361;291;-2971.751;
-0.05845338;307;-3120.566;
-0.06100743;279;-3274.671;
-0.0608493;216;-3426.588;
-0.06255765;172;-3566.696;
-0.06710602;188;-3694.832;
-0.06686705;249;-3819.541;
-0.05783848;316;-3948.673;
-0.06311763;383;-4081.776;
-0.0642321;436;-4209.141;
-0.06654517;442;-4319.808;
-0.06865116;397;-4410.546;
-0.06403776;360;-4487.883;
-0.06371848;376;-4561.774;
-0.06076288;413;-4638.023;
-0.05793952;411;-4717.125;
-0.06680156;368;-4797.568;
-0.06466153;347;-4876.215;
-0.05853221;398;-4946.122;
-0.06118528;498;-5000.312;
-0.06440077;564;-5039.818;
-0.06171774;542;-5072.875;
-0.05564747;463;-5103.729;
-0.04932353;386;-5127.408;
-0.05675675;344;-5139.188;
-0.06284994;339;-5142.126;
-0.06052688;366;-5144.672;
-0.06928517;423;-5152.165;
-0.07756215;498;-5163.742;
-0.08440998;559;-5172.879;
-0.08431454;554;-5172.352;
-0.08448301;482;-5158.409;
-0.08680407;408;-5131.908;
-0.1005147;396;-5097.824;
-0.1047444;437;-5062.848;
-0.09495111;484;-5031.659;
-0.09996357;512;-5002.743;
-0.1001145;529;-4969.983;
-0.1077441;549;-4924.493;
-0.09355988;586;-4862.161;
-0.08491337;638;-4787.675;
-0.08072823;671;-4711.342;
-0.07853086;658;-4637.79;
-0.08229263;613;-4562.902;
-0.09267239;584;-4482.587;
-0.07502018;601;-4397.785;
-0.0584675;663;-4311.076;
-0.06284614;757;-4222.099;
-0.04117477;859;-4128.592;
-0.0323512;923;-4027.367;
