Результат свертки 1 файлаЗолотов Артурцец Нейроинтерфейс_ЭКГ_08_11_2016.crv_2_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;-5;-4937.94;
-0.02122877;-49;-4928.202;
-0.02578321;-149;-4902.168;
-0.02969806;-262;-4881.212;
-0.02920786;-376;-4858.217;
-0.03152617;-439;-4824.754;
-0.03581784;-387;-4796.101;
-0.04093812;-231;-4789.049;
-0.04635295;-46;-4796.501;
-0.05216198;109;-4799.338;
-0.05685086;188;-4781.854;
-0.06011757;120;-4731.092;
-0.05858566;-98;-4643.582;
-0.05842378;-294;-4535.976;
-0.06065361;-295;-4433.191;
-0.05845338;-182;-4348.866;
-0.06100743;-136;-4284.364;
-0.0608493;-129;-4236.375;
-0.06255765;-10;-4196.302;
-0.06710602;192;-4144.59;
-0.06686705;317;-4058.43;
-0.05783848;303;-3935.11;
-0.06311763;193;-3799.872;
-0.0642321;34;-3674.293;
-0.06654517;-120;-3552.563;
-0.06865116;-193;-3424.993;
-0.06403776;-143;-3304.419;
-0.06371848;7;-3206.229;
-0.06076288;200;-3123.72;
-0.05793952;384;-3039.374;
-0.06680156;502;-2939.654;
-0.06466153;460;-2811.797;
-0.05853221;236;-2650.648;
-0.06118528;11;-2470.85;
-0.06440077;-16;-2298.685;
-0.06171774;88;-2152.953;
-0.05564747;128;-2037.978;
-0.04932353;121;-1948.675;
-0.05675675;225;-1873.458;
-0.06284994;427;-1792.078;
-0.06052688;559;-1681.91;
-0.06928517;546;-1541.226;
-0.07756215;444;-1396.155;
-0.08440998;307;-1268.721;
-0.08431454;173;-1151.772;
-0.08448301;105;-1035.171;
-0.08680407;157;-933.2105;
-0.1005147;318;-862.554;
-0.1047444;535;-815.1956;
-0.09495111;743;-771.5953;
-0.09996357;865;-716.9056;
-0.1001145;812;-638.7906;
-0.1077441;585;-532.0952;
-0.09355988;372;-411.703;
-0.08491337;357;-304.3057;
-0.08072823;468;-227.326;
-0.07853086;519;-181.2301;
-0.08229263;528;-159.32;
-0.09267239;644;-151.1525;
-0.07502018;857;-137.3822;
-0.0584675;1005;-95.23154;
-0.06284614;1010;-22.21999;
-0.04117477;906;56.89485;
-0.0323512;740;121.5151;
-0.05067954;575;177.7925;
-0.0410386;500;234.018;
-0.01999021;564;275.7399;
0.009037151;741;287.3259;
0.00619929;956;275.9459;
0.04129954;1155;260.1476;
0.04622333;1276;255.7039;
0.05585063;1227;276.4548;
0.07953997;1008;327.6905;
0.2038978;812;393.269;
0.2038978;824;445.931;
0.2038978;957;469.071;
0.2038978;1014;461.2702;
0.2038978;1026;428.0881;
0.2025881;1157;381.2238;
0.2020685;1379;342.0883;
0.2003324;1523;333.5738;
0.1993152;1525;357.2427;
0.1982981;1437;388.0367;
0.1950663;1298;404.6373;
0.1865432;1147;412.9904;
0.1805785;1073;422.6601;
0.1746138;1139;421.3346;
0.1677951;1326;392.7831;
0.1614217;1555;343.1381;
0.1483242;1756;291.7889;
0.1362953;1873;255.6032;
0.1227932;1824;246.9292;
0.1087031;1600;268.08;
0.09363598;1368;301.6053;
0.08067812;1317;322.193;
0.06837791;1406;315.9328;
0.05200338;1462;283.9868;
0.03944121;1497;232.5815;
0.02851593;1639;170.4741;
0.01389797;1852;115.3681;
;1985;89.10207;
;1980;95.2791;
;1886;110.9418;
;1735;116.0681;
;1558;115.4546;
;1440;115.501;
;1460;102.0349;
;1618;62.55885;
;1844;7.413441;
;2056;-44.55379;
;2187;-80.16677;
;2144;-88.90997;
;1912;-68.63673;
;1671;-36.05887;
;1624;-15.77469;
;1722;-21.04908;
;1763;-50.86945;
;1746;-98.28923;
;1823;-152.8866;
;1996;-196.3736;
;2121;-207.8441;
;2128;-186.1313;
;2043;-156.723;
;1889;-140.0491;
;1714;-127.4834;
;1608;-107.1234;
