–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡«ÓÎÓÚÓ‚_› √_01_11_20ˆÂ16.crv_1_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;1122;-4687.949;
-0.02122877;1107;-4939.408;
-0.02578321;1138;-5182.572;
-0.02969806;1184;-5421.493;
-0.02920786;1209;-5659.693;
-0.03152617;1200;-5892.634;
-0.03581784;1161;-6111.857;
-0.04093812;1110;-6313.935;
-0.04635295;1075;-6500.523;
-0.05216198;1078;-6673.558;
-0.05685086;1112;-6834.282;
-0.06011757;1153;-6984.456;
-0.05858566;1182;-7124.803;
-0.05842378;1197;-7253.024;
-0.06065361;1217;-7365.778;
-0.05845338;1264;-7462.52;
-0.06100743;1321;-7546.663;
-0.0608493;1352;-7621.928;
-0.06255765;1334;-7688.195;
-0.06710602;1277;-7742.574;
-0.06686705;1208;-7783.153;
-0.05783848;1187;-7811.263;
-0.06311763;1248;-7830.542;
-0.0642321;1349;-7845.312;
-0.06654517;1417;-7855.88;
-0.06865116;1427;-7856.81;
-0.06403776;1403;-7840.86;
-0.06371848;1369;-7806.438;
-0.06076288;1355;-7758.596;
-0.05793952;1386;-7702.24;
-0.06680156;1444;-7637.881;
-0.06466153;1489;-7565.601;
-0.05853221;1511;-7489.709;
-0.06118528;1521;-7414.565;
-0.06440077;1536;-7337.699;
-0.06171774;1568;-7250.993;
-0.05564747;1623;-7150.626;
-0.04932353;1665;-7041.17;
-0.05675675;1646;-6927.905;
-0.06284994;1589;-6809.776;
-0.06052688;1583;-6681.983;
-0.06928517;1658;-6541.474;
-0.07756215;1738;-6389.04;
-0.08440998;1764;-6229.777;
-0.08431454;1763;-6069.837;
-0.08448301;1761;-5911.104;
-0.08680407;1744;-5750.198;
-0.1005147;1713;-5584.714;
-0.1047444;1702;-5415.505;
-0.09495111;1730;-5241.972;
-0.09996357;1770;-5063.214;
-0.1001145;1788;-4882.089;
-0.1077441;1792;-4704.32;
-0.09355988;1826;-4532.501;
-0.08491337;1900;-4363.85;
