–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡«ÓÎÓÚÓ‚_› √_01_11_20ˆÛˆ16.crv_1_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;-946;-3758.995;
-0.02122877;-965;-3544.419;
-0.02578321;-1003;-3324.318;
-0.02969806;-1030;-3100.619;
-0.02920786;-1000;-2881.8;
-0.03152617;-913;-2673.568;
-0.03581784;-836;-2475.244;
-0.04093812;-836;-2285.514;
-0.04635295;-883;-2106.865;
-0.05216198;-910;-1938.727;
-0.05685086;-891;-1774.727;
-0.06011757;-838;-1609.17;
-0.05858566;-767;-1443.293;
-0.05842378;-702;-1279.708;
-0.06065361;-673;-1119.245;
-0.05845338;-673;-963.1646;
-0.06100743;-656;-814.6879;
-0.0608493;-593;-673.5608;
-0.06255765;-499;-535.5587;
-0.06710602;-425;-397.8135;
-0.06686705;-406;-261.6933;
-0.05783848;-432;-128.0835;
-0.06311763;-451;3.344605;
-0.0642321;-418;130.0676;
-0.06654517;-330;247.4407;
-0.06865116;-217;352.9128;
-0.06403776;-114;445.7816;
-0.06371848;-37;524.1272;
-0.06076288;16;588.8928;
-0.05793952;47;648.8845;
-0.06680156;70;715.3188;
-0.06466153;104;790.6478;
-0.05853221;143;868.0188;
-0.06118528;160;939.3906;
-0.06440077;156;1000.955;
-0.06171774;169;1051.415;
-0.05564747;229;1090.162;
-0.04932353;322;1119.072;
-0.05675675;417;1142.897;
-0.06284994;509;1164.672;
-0.06052688;591;1184.15;
-0.06928517;636;1201.915;
-0.07756215;622;1221.571;
-0.08440998;582;1245.373;
-0.08431454;582;1270.91;
-0.08448301;659;1293.348;
-0.08680407;787;1310.223;
-0.1005147;916;1322.303;
-0.1047444;1012;1335.16;
-0.09495111;1074;1357.252;
-0.09996357;1098;1393.433;
-0.1001145;1103;1436.577;
-0.1077441;1120;1473.392;
-0.09355988;1160;1498.293;
-0.08491337;1200;1516.809;
