Результат свертки 1 файлаКапранчиков Окулоинтерфейс_ЭКГ_01_11_20цуц16.crv_1_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;896;-125.3723;
-0.02122877;892;-137.4098;
-0.02578321;867;-153.8772;
-0.02969806;840;-170.3845;
-0.02920786;826;-182.8919;
-0.03152617;817;-192.8602;
-0.03581784;813;-204.4398;
-0.04093812;816;-218.4337;
-0.04635295;803;-233.9142;
-0.05216198;754;-250.5645;
-0.05685086;697;-266.7877;
-0.06011757;678;-279.2973;
-0.05858566;698;-288.2035;
-0.05842378;711;-298.8439;
-0.06065361;699;-314.6665;
-0.05845338;692;-333.194;
-0.06100743;701;-350.254;
-0.0608493;692;-365.3775;
-0.06255765;652;-380.137;
-0.06710602;624;-394.813;
-0.06686705;636;-408.8446;
-0.05783848;657;-423.0792;
-0.06311763;651;-437.9226;
-0.0642321;628;-451.0859;
-0.06654517;604;-461.1235;
-0.06865116;574;-471.015;
-0.06403776;538;-484.6107;
-0.06371848;520;-501.1587;
-0.06076288;528;-517.272;
-0.05793952;530;-531.3313;
-0.06680156;508;-542.7295;
-0.06466153;484;-549.0928;
-0.05853221;471;-549.2706;
-0.06118528;451;-546.7125;
-0.06440077;419;-545.469;
-0.06171774;396;-545.8313;
-0.05564747;391;-546.4818;
-0.04932353;381;-548.147;
-0.05675675;354;-550.8545;
-0.06284994;335;-552.0354;
-0.06052688;342;-549.9848;
-0.06928517;351;-547.1453;
-0.07756215;339;-545.4917;
-0.08440998;320;-542.8308;
-0.08431454;315;-537.0127;
-0.08448301;320;-529.9548;
-0.08680407;326;-524.5248;
-0.1005147;342;-521.2787;
-0.1047444;363;-520.2343;
-0.09495111;361;-521.8764;
-0.09996357;331;-524.9809;
-0.1001145;314;-526.1963;
-0.1077441;336;-524.4301;
-0.09355988;369;-521.8819;
-0.08491337;372;-520.501;
-0.08072823;360;-519.4349;
-0.07853086;364;-516.944;
-0.08229263;375;-512.351;
-0.09267239;366;-505.6607;
-0.07502018;347;-496.7562;
-0.0584675;347;-487.3866;
-0.06284614;362;-480.58;
-0.04117477;359;-475.4093;
-0.0323512;335;-466.947;
-0.05067954;319;-452.9631;
-0.0410386;324;-437.2803;
-0.01999021;331;-423.1483;
0.009037151;336;-409.3453;
0.00619929;356;-393.767;
0.04129954;382;-377.4472;
0.04622333;378;-360.9165;
0.05585063;346;-342.5116;
0.07953997;329;-321.906;
0.2038978;340;-301.0811;
0.2038978;340;-281.1917;
0.2038978;309;-261.1664;
0.2038978;278;-240.1492;
0.2038978;275;-219.7833;
0.2025881;292;-202.0149;
0.2020685;323;-186.9954;
0.2003324;365;-174.2741;
0.1993152;389;-164.1406;
0.1982981;366;-154.7514;
0.1950663;321;-141.9791;
0.1865432;305;-125.0473;
0.1805785;327;-109.4691;
0.1746138;355;-99.08786;
0.1677951;367;-91.61976;
0.1614217;366;-84.98589;
0.1483242;357;-82.98017;
0.1362953;333;-87.03134;
0.1227932;306;-92.06635;
0.1087031;308;-94.66095;
0.09363598;339;-98.73795;
0.08067812;361;-107.8566;
0.06837791;357;-119.372;
0.05200338;356;-130.285;
0.03944121;372;-142.2362;
0.02851593;385;-156.8597;
0.01389797;386;-172.7505;
;395;-190.2765;
;406;-211.7227;
;399;-235.8696;
;376;-257.151;
;364;-272.8677;
;370;-286.8445;
;375;-302.4387;
;372;-318.3056;
;377;-332.4922;
;396;-345.2251;
;408;-355.0712;
;405;-358.9345;
;411;-357.1322;
;432;-355.3824;
;434;-356.5458;
;406;-357.0374;
;387;-353.2012;
;399;-345.3845;
;419;-335.0438;
;429;-322.6609;
;445;-309.6649;
;465;-297.7749;
;462;-285.9188;
;428;-270.76;
;404;-251.6633;
;417;-231.6689;
;443;-213.8386;
;451;-199.0427;
;443;-187.3966;
;438;-179.1288;
;430;-172.5609;
;413;-164.1712;
;408;-152.6902;
;430;-140.8881;
;448;-131.0599;
;428;-122.5363;
;389;-114.2265;
;373;-107.1;
;383;-101.8551;
;392;-97.243;
;403;-92.10824;
;425;-86.87004;
;438;-80.57748;
;419;-70.42679;
;390;-55.76594;
;389;-38.67609;
;410;-20.00056;
;417;1.568798;
;396;26.23588;
;372;54.24106;
;363;87.83524;
;363;129.7383;
;374;179.396;
;400;234.6192;
;420;293.9458;
;410;357.0044;
;381;423.8936;
;360;495.3621;
;351;573.082;
;343;657.4905;
;349;745.6662;
;383;834.7968;
;413;926.8192;
;402;1025.761;
;365;1130.207;
;355;1234.948;
;384;1337.38;
;411;1437.408;
;413;1533.469;
;404;1624.657;
;399;1713.682;
;394;1802.711;
;394;1887.828;
;411;1963.971;
;433;2030.165;
;431;2088.009;
;403;2137.008;
;379;2176.235;
;376;2207.362;
;375;2232.031;
;372;2247.779;
;376;2250.988;
;379;2242.11;
;364;2224.612;
;341;2199.08;
;341;2163.403;
;361;2116.991;
;372;2060.264;
;360;1992.452;
;345;1913.138;
;341;1825.957;
;338;1735.706;
;330;1642.488;
;329;1542.226;
;335;1432.437;
;332;1313.367;
;322;1186.323;
;328;1053.673;
;353;920.736;
;370;790.6458;
;366;659.8639;
;351;522.3593;
;328;379.9938;
;286;241.2823;
;238;110.7698;
;221;-14.79122;
;241;-140.033;
;266;-265.8213;
;277;-391.0883;
;285;-515.0856;
;287;-634.5593;
;267;-744.9709;
;233;-845.5654;
;219;-940.2498;
;228;-1031.991;
;230;-1120.159;
;219;-1202.128;
;217;-1276.526;
;228;-1342.45;
;237;-1400.955;
;244;-1454.453;
;257;-1504.4;
;268;-1548.825;
;262;-1585.813;
;250;-1616.652;
;251;-1644.982;
;261;-1670.911;
;259;-1692.187;
;242;-1709.283;
;223;-1724.976;
;209;-1738.101;
;198;-1744.919;
;201;-1745.022;
;225;-1741.639;
;241;-1736.211;
;222;-1727.373;
;186;-1715.486;
;174;-1702.4;
;184;-1688.463;
;190;-1672.416;
;188;-1654.554;
;197;-1636.695;
;207;-1619.062;
;195;-1600.68;
;172;-1581.938;
;164;-1563.879;
;174;-1544.713;
;184;-1523.187;
;189;-1501.463;
;204;-1481.249;
;227;-1459.925;
;241;-1435.582;
;242;-1409.882;
;244;-1385.86;
;237;-1363.601;
;202;-1342.577;
;163;-1323.235;
;163;-1304.693;
;192;-1284.282;
;207;-1260.934;
;206;-1237.082;
;229;-1215.787;
;260;-1196.434;
;251;-1176.273;
;213;-1154.589;
;203;-1130.644;
;226;-1101.198;
;234;-1064.244;
;218;-1023.407;
;213;-983.6105;
;225;-944.3927;
;229;-901.62;
;233;-852.9774;
;255;-798.8409;
;274;-740.2277;
;253;-680.124;
;207;-621.5597;
;188;-562.4353;
;197;-496.712;
;200;-420.6473;
;192;-335.4635;
;192;-243.2683;
;190;-143.8352;
;164;-37.01997;
;129;78.86149;
;125;207.9525;
;145;353.9323;
;152;514.7385;
;140;685.5637;
;127;866.6146;
;119;1064.914;
;111;1286.606;
;112;1532.107;
;125;1799.929;
;131;2090.411;
;117;2405.272;
;100;2747.109;
;99;3118.208;
;109;3518.547;
;122;3945.005;
;146;4394.729;
;177;4866.576;
;187;5358.979;
;163;5868.979;
;133;6392.008;
;127;6920.305;
;135;7444.063;
;138;7954.981;
;140;8447.69;
;154;8918.592;
;169;9363.579;
;170;9773.86;
;166;10136.12;
;170;10438.76;
;170;10676.85;
;155;10847;
;144;10940.91;
;151;10948.59;
;158;10864.52;
;153;10686.23;
;156;10407.6;
;168;10021.26;
;168;9524.097;
;146;8918.846;
;125;8208.165;
;123;7393.005;
;135;6475.559;
;149;5459.855;
;160;4353.382;
;165;3170.611;
;156;1931.569;
;143;653.5943;
;152;-652.4799;
;177;-1979.976;
;185;-3323.738;
;166;-4677.449;
;158;-6029.132;
;178;-7360.875;
;204;-8654.92;
;227;-9897.427;
;262;-11076.32;
;307;-12181.08;
;331;-13200.6;
;330;-14121.64;
;345;-14932.2;
;387;-15626.89;
;432;-16205.45;
;464;-16668.31;
;499;-17018.09;
;538;-17257.83;
;555;-17385.95;
;550;-17398.13;
;559;-17296.9;
;599;-17091.42;
;641;-16791.03;
;658;-16403.91;
;667;-15936.21;
;685;-15391.42;
;702;-14774.35;
;713;-14095.62;
;728;-13367.25;
;751;-12598.44;
;757;-11797.67;
;733;-10974.19;
;707;-10136.08;
;709;-9292.535;
;732;-8453.771;
;757;-7626.619;
;773;-6814.42;
;775;-6022.941;
;748;-5258.445;
;707;-4523.484;
;690;-3819.688;
;713;-3151.697;
;729;-2523.693;
;694;-1935.13;
;633;-1384.518;
;593;-870.9395;
;584;-393.3951;
;581;49.2704;
;572;457.5981;
;568;833.1534;
;555;1179.762;
;514;1500.42;
;455;1795.519;
;410;2065.376;
;391;2313.496;
;384;2544.722;
;370;2763.007;
;349;2972.605;
;322;3178.871;
;296;3384.953;
;274;3588.122;
;257;3783.819;
;237;3971.219;
;216;4151.83;
;205;4326.205;
;210;4495.341;
;209;4662.342;
;195;4828.409;
;185;4990.295;
;187;5144.54;
;177;5290.038;
;145;5425.39;
;117;5546.624;
;110;5651.423;
;109;5740.586;
;98;5815.838;
;94;5876.573;
;106;5921.336;
;116;5950.648;
;109;5965.664;
;103;5964.472;
;113;5943.397;
;120;5900.852;
;113;5837.796;
;110;5756.562;
;119;5662.193;
;111;5559.937;
;85;5449.243;
;76;5324.135;
;91;5182.851;
;95;5030.726;
;78;4873.019;
;64;4711.149;
;73;4545.291;
;84;4376.814;
;85;4205.909;
;87;4031.978;
;90;3857.009;
;80;3685.598;
;60;3520.296;
;57;3359.416;
;76;3200.474;
;90;3043.16;
;87;2888.961;
;85;2739.648;
;80;2597.746;
;48;2465.42;
;0;2341.202;
;-14;2220.825;
;14;2102.99;
;38;1990.565;
;29;1886.27;
;4;1789.919;
;-16;1700.955;
;-31;1619.107;
;-30;1542.111;
;-7;1467.238;
;7;1395.781;
;-11;1332.236;
;-44;1278.596;
;-61;1233.163;
;-62;1193.393;
;-64;1156.642;
;-54;1120.301;
;-37;1083.991;
;-33;1052.866;
;-45;1032.107;
;-33;1020.749;
;22;1013.178;
;75;1006.075;
;86;1000.386;
;74;997.405;
;76;997.1248;
;88;1001.202;
;94;1011.711;
;101;1027.437;
;109;1045.135;
;111;1065.205;
;114;1090.573;
;137;1121.368;
;176;1154.283;
;211;1187.132;
;241;1219.585;
;272;1251.267;
;311;1282.354;
;364;1316.258;
;440;1356.476;
;541;1402.484;
;653;1450.059;
;758;1496.722;
;851;1542.688;
;960;1586.985;
;1104;1627.469;
;1268;1665.516;
;1422;1704.754;
;1566;1744.154;
;1728;1778.641;
;1908;1807.67;
;2078;1834.877;
;2222;1862.143;
;2377;1889.096;
;2567;1916.69;
;2771;1944.93;
;2946;1969.357;
;3087;1986.159;
;3218;1998.636;
;3344;2013.241;
;3456;2031.01;
;3527;2047.521;
;3520;2061.33;
;3417;2075.614;
;3245;2092.514;
;3055;2110.423;
;2884;2129.419;
;2750;2151.481;
;2636;2175.535;
;2497;2197.848;
;2298;2218.865;
;2033;2242.979;
;1713;2272.25;
;1344;2304.047;
;964;2335.896;
;597;2366.926;
;227;2396.194;
;-168;2423.112;
;-571;2449.721;
;-941;2478.641;
;-1265;2508.782;
;-1533;2535.658;
;-1759;2556.587;
;-1979;2572.85;
;-2212;2586.416;
;-2433;2596.333;
;-2613;2600.512;
;-2752;2599.7;
;-2853;2595.055;
;-2933;2585.558;
;-3010;2569.53;
;-3075;2547.922;
;-3103;2523.23;
;-3092;2495.523;
;-3063;2463.674;
;-3021;2427.901;
;-2960;2388.472;
;-2878;2345.021;
;-2765;2299.196;
;-2628;2255.643;
;-2488;2216.257;
;-2357;2176.247;
;-2214;2130.453;
;-2060;2080.541;
;-1923;2032.517;
;-1807;1988.255;
;-1682;1944.239;
;-1531;1898.556;
;-1380;1853.475;
;-1239;1810.433;
;-1105;1766.512;
;-974;1720.257;
;-851;1675.798;
;-737;1636.127;
;-624;1597.834;
;-522;1556.088;
;-432;1510.139;
;-338;1461.245;
;-235;1409.648;
;-146;1355.666;
;-90;1301.309;
;-56;1246.397;
;-38;1188.072;
;-42;1125.05;
;-58;1059.917;
;-46;995.6975;
;8;931.4553;
;68;864.6139;
;111;794.0594;
;141;719.9373;
;159;641.238;
;148;558.2564;
;119;474.3698;
;111;393.6575;
;129;314.0578;
;149;228.9808;
;159;135.4989;
;181;37.87781;
;210;-58.87695;
;219;-154.709;
;205;-251.2872;
;203;-348.8229;
;229;-448.3725;
;246;-553.0512;
;234;-663.0031;
;226;-774.1889;
;249;-883.0395;
;287;-990.0888;
;312;-1096.052;
;319;-1200.156;
;299;-1302.925;
;259;-1406.116;
;239;-1509.806;
;271;-1612.145;
;325;-1712.371;
;348;-1813.018;
;342;-1914.963;
;336;-2014.697;
;337;-2108.069;
;328;-2194.996;
;324;-2277.892;
;347;-2357.637;
;377;-2434.392;
;381;-2510.592;
;363;-2587.395;
;355;-2662.007;
;362;-2731.229;
;374;-2795.008;
;395;-2855.728;
;426;-2914.529;
;445;-2970.476;
;436;-3023.71;
;426;-3075.012;
;444;-3123.315;
;470;-3168.036;
;477;-3213.276;
;472;-3262.947;
;477;-3313.181;
;484;-3355.203;
;484;-3386.733;
;496;-3413.968;
;528;-3442.612;
;552;-3473.854;
;541;-3506.454;
;514;-3537.424;
;496;-3562.403;
;489;-3579.847;
;497;-3594.023;
;526;-3610.254;
;563;-3628.71;
;563;-3644.774;
;523;-3655.236;
;488;-3660.19;
;487;-3661.337;
;504;-3660.858;
;515;-3660.576;
;531;-3660.145;
;556;-3656.352;
;560;-3645.531;
;534;-3628.118;
;510;-3607.103;
;517;-3584.078;
;532;-3559.825;
;534;-3535.395;
;537;-3510.214;
;557;-3482.119;
;583;-3450.506;
;600;-3417.623;
;615;-3384.916;
;633;-3350.151;
;635;-3310.415;
;615;-3265.029;
;595;-3215.353;
;599;-3162.934;
;617;-3109.137;
;634;-3055.203;
;659;-3002.018;
;697;-2949.162;
;724;-2894.997;
;725;-2837.709;
;731;-2775.943;
;767;-2710.251;
;803;-2643.214;
;814;-2576.195;
;810;-2507.669;
;806;-2437.521;
;802;-2368.021;
;806;-2299.527;
;844;-2229.303;
;907;-2156.835;
;946;-2084.454;
;942;-2012.763;
;931;-1940.352;
;946;-1867.324;
;963;-1795.486;
;961;-1725.45;
;960;-1657.73;
;984;-1592.882;
;1009;-1529.562;
;1010;-1465.617;
;1009;-1401.664;
;1030;-1340.357;
;1052;-1281.436;
;1049;-1222.121;
;1033;-1163.538;
;1035;-1109.735;
;1055;-1061.243;
;1078;-1015.251;
;1099;-971.1749;
;1118;-931.0372;
;1125;-893.6292;
;1117;-854.1122;
;1115;-810.7834;
;1137;-767.1938;
;1175;-726.8743;
;1207;-690.7576;
;1224;-659.066;
;1239;-630.4257;
;1262;-600.7183;
;1280;-568.3097;
;1294;-536.3324;
;1316;-506.5954;
;1355;-476.0091;
;1396;-443.0393;
;1414;-409.7917;
;1414;-376.7324;
;1415;-341.7814;
;1429;-305.0597;
;1454;-269.505;
;1477;-237.4659;
;1484;-208.234;
;1466;-179.4026;
;1443;-148.7394;
;1446;-114.867;
;1473;-78.83827;
;1491;-44.19528;
;1477;-13.60971;
;1458;13.34517;
;1465;38.78316;
;1481;63.57047;
;1475;88.94815;
;1454;115.298;
;1459;140.0165;
;1484;159.1921;
;1480;174.3255;
;1446;190.3734;
;1431;208.4021;
;1457;225.2765;
;1497;238.9796;
;1526;249.804;
;1549;258.087;
;1569;264.5778;
;1567;271.4987;
;1552;278.9099;
;1553;284.3156;
;1572;287.5491;
;1578;291.7023;
;1556;296.9926;
;1539;300.0258;
;1545;299.7178;
;1562;299.3021;
;1570;300.5833;
;1575;301.727;
;1583;301.6988;
;1573;302.0157;
;1529;302.5988;
;1489;301.6081;
;1494;299.3032;
;1531;297.8151;
;1545;297.1664;
;1519;295.2383;
;1491;291.3687;
;1478;288.4841;
;1465;289.8994;
;1449;296.2806;
;1453;305.3419;
;1477;312.9855;
;1489;315.8337;
;1466;314.3119;
;1426;313.0363;
;1390;315.8833;
;1365;322.413;
;1351;329.303;
;1345;335.67;
;1343;342.4582;
;1337;349.978;
;1321;357.3252;
;1309;364.6683;
;1299;371.2329;
;1273;374.2237;
;1223;372.0685;
;1169;367.3748;
;1137;363.2178;
;1124;359.688;
;1115;355.3201;
;1109;347.9397;
;1104;335.5412;
;1088;318.9364;
;1052;302.2497;
;1003;286.4126;
;966;268.5215;
;950;247.1049;
;940;224.4617;
;928;201.1862;
;908;176.7644;
;874;152.5925;
;839;131.8861;
;835;114.0745;
;856;95.69725;
;849;74.01307;
;787;50.30246;
;715;27.36481;
;688;7.698178;
;697;-7.708179;
;707;-19.94109;
;708;-33.05518;
;696;-50.39947;
;660;-69.4062;
;607;-85.53603;
;574;-98.3402;
;575;-109.9911;
;583;;
;569;;
;542;;
;518;;
;491;;
;463;;
;447;;
;442;;
;425;;
;383;;
;342;;
;317;;
;299;;
;289;;
;294;;
;298;;
;281;;
;256;;
;247;;
;248;;
;231;;
;194;;
;159;;
;136;;
;118;;
;112;;
;124;;
;141;;
;148;;
;141;;
;121;;
;84;;
;43;;
;29;;
;38;;
;36;;
;28;;
;35;;
;40;;
;17;;
;-11;;
;-12;;
;-2;;
;-10;;
;-24;;
;-16;;
;-1;;
;3;;
;4;;
;6;;
;-2;;
;-19;;
;-25;;
;-22;;
;-30;;
;-33;;
;-10;;
;20;;
;28;;
;26;;
;38;;
;39;;
;-1;;
;-50;;
;-57;;
;-29;;
;-1;;
;26;;
;50;;
;41;;
;6;;
;-12;;
;-6;;
;-12;;
;-31;;
;-32;;
;-17;;
;-20;;
;-43;;
;-49;;
;-23;;
;3;;
;5;;
;-9;;
;-33;;
;-57;;
;-59;;
;-34;;
;-6;;
;4;;
;10;;
;12;;
;5;;
;0;;
;15;;
;32;;
;24;;
;9;;
;18;;
;43;;
;55;;
;55;;
;61;;
;62;;
;52;;
;45;;
;47;;
;41;;
;30;;
;41;;
;69;;
;75;;
;50;;
;34;;
;45;;
;55;;
;53;;
;56;;
;68;;
;73;;
;74;;
;88;;
;108;;
;102;;
;67;;
;37;;
;32;;
;51;;
;88;;
;128;;
;141;;
;119;;
;87;;
;73;;
;64;;
;49;;
;44;;
;60;;
;71;;
;71;;
;85;;
;111;;
;116;;
;100;;
;93;;
;100;;
;109;;
;121;;
;139;;
;143;;
;135;;
;135;;
;151;;
