Результат свертки 1 файлаКапранчиков Окулоинтерфейс_ЭКГ_02_1фыафы1_2016.crv_1_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;323;79.25913;
-0.02122877;308;41.08749;
-0.02578321;241;4.174081;
-0.02969806;158;-29.0863;
-0.02920786;103;-57.47457;
-0.03152617;86;-82.38457;
-0.03581784;90;-105.5841;
-0.04093812;103;-129.0135;
-0.04635295;123;-152.8374;
-0.05216198;142;-174.409;
-0.05685086;133;-189.6887;
-0.06011757;100;-198.6105;
-0.05858566;77;-204.6809;
-0.05842378;70;-211.009;
-0.06065361;51;-215.5967;
-0.05845338;9;-215.4815;
-0.06100743;-34;-211.9756;
-0.0608493;-46;-209.3705;
-0.06255765;-14;-208.4203;
-0.06710602;55;-206.3605;
-0.06686705;115;-202.3868;
-0.05783848;114;-197.4931;
-0.06311763;42;-189.3217;
-0.0642321;-45;-173.6223;
-0.06654517;-84;-152.4714;
-0.06865116;-64;-134.507;
-0.06403776;-27;-126.0345;
-0.06371848;0;-127.4994;
-0.06076288;20;-135.6115;
-0.05793952;38;-146.8413;
-0.06680156;39;-157.1445;
-0.06466153;24;-165.3005;
-0.05853221;19;-173.6149;
-0.06118528;26;-185.7438;
-0.06440077;16;-201.9757;
-0.06171774;-16;-221.5328;
-0.05564747;-23;-245.3936;
-0.04932353;35;-276.1707;
-0.05675675;134;-312.9612;
-0.06284994;204;-351.1005;
-0.06052688;199;-388.6477;
-0.06928517;130;-427.1723;
-0.07756215;44;-465.6799;
-0.08440998;-5;-500.0581;
-0.08431454;20;-530.2388;
-0.08448301;103;-560.3364;
-0.08680407;174;-593.2818;
-0.1005147;193;-629.2014;
-0.1047444;188;-667.8966;
-0.09495111;187;-707.6611;
-0.09996357;175;-743.4736;
-0.1001145;143;-770.6447;
-0.1077441;122;-788.4458;
-0.09355988;116;-797.7543;
-0.08491337;86;-798.9581;
-0.08072823;21;-792.9659;
-0.07853086;-30;-782.2532;
-0.08229263;-25;-768.3625;
-0.09267239;19;-749.9136;
-0.07502018;62;-725.8599;
-0.0584675;89;-697.7151;
-0.06284614;100;-667.278;
-0.04117477;94;-632.1292;
-0.0323512;71;-587.9183;
-0.05067954;57;-533.4484;
-0.0410386;69;-474.1661;
-0.01999021;92;-416.9741;
0.009037151;108;-364.8517;
0.00619929;126;-315.2339;
0.04129954;160;-264.1537;
0.04622333;194;-207.7371;
0.05585063;210;-145.5222;
0.07953997;227;-81.30714;
0.2038978;257;-21.1562;
0.2038978;274;34.22792;
0.2038978;263;88.9149;
0.2038978;251;144.4511;
0.2038978;264;195.9598;
0.2025881;294;238.7536;
0.2020685;323;271.8094;
0.2003324;335;296.5316;
0.1993152;324;315.5367;
0.1982981;298;334.4413;
0.1950663;287;357.0196;
0.1865432;301;381.6162;
0.1805785;311;401.0696;
0.1746138;290;409.6224;
0.1677951;247;405.4722;
0.1614217;211;391.5421;
0.1483242;200;373.2739;
0.1362953;214;355.8124;
0.1227932;231;340.7703;
0.1087031;235;325.5097;
0.09363598;224;305.7774;
0.08067812;193;280.4389;
0.06837791;148;253.3989;
0.05200338;117;227.1243;
0.03944121;125;199.7765;
0.02851593;166;168.8868;
0.01389797;220;135.9022;
;264;101.7553;
;284;67.33607;
;285;37.29049;
;283;18.20255;
;287;8.350583;
;304;-0.9346198;
;330;-15.97009;
;362;-36.75852;
;403;-59.30547;
;447;-78.21646;
;475;-87.96805;
;477;-87.75459;
;468;-81.58336;
;463;-75.38553;
;447;-70.30952;
;413;-63.48164;
;390;-53.56572;
;410;-45.57515;
;453;-44.65728;
;480;-50.69985;
;465;-59.99801;
;419;-69.49894;
;366;-75.64471;
;320;-75.22014;
;289;-70.87734;
;266;-70.46805;
;240;-79.6692;
;219;-98.1404;
;216;-122.2;
;228;-147.3884;
;235;-170.6069;
;232;-191.643;
;241;-212.7039;
;255;-235.6702;
;236;-259.516;
;178;-282.0382;
;127;-303.4164;
;126;-327.4425;
;169;-355.4512;
;225;-383.3691;
;272;-405.3044;
;295;-419.3531;
;287;-424.7451;
;262;-419.6852;
;243;-406.0185;
;246;-390.1894;
;253;-377.3263;
;241;-365.9578;
;217;-349.6278;
;213;-321.3577;
;246;-278.834;
;301;-225.8845;
;351;-166.9632;
;367;-103.0735;
;331;-33.01871;
;271;43.21891;
;231;124.0415;
;228;206.4662;
;242;289.0927;
;267;375.1448;
;305;467.5739;
;334;565.3176;
;333;667.8683;
;309;778.4703;
;291;896.8722;
;291;1015.15;
;295;1125.081;
;299;1225.382;
;324;1320.266;
;384;1414.925;
;441;1512.968;
;459;1614.403;
;454;1716.368;
;451;1815.725;
;441;1911.181;
;403;2002.148;
;355;2088.431;
