Результат свертки 1 файлаКапранчиков Окулоинтерфейс_ЭКцукцГ_02_11_2016.crv_2_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;-29;198.9586;
-0.02122877;-38;208.9761;
-0.02578321;-1;220.8423;
-0.02969806;59;232.3329;
-0.02920786;90;236.3873;
-0.03152617;81;227.9393;
-0.03581784;73;210.9612;
-0.04093812;94;194.5962;
-0.04635295;129;184.8223;
-0.05216198;156;180.3918;
-0.05685086;168;174.071;
-0.06011757;170;159.7033;
-0.05858566;173;139.164;
-0.05842378;180;118.9118;
-0.06065361;186;101.8761;
-0.05845338;173;86.77374;
-0.06100743;142;72.05039;
-0.0608493;112;55.98651;
-0.06255765;104;36.58321;
-0.06710602;108;14.81411;
-0.06686705;93;-5.050152;
-0.05783848;51;-19.25724;
-0.06311763;9;-26.5996;
-0.0642321;-12;-28.1759;
-0.06654517;-18;-27.8786;
-0.06865116;-17;-31.05079;
-0.06403776;-7;-40.73505;
-0.06371848;11;-54.70792;
-0.06076288;21;-67.78566;
-0.05793952;15;-76.42528;
-0.06680156;2;-80.76798;
-0.06466153;15;-82.08831;
-0.05853221;66;-81.09664;
-0.06118528;112;-79.46213;
-0.06440077;117;-80.34574;
-0.06171774;90;-84.56747;
-0.05564747;62;-88.51612;
-0.04932353;42;-89.37137;
-0.05675675;19;-88.07855;
-0.06284994;8;-86.02649;
-0.06052688;28;-83.33891;
-0.06928517;72;-81.13725;
-0.07756215;102;-82.18216;
-0.08440998;94;-86.46149;
-0.08431454;64;-90.45955;
-0.08448301;53;-90.94347;
-0.08680407;73;-88.35608;
-0.1005147;105;-84.56409;
-0.1047444;119;-80.00134;
-0.09495111;118;-73.10806;
-0.09996357;110;-63.54397;
-0.1001145;105;-51.52819;
-0.1077441;99;-36.58485;
-0.09355988;97;-18.00312;
-0.08491337;99;2.521558;
-0.08072823;100;22.73012;
-0.07853086;88;41.1332;
-0.08229263;73;56.65583;
-0.09267239;74;70.47437;
-0.07502018;94;86.75779;
-0.0584675;105;108.0128;
-0.06284614;94;130.7195;
-0.04117477;70;148.8917;
-0.0323512;53;160.9624;
-0.05067954;40;170.6305;
-0.0410386;36;182.7414;
-0.01999021;47;198.6732;
0.009037151;77;215.3019;
0.00619929;102;228.8835;
0.04129954;93;239.9996;
0.04622333;44;251.2727;
0.05585063;-8;264.5586;
0.07953997;-27;280.0921;
0.2038978;-20;296.0702;
0.2038978;-12;307.5212;
0.2038978;4;309.8114;
0.2038978;54;304.8994;
0.2038978;108;300.0482;
0.2025881;118;301.4661;
0.2020685;94;310.3863;
0.2003324;81;323.0265;
0.1993152;80;329.993;
0.1982981;64;325.0277;
0.1950663;50;313.0111;
0.1865432;65;302.8338;
0.1805785;88;294.7473;
0.1746138;82;279.9897;
0.1677951;38;253.8573;
0.1614217;-14;222.3071;
0.1483242;-38;196.0809;
0.1362953;-39;180.3596;
0.1227932;-34;170.8854;
0.1087031;-24;159.5483;
0.09363598;-2;143.3385;
0.08067812;19;124.6583;
0.06837791;16;107.4397;
0.05200338;-1;94.61429;
0.03944121;-10;88.62821;
0.02851593;-10;89.31251;
0.01389797;-17;94.45215;
;-33;103.2062;
;-45;117.927;
;-54;140.3459;
;-77;169.5616;
;-112;204.3349;
;-127;244.1263;
;-101;288.6694;
;-56;338.3973;
;-30;394.8579;
;-30;456.8451;
;-39;520.3975;
;-48;583.9131;
;-58;652.052;
;-71;727.8724;
;-83;805.6418;
;-90;877.5585;
;-93;945.7414;
;-104;1019.33;
;-119;1102.456;
;-111;1189.427;
;-70;1271.522;
;-20;1345.088;
;12;1412.663;
;23;1481.094;
;20;1556.961;
;4;1642.565;
;-19;1733.17;
;-43;1820.718;
;-65;1900.949;
;-66;1976.902;
;-15;2052.968;
;69;2129.865;
;115;2206.399;
;76;2281.138;
;-5;2353.166;
;-57;2423.183;
