Результат свертки 1 файлаКапранчиков Окулоинтерфейцукацс_ЭКГ_01_11_2016.crv_1_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;424;-94.65131;
-0.02122877;394;-94.78156;
-0.02578321;381;-94.45517;
-0.02969806;392;-94.26965;
-0.02920786;417;-95.34651;
-0.03152617;439;-99.04241;
-0.03581784;439;-104.995;
-0.04093812;420;-110.6675;
-0.04635295;401;-114.9039;
-0.05216198;393;-119.1122;
-0.05685086;398;-125.5351;
-0.06011757;419;-134.8786;
-0.05858566;450;-146.7766;
-0.05842378;472;-158.743;
-0.06065361;464;-167.4377;
-0.05845338;433;-171.6243;
-0.06100743;410;-174.1065;
-0.0608493;410;-178.955;
-0.06255765;420;-187.6819;
-0.06710602;424;-198.5359;
-0.06686705;418;-208.8914;
-0.05783848;412;-216.9834;
-0.06311763;417;-222.2037;
-0.0642321;438;-224.6214;
-0.06654517;468;-225.0065;
-0.06865116;484;-224.784;
-0.06403776;467;-225.3493;
-0.06371848;428;-225.9511;
-0.06076288;399;-225.0688;
-0.05793952;398;-222.1724;
-0.06680156;420;-219.6727;
-0.06466153;447;-220.2728;
-0.05853221;465;-224.3747;
-0.06118528;461;-228.6654;
-0.06440077;433;-228.9504;
-0.06171774;397;-223.1995;
-0.05564747;381;-213.0058;
-0.04932353;397;-201.9822;
-0.05675675;424;-194.4003;
-0.06284994;432;-192.3956;
-0.06052688;413;-194.2504;
-0.06928517;388;-195.7148;
-0.07756215;377;-194.2078;
-0.08440998;385;-189.792;
-0.08431454;399;-184.4409;
-0.08448301;402;-180.0531;
-0.08680407;387;-177.6073;
-0.1005147;365;-174.8368;
-0.1047444;352;-169.4173;
-0.09495111;354;-162.1111;
-0.09996357;368;-156.4591;
-0.1001145;384;-154.6961;
-0.1077441;394;-156.0181;
-0.09355988;391;-157.6776;
-0.08491337;375;-156.7032;
-0.08072823;349;-151.7511;
-0.07853086;326;-145.0674;
-0.08229263;319;-140.2583;
-0.09267239;325;-138.9369;
-0.07502018;328;-140.3395;
-0.0584675;331;-143.0933;
-0.06284614;344;-145.3636;
-0.04117477;360;-145.5453;
-0.0323512;361;-143.5781;
-0.05067954;350;-141.7505;
-0.0410386;337;-142.2713;
-0.01999021;321;-144.853;
0.009037151;298;-147.1055;
0.00619929;274;-147.069;
0.04129954;265;-144.6788;
0.04622333;276;-141.2056;
0.05585063;299;-138.3045;
0.07953997;312;-136.8636;
0.2038978;307;-136.3858;
0.2038978;293;-134.8843;
0.2038978;282;-130.8568;
0.2038978;275;-124.6344;
0.2038978;274;-118.3854;
0.2025881;280;-114.6953;
0.2020685;284;-113.864;
0.2003324;277;-113.6721;
0.1993152;266;-111.1747;
0.1982981;265;-105.0919;
0.1950663;277;-96.05076;
0.1865432;290;-86.556;
0.1805785;292;-79.76541;
0.1746138;276;-76.71762;
0.1677951;251;-74.85782;
0.1614217;241;-71.05611;
0.1483242;257;-65.15488;
0.1362953;288;-59.61772;
0.1227932;316;-57.60522;
0.1087031;330;-60.42516;
0.09363598;322;-66.09367;
0.08067812;292;-70.18983;
0.06837791;262;-69.83083;
0.05200338;254;-66.22877;
0.03944121;273;-63.66997;
0.02851593;297;-65.55167;
0.01389797;305;-71.59855;
;292;-78.34536;
;274;-83.21899;
;266;-86.72591;
;271;-89.73804;
;283;-92.75222;
;288;-97.53495;
;274;-105.9671;
;249;-115.6446;
;233;-122.6986;
;231;-126.5953;
;234;-130.0936;
;236;-135.0158;
;235;-141.7652;
;227;-149.1157;
;209;-154.1761;
;187;-154.7821;
;175;-151.2439;
;183;-145.9939;
;203;-141.458;
;207;-139.0625;
;190;-137.1998;
;175;-132.3935;
;179;-122.6227;
;194;-108.5092;
;204;-91.79308;
;206;-74.5126;
;198;-58.72993;
;183;-44.39934;
;169;-28.71227;
;170;-8.503464;
;187;16.24894;
;208;43.63424;
;219;71.44225;
;219;98.48352;
;213;124.9529;
;203;151.5833;
;196;177.9572;
;198;201.9754;
;209;222.9518;
;214;242.3455;
;203;261.6118;
;183;281.1357;
;175;300.771;
;188;319.5552;
;212;335.9892;
;226;349.6462;
;217;361.1524;
;191;370.9125;
;174;380.134;
;176;390.893;
;186;403.0522;
;196;414.13;
;200;422.7333;
;196;431.0915;
;185;442.6625;
;175;459.5782;
;182;481.3271;
;201;505.3567;
;210;530.0425;
;197;556.941;
;175;588.3459;
;165;624.8262;
;169;666.7229;
;178;714.3325;
;188;765.8965;
;197;818.6306;
;199;872.8964;
;184;932.1639;
;164;998.7216;
;162;1070.788;
;179;1144.238;
;195;1215.153;
;197;1282.355;
;191;1347.839;
;184;1414.297;
;175;1482.79;
;171;1551.499;
;182;1617.379;
;198;1678.232;
;196;1732.923;
;180;1780.59;
;170;1821.417;
;177;1857.04;
;191;1888.017;
;203;1912.072;
;200;1925.781;
;180;1928.415;
;156;1922.414;
;146;1910.071;
;157;1891.513;
;176;1865.074;
;190;1829.32;
;193;1782.841;
;183;1724.88;
;162;1656.889;
;136;1583.044;
;118;1505.741;
;116;1423.311;
;130;1331.697;
;143;1229.515;
;143;1118.595;
;131;1002.383;
;129;883.0841;
;147;761.5804;
;172;637.7262;
;176;511.0294;
;149;382.1245;
;109;252.9602;
;80;126.2355;
;75;3.141067;
;101;-116.9241;
;146;-236.0271;
;183;-355.9437;
;187;-475.8629;
;164;-592.4528;
;134;-702.5786;
;115;-805.2176;
;111;-901.681;
;119;-994.1577;
;123;-1083.186;
;120;-1167.519;
;118;-1245.53;
;124;-1317.482;
;137;-1384.37;
;146;-1446.383;
;143;-1503.899;
;126;-1557.923;
;103;-1607.096;
;94;-1648.987;
