–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡ ‡‡·ÎËÌ ¿ÌÚÓÌ ‰˚ı‡ÚÂÎ¸Ì‡Ù˚˚È_› √_07_11_2016.crv_1_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;-1692;1758.63;
-0.02122877;-1693;1657.888;
-0.02578321;-1744;1554.413;
-0.02969806;-1783;1448.022;
-0.02920786;-1760;1329.037;
-0.03152617;-1707;1190.537;
-0.03581784;-1661;1035.199;
-0.04093812;-1634;867.097;
-0.04635295;-1628;689.9449;
-0.05216198;-1639;514.4887;
-0.05685086;-1634;352.85;
-0.06011757;-1559;208.4838;
-0.05858566;-1396;81.16715;
-0.05842378;-1228;-27.9121;
-0.06065361;-1187;-124.0355;
-0.05845338;-1305;-216.6921;
-0.06100743;-1483;-303.2387;
-0.0608493;-1624;-370.3209;
-0.06255765;-1682;-412.8726;
-0.06710602;-1638;-438.1371;
-0.06686705;-1529;-453.9704;
-0.05783848;-1450;-463.74;
-0.06311763;-1429;-467.1979;
-0.0642321;-1394;-458.9957;
-0.06654517;-1301;-432.7043;
-0.06865116;-1204;-390.0661;
-0.06403776;-1159;-340.051;
-0.06371848;-1152;-286.4625;
-0.06076288;-1181;-224.4903;
-0.05793952;-1288;-147.7577;
-0.06680156;-1469;-55.0444;
-0.06466153;-1626;48.5415;
-0.05853221;-1656;153.8639;
-0.06118528;-1573;251.0047;
-0.06440077;-1450;328.5532;
-0.06171774;-1339;374.9359;
-0.05564747;-1260;390.7235;
-0.04932353;-1233;391.6776;
-0.05675675;-1266;389.4996;
-0.06284994;-1347;376.5668;
-0.06052688;-1470;344.0373;
-0.06928517;-1625;299.9126;
-0.07756215;-1780;256.4581;
-0.08440998;-1923;213.0608;
-0.08431454;-2058;160.2358;
-0.08448301;-2134;91.0098;
-0.08680407;-2070;3.195276;
-0.1005147;-1861;-98.30286;
-0.1047444;-1622;-203.595;
-0.09495111;-1482;-305.5723;
-0.09996357;-1483;-405.6468;
-0.1001145;-1555;-509.4971;
-0.1077441;-1589;-622.2493;
-0.09355988;-1513;-746.228;
-0.08491337;-1332;-880.951;
-0.08072823;-1157;-1023.628;
-0.07853086;-1131;-1168.374;
-0.08229263;-1244;-1302.111;
-0.09267239;-1301;-1407.343;
-0.07502018;-1187;-1471.384;
-0.0584675;-996;-1492.151;
-0.06284614;-859;-1477.329;
-0.04117477;-780;-1442.981;
-0.0323512;-695;-1402.983;
-0.05067954;-578;-1355.432;
-0.0410386;-470;-1287.833;
-0.01999021;-408;-1196.573;
0.009037151;-396;-1088.886;
0.00619929;-447;-970.0858;
0.04129954;-570;-840.2964;
0.04622333;-710;-695.7635;
0.05585063;-793;-524.9857;
0.07953997;-832;-313.7895;
0.2038978;-886;-60.53623;
0.2038978;-965;223.147;
0.2038978;-1011;521.9687;
0.2038978;-971;825.0709;
0.2038978;-859;1131.863;
0.2025881;-768;1452.285;
0.2020685;-799;1791.517;
0.2003324;-992;2139.018;
0.1993152;-1295;2478.773;
0.1982981;-1606;2803.837;
0.1950663;-1807;3116.211;
0.1865432;-1813;3416.729;
0.1805785;-1610;3696.079;
0.1746138;-1289;3938.531;
0.1677951;-1014;4138.65;
0.1614217;-894;4310.364;
0.1483242;-910;4472.476;
0.1362953;-980;4628.965;
0.1227932;-1063;4764.931;
0.1087031;-1150;4856.037;
0.09363598;-1227;4882.715;
0.08067812;-1258;4845.417;
0.06837791;-1199;4761.624;
0.05200338;-1057;4643.415;
0.03944121;-894;4483.928;
0.02851593;-744;4272.117;
0.01389797;-593;4009.526;
;-445;3708.029;
;-353;3380.007;
;-357;3033.517;
;-430;2667.437;
;-534;2272.616;
;-684;1843.196;
;-874;1387.174;
;-997;923.3771;
;-938;471.9336;
;-750;44.09314;
;-623;-361.7733;
;-632;-756.546;
;-697;-1147.857;
;-748;-1531.2;
;-827;-1891.461;
;-972;-2213.579;
;-1133;-2490.458;
;-1223;-2724.042;
;-1194;-2919.538;
;-1074;-3079.064;
;-924;-3201.452;
;-789;-3289.455;
;-674;-3348.369;
;-593;-3378.389;
;-597;-3371.099;
;-690;-3319.959;
;-765;-3225.091;
;-719;-3089.15;
;-575;-2912.429;
;-433;-2700.878;
;-380;-2472.418;
;-410;-2250.103;
;-427;-2048.835;
;-348;-1870.392;
;-200;-1707.497;
;-74;-1548.603;
;-21;-1380.249;
;-21;-1191.558;
;17;-984.1664;
;132;-778.7856;
;184;-601.1958;
;-11;-458.9076;
;-370;-340.2465;
;-579;-236.4407;
;-495;-151.9344;
;-307;-93.82345;
;-249;-59.09618;
;-320;-33.9384;
;-367;-5.813914;
;-342;21.68939;
;-334;33.39027;
;-387;26.57735;
;-428;16.09553;
;-407;11.57293;
;-387;5.442431;
;-432;-12.17181;
;-493;-39.06109;
;-449;-63.83931;
;-298;-74.08152;
;-211;-65.64702;
;-307;-47.71004;
;-462;-35.95179;
;-484;-38.02341;
;-344;-52.02893;
;-138;-73.01959;
;63;-93.6866;
;214;-102.4074;
;276;-92.27419;
;243;-72.42934;
;155;-61.60369;
;61;-69.37669;
;-3;-87.94758;
;-22;-103.4848;
;-10;-108.4047;
;3;-103.6296;
;18;-94.30201;
;38;-85.07565;
;55;-76.7701;
;80;-70.03925;
;143;-71.79607;
;215;-89.4221;
;201;-122.048;
;102;-161.9706;
;6;-202.4105;
;-73;-236.9485;
;-181;-262.4982;
;-270;-283.798;
;-255;-307.0299;
;-193;-329.2089;
;-207;-346.585;
;-299;-365.2196;
;-362;-391.7579;
;-336;-421.5577;
;-268;-441.9154;
;-233;-443.1401;
;-258;-420.3965;
;-314;-371.3839;
;-354;-299.74;
;-358;-219.339;
;-357;-148.3563;
;-377;-96.48522;
;-413;-59.9625;
;-455;-30.25169;
;-496;-1.705324;
;-519;28.62759;
;-492;59.82883;
;-375;85.30588;
;-166;99.96985;
;24;107.2436;
;69;111.5131;
;0;106.7515;
;-34;79.5043;
;-12;23.08779;
;-50;-58.23813;
;-166;-158.7444;
;-240;-279.0535;
;-192;-419.7487;
;-80;-573.6674;
;7;-729.5955;
;18;-885.1367;
;-37;-1048.237;
;-105;-1223.895;
;-132;-1406.157;
;-108;-1585.263;
;-61;-1757.312;
;-12;-1923.315;
;48;-2087.015;
;114;-2251.926;
;140;-2413.042;
;59;-2555.852;
;-131;-2672.814;
;-364;-2771.569;
;-563;-2857.584;
;-672;-2922.712;
;-657;-2960.142;
;-557;-2977.259;
;-476;-2981.525;
;-451;-2965.188;
;-424;-2919.684;
;-374;-2858.173;
;-341;-2804.278;
;-322;-2759.595;
;-301;-2703.471;
;-342;-2626.176;
;-507;-2542.894;
;-715;-2469.669;
;-826;-2403.777;
;-788;-2334.459;
;-667;-2255.965;
;-558;-2168.877;
;-507;-2078.034;
;-487;-1990.019;
;-455;-1906.913;
;-406;-1828.873;
;-362;-1760.298;
;-336;-1706.248;
;-296;-1665.527;
;-169;-1635.396;
;51;-1613.972;
;239;-1592.187;
;257;-1551.421;
;109;-1479.765;
;-65;-1385.863;
;-110;-1289.776;
;50;-1204.54;
;371;-1125.656;
;694;-1037.226;
;883;-926.3006;
;955;-789.5439;
;1018;-625.7285;
;1091;-426.0966;
;1112;-185.5491;
;1079;84.63535;
;1052;369.8192;
;1047;672.0651;
;1045;994.5109;
;1053;1318.434;
;1093;1617.422;
;1133;1890.415;
;1113;2158.888;
;1011;2438.953;
;868;2728.539;
;733;3018.393;
;644;3305.426;
;612;3591.638;
;592;3871.853;
;501;4130.909;
;316;4359.886;
;108;4563.833;
;-35;4747.521;
;-97;4905.255;
;-131;5028.788;
;-185;5116.144;
;-239;5170.341;
;-278;5196.377;
;-334;5198.513;
;-460;5179.629;
;-635;5146.924;
;-795;5114.605;
;-908;5089.932;
;-999;5063.196;
;-1067;5027.72;
;-1053;4999.652;
;-923;5000.416;
;-721;5024.903;
;-531;5048.67;
;-409;5060.362;
;-376;5068.498;
;-451;5076.756;
;-627;5075.844;
;-796;5060.76;
;-784;5040.401;
;-562;5025.978;
;-302;5020.188;
;-147;5020.593;
;-60;5025.505;
;37;5036.987;
;115;5055.937;
;104;5072.161;
;9;5067.21;
;-74;5033.56;
;-50;4976.19;
;62;4893.963;
;127;4780.54;
;66;4643.678;
;-42;4497.977;
;-81;4343.963;
;-37;4172.997;
;14;3984.205;
;8;3784.617;
;-65;3582.505;
;-152;3382.714;
;-174;3182.41;
;-104;2974.341;
;-3;2756.573;
;76;2530.779;
;148;2297.944;
;222;2063.977;
;229;1839.832;
;121;1631.608;
;-8;1437.385;
;-22;1253.099;
;79;1074.389;
;160;897.3678;
;135;718.7685;
;40;529.9117;
;-47;318.4039;
;-96;85.43551;
;-128;-150.3873;
;-166;-375.8686;
;-178;-598.8999;
;-111;-831.5864;
;1;-1071.122;
;66;-1309.048;
;42;-1549.484;
;-35;-1804.656;
;-133;-2077.128;
;-214;-2354.405;
;-229;-2620.095;
;-184;-2867.7;
;-147;-3100.558;
;-127;-3319.001;
;-71;-3519.556;
;4;-3711.071;
;9;-3913.786;
;-96;-4134.471;
;-236;-4356.327;
;-342;-4557.965;
;-439;-4726.087;
;-547;-4852.279;
;-592;-4932.14;
;-503;-4967.448;
;-341;-4960.911;
;-242;-4917.435;
;-243;-4855.798;
;-274;-4803.975;
;-280;-4775.731;
;-271;-4762.595;
;-263;-4751.076;
;-261;-4730.374;
;-281;-4685.984;
;-321;-4607.886;
;-335;-4509.373;
;-265;-4415.396;
;-119;-4333.236;
;35;-4253.087;
;150;-4175.964;
;241;-4117.727;
;303;-4087.148;
;282;-4074.866;
;158;-4066.188;
;27;-4052.133;
;5;-4031.263;
;68;-4008.727;
;91;-3997.057;
;17;-4010.958;
;-89;-4054.815;
;-165;-4112.742;
;-200;-4159.009;
;-206;-4185.468;
;-220;-4209.828;
;-276;-4251.413;
;-350;-4311.31;
;-399;-4381.447;
;-455;-4457.697;
;-577;-4536.155;
;-724;-4609.939;
;-793;-4670.536;
;-785;-4706.724;
;-817;-4708.146;
;-910;-4681.905;
;-924;-4654.225;
;-797;-4642.61;
;-688;-4637.104;
;-738;-4621.085;
;-851;-4594.804;
;-859;-4566.237;
;-773;-4531.974;
;-737;-4480.045;
;-802;-4403.693;
;-909;-4303.137;
;-992;-4182.287;
;-1025;-4048.657;
;-1006;-3914.533;
;-952;-3788.952;
;-867;-3665.67;
;-742;-3526.021;
;-605;-3358.927;
;-515;-3169.897;
;-487;-2970.198;
;-507;-2768.652;
;-586;-2575.649;
;-744;-2400.244;
;-912;-2240.156;
;-957;-2087.116;
;-850;-1940.529;
;-681;-1804.239;
;-555;-1670.513;
;-511;-1521.187;
;-550;-1343.391;
;-663;-1142.157;
;-817;-937.9601;
