Результат свертки 1 файлаКараблин Антон дыхательный_ЭКwerГ_07_11_2016.crv_1_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;-507;-273.0177;
-0.02122877;-425;-355.677;
-0.02578321;-403;-435.2779;
-0.02969806;-416;-509.6951;
-0.02920786;-398;-578.3792;
-0.03152617;-341;-642.3331;
-0.03581784;-290;-697.7856;
-0.04093812;-291;-737.668;
-0.04635295;-355;-761.8008;
-0.05216198;-436;-777.8824;
-0.05685086;-480;-791.2834;
-0.06011757;-486;-801.7333;
-0.05858566;-461;-810.2194;
-0.05842378;-367;-820.5543;
-0.06065361;-193;-834.3364;
-0.05845338;-13;-847.653;
-0.06100743;84;-854.8817;
-0.0608493;73;-852.9953;
-0.06255765;19;-842.4204;
-0.06710602;-5;-822.9429;
-0.06686705;-48;-793.3087;
-0.05783848;-254;-758.3731;
-0.06311763;-582;-729.1674;
-0.0642321;-743;-710.0826;
-0.06654517;-578;-692.4727;
-0.06865116;-267;-665.4001;
-0.06403776;-67;-626.8271;
-0.06371848;-39;-582.2557;
-0.06076288;-108;-537.6506;
-0.05793952;-215;-496.0879;
-0.06680156;-337;-457.4637;
-0.06466153;-469;-419.3392;
-0.05853221;-597;-378.7432;
-0.06118528;-671;-337.0712;
-0.06440077;-657;-300.7084;
-0.06171774;-584;-274.4048;
-0.05564747;-507;-258.1529;
-0.04932353;-460;-248.3368;
-0.05675675;-459;-227.815;
-0.06284994;-496;-166.889;
-0.06052688;-542;-61.31925;
-0.06928517;-569;41.49779;
-0.07756215;-555;87.64249;
-0.08440998;-481;74.08812;
-0.08431454;-352;37.77139;
-0.08448301;-219;6.198761;
-0.08680407;-127;-16.83842;
-0.1005147;-64;-39.10774;
-0.1047444;-26;-71.04078;
-0.09495111;-89;-116.9424;
-0.09996357;-297;-165.6611;
-0.1001145;-535;-199.8024;
-0.1077441;-630;-212.2365;
-0.09355988;-556;-207.7035;
-0.08491337;-418;-193.2083;
-0.08072823;-294;-175.2994;
-0.07853086;-197;-155.0026;
-0.08229263;-162;-120.7271;
-0.09267239;-231;-54.25666;
-0.07502018;-370;51.08206;
-0.0584675;-483;187.5056;
-0.06284614;-523;345.9981;
-0.04117477;-531;527.3362;
-0.0323512;-547;738.2918;
-0.05067954;-566;983.1726;
-0.0410386;-576;1260.686;
-0.01999021;-592;1568.958;
