Результат свертки 1 файлаКараблин Антон дыхательный_ЭКГ_07_11_2016.crv_2_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;2462;347.5859;
-0.02122877;2491;363.0699;
-0.02578321;2494;373.4792;
-0.02969806;2481;380.2607;
-0.02920786;2464;385.535;
-0.03152617;2455;390.9187;
-0.03581784;2469;394.9063;
-0.04093812;2510;394.4542;
-0.04635295;2569;387.6282;
-0.05216198;2643;375.0637;
-0.05685086;2714;359.9373;
-0.06011757;2747;348.2116;
-0.05858566;2723;343.4042;
-0.05842378;2679;341.5824;
-0.06065361;2664;335.1342;
-0.05845338;2690;321.5893;
-0.06100743;2732;303.4638;
-0.0608493;2772;282.3599;
-0.06255765;2818;258.3814;
-0.06710602;2875;234.2362;
-0.06686705;2928;216.3453;
-0.05783848;2956;207.3906;
-0.06311763;2963;201.8961;
-0.0642321;2965;193.2849;
-0.06654517;2960;181.2648;
-0.06865116;2948;168.7622;
-0.06403776;2939;156.5049;
-0.06371848;2954;144.1499;
-0.06076288;2991;132.4547;
-0.05793952;3030;121.6476;
-0.06680156;3049;110.4839;
-0.06466153;3038;99.74868;
-0.05853221;3012;91.6211;
-0.06118528;2996;86.68621;
-0.06440077;2998;83.18172;
-0.06171774;2999;78.85092;
-0.05564747;2981;70.85673;
-0.04932353;2959;57.27577;
-0.05675675;2965;39.15221;
-0.06284994;2997;21.54285;
-0.06052688;3013;9.428493;
-0.06928517;2991;2.633994;
-0.07756215;2957;-4.035666;
-0.08440998;2931;-14.20543;
-0.08431454;2898;-26.62934;
-0.08448301;2848;-39.41759;
-0.08680407;2805;-54.71021;
-0.1005147;2781;-74.76321;
-0.1047444;2765;-97.67287;
-0.09495111;2746;-120.5985;
-0.09996357;2715;-143.1394;
-0.1001145;2664;-164.8924;
-0.1077441;2593;-183.1701;
-0.09355988;2520;-196.7738;
-0.08491337;2450;-208.9749;
-0.08072823;2375;-224.7273;
-0.07853086;2295;-245.795;
-0.08229263;2225;-270.1505;
-0.09267239;2176;-295.743;
-0.07502018;2137;-321.8818;
-0.0584675;2092;-347.87;
-0.06284614;2034;-371.8318;
-0.04117477;1967;-392.7469;
-0.0323512;1887;-411.0365;
-0.05067954;1791;-428.3072;
-0.0410386;1695;-445.6544;
-0.01999021;1616;-464.1444;
0.009037151;1563;-483.6814;
0.00619929;1522;-503.2457;
0.04129954;1488;-522.603;
0.04622333;1455;-542.4936;
0.05585063;1408;-562.8213;
0.07953997;1333;-579.778;
0.2038978;1234;-589.1969;
0.2038978;1144;-592.7313;
0.2038978;1086;-598.364;
0.2038978;1044;-610.2256;
0.2038978;988;-625.442;
0.2025881;921;-639.9044;
0.2020685;874;-652.1597;
0.2003324;859;-660.6111;
0.1993152;850;-662.73;
0.1982981;816;-660.011;
0.1950663;755;-656.0699;
0.1865432;687;-650.7188;
0.1805785;630;-641.8699;
0.1746138;594;-630.5845;
0.1677951;576;-620.0328;
0.1614217;567;-611.6655;
0.1483242;558;-604.4881;
0.1362953;544;-596.6604;
0.1227932;518;-586.4445;
0.1087031;470;-571.3449;
0.09363598;414;-550.5013;
0.08067812;378;-526.0582;
0.06837791;359;-502.1397;
0.05200338;338;-481.2473;
0.03944121;317;-463.018;
0.02851593;311;-446.6718;
0.01389797;313;-431.8314;
;306;-417.2005;
;282;-399.8194;
;250;-378.9424;
;220;-357.6707;
;184;-340.0001;
