–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡ ‡ÔefwÓ‚ ≈‚„ÂÌËÈ_› √_07_11_2016.crv_1_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;378;-3025.178;
-0.02122877;264;-2921.33;
-0.02578321;84;-2772.517;
-0.02969806;40;-2578.851;
-0.02920786;120;-2348.127;
-0.03152617;173;-2106.115;
-0.03581784;133;-1888.064;
-0.04093812;87;-1705.357;
-0.04635295;133;-1531.325;
-0.05216198;238;-1336.29;
-0.05685086;304;-1126.471;
-0.06011757;296;-934.9507;
-0.05858566;255;-783.2908;
-0.05842378;233;-661.0673;
-0.06065361;219;-542.2451;
-0.05845338;117;-414.272;
-0.06100743;-109;-287.6225;
-0.0608493;-297;-181.1834;
-0.06255765;-250;-105.9626;
-0.06710602;-32;-61.16936;
-0.06686705;96;-35.48426;
-0.05783848;32;-11.37528;
-0.06311763;-63;26.46414;
-0.0642321;-18;87.86699;
-0.06654517;119;178.149;
-0.06865116;168;289.9708;
-0.06403776;50;400.3004;
-0.06371848;-106;494.2205;
-0.06076288;-130;590.4731;
-0.05793952;-20;725.6849;
-0.06680156;104;915.0472;
-0.06466153;171;1142.744;
-0.05853221;199;1391.668;
-0.06118528;211;1670.486;
-0.06440077;154;2005.352;
-0.06171774;-31;2407.685;
-0.05564747;-260;2858.305;
-0.04932353;-274;3325.536;
-0.05675675;65;3795.797;
-0.06284994;544;4279.199;
-0.06052688;798;4791.778;
-0.06928517;730;5338.814;
-0.07756215;551;5915.558;
-0.08440998;460;6516.913;
-0.08431454;452;7136.927;
-0.08448301;428;7752.851;
-0.08680407;346;8325.751;
-0.1005147;245;8829.332;
-0.1047444;200;9268.138;
-0.09495111;265;9657.307;
-0.09996357;434;9999.135;
-0.1001145;604;10283.28;
-0.1077441;631;10495.36;
-0.09355988;454;10623.7;
-0.08491337;168;10668.73;
-0.08072823;-108;10630.98;
-0.07853086;-294;10488.99;
-0.08229263;-294;10211.89;
-0.09267239;-76;9791.972;
-0.07502018;172;9239.423;
-0.0584675;181;8556.454;
-0.06284614;-64;7740.324;
-0.04117477;-305;6804.548;
-0.0323512;-329;5776.603;
-0.05067954;-197;4673.578;
-0.0410386;-132;3485.297;
-0.01999021;-217;2189.25;
0.009037151;-286;785.9556;
0.00619929;-148;-687.5404;
0.04129954;158;-2186.204;
0.04622333;444;-3688.546;
0.05585063;616;-5197.149;
0.07953997;700;-6717.824;
0.2038978;670;-8237.781;
0.2038978;442;-9723.455;
0.2038978;68;-11146.89;
0.2038978;-178;-12508.01;
0.2038978;-23;-13819.84;
0.2025881;480;-15079.27;
0.2020685;929;-16261.74;
0.2003324;975;-17337.44;
0.1993152;685;-18287.35;
0.1982981;399;-19101.22;
0.1950663;327;-19767.78;
0.1865432;391;-20283.94;
0.1805785;390;-20676.27;
0.1746138;250;-20982.88;
0.1677951;91;-21203.49;
0.1614217;71;-21295.75;
0.1483242;186;-21228.52;
0.1362953;314;-21014.57;
0.1227932;407;-20690.03;
0.1087031;478;-20280.63;
0.09363598;505;-19786.36;
0.08067812;438;-19189.73;
0.06837791;261;-18480.18;
0.05200338;77;-17671.11;
0.03944121;88;-16793.1;
0.02851593;363;-15874.29;
0.01389797;673;-14925.53;
;737;-13939.11;
;577;-12903.18;
;439;-11817.95;
;479;-10693.66;
;632;-9544.305;
;711;-8395.174;
;614;-7278.922;
;437;-6206.311;
;341;-5155.951;
;358;-4105.727;
;451;-3062.223;
;583;-2051.185;
;716;-1091.368;
;785;-181.5495;
;740;694.3632;
;551;1545.682;
;305;2357.911;
;212;3104.458;
;394;3771.672;
;691;4366.407;
;860;4907.61;
;846;5418.1;
;795;5918.171;
;843;6422.014;
;971;6929.267;
;1029;7414.056;
;931;7837.219;
;774;8187.809;
;708;8499.816;
;746;8813.474;
;826;9135.686;
;947;9445.992;
;1117;9726.771;
;1268;9982.157;
;1301;10234.99;
;1182;10500.75;
;981;10766.35;
;864;11004.02;
;923;11199.92;
;1049;11360.53;
;1056;11498.1;
;914;11619.77;
;776;11727.05;
;788;11822.14;
;922;11903.54;
;980;11954.76;
;821;11953.02;
;569;11901.23;
;468;11834.42;
;587;11785.96;
;782;11754.69;
;892;11706.04;
;864;11599.14;
;744;11421.67;
;618;11200.85;
;517;10971.45;
;449;10734.71;
;514;10462.94;
;787;10141.58;
;1067;9791.494;
;1021;9444.538;
;622;9111.049;
;230;8784.083;
;175;8463.796;
;393;8154.82;
;558;7841.763;
;466;7495.004;
;218;7109.375;
;39;6718.041;
;16;6356.035;
;67;6025.136;
;95;5700.778;
;67;5365.677;
;1;5029.553;
;-121;4719.023;
;-339;4448.586;
;-598;4204.858;
;-697;3961.039;
;-507;3703.524;
;-196;3438.426;
;-58;3181.016;
;-143;2946.654;
;-216;2748.898;
;-88;2598.379;
;158;2492.856;
;299;2402.871;
;263;2284.337;
;185;2119.72;
;200;1935.853;
;308;1768.229;
;451;1624.34;
;601;1490.872;
;732;1360.175;
;803;1239.839;
;783;1144.932;
;649;1081.973;
;435;1037.639;
;307;988.3532;
;432;920.4903;
;716;835.6481;
;844;747.6707;
;672;677.5923;
;401;643.0491;
;296;648.2687;
;351;686.1439;
;348;739.2095;
;186;779.9585;
;22;791.3523;
;46;791.8413;
;234;819.5066;
;394;889.5886;
;425;983.5772;
;400;1078.577;
;419;1174.466;
;453;1290.953;
;392;1441.602;
;259;1613.997;
;276;1779.862;
;582;1920.736;
;1016;2040.537;
;1326;2154.319;
;1471;2272.966;
;1551;2400.741;
;1617;2543.341;
;1682;2704.075;
;1758;2869.232;
;1812;3007.75;
;1871;3101.171;
;2069;3166.128;
;2443;3237.576;
;2834;3334.118;
;3112;3443.849;
;3323;3540.899;
;3531;3616.905;
;3647;3690.506;
;3552;3779.552;
;3346;3873.951;
;3315;3946.318;
;3555;3982.331;
;3807;3990.188;
;3774;3987.532;
;3462;3988.522;
;3098;4003.221;
;2844;4041.293;
;2678;4104.261;
;2460;4171.02;
;2113;4205.262;
;1727;4192.407;
;1429;4158.05;
;1202;4140.425;
;921;4151.54;
;525;4172.168;
;66;4177.86;
;-373;4166.547;
;-818;4160.821;
;-1363;4181.899;
;-1932;4224.204;
;-2251;4262.929;
;-2235;4282.439;
;-2200;4288.589;
;-2468;4300.456;
;-2958;4336.48;
;-3333;4407.291;
;-3412;4514.379;
;-3320;4650.411;
;-3301;4792.884;
;-3460;4908.729;
;-3703;4982.819;
;-3893;5036.356;
;-3972;5104.505;
;-3936;5200.694;
;-3811;5311.598;
;-3666;5415.44;
;-3580;5500.116;
;-3579;5570.502;
;-3656;5637.323;
;-3754;5695.987;
;-3721;5723.112;
;-3442;5698.903;
;-3037;5625.499;
;-2761;5521.679;
;-2696;5404.207;
;-2676;5286.389;
;-2532;5185.663;
;-2285;5113.824;
;-2075;5048.193;
;-1961;4939.448;
;-1821;4762.282;
;-1519;4544.495;
;-1096;4332.084;
;-690;4147.185;
;-363;3984.439;
;-112;3829.336;
;18;3676.565;
;-45;3540.557;
;-289;3440.426;
;-514;3368.518;
;-430;3293.191;
;22;3195.808;
;530;3088.029;
;747;2991.007;
;676;2915.915;
;565;2866.774;
;573;2848.429;
;659;2860.876;
;706;2882.769;
;664;2874.47;
;601;2814.588;
;618;2724.403;
;719;2641.664;
;831;2578.8;
;909;2516.318;
;988;2427.819;
;1113;2306.326;
;1236;2172.864;
;1230;2054.646;
;1111;1951.063;
;1095;1832.285;
;1296;1673.915;
;1502;1479.584;
;1442;1270.772;
;1140;1066.395;
;889;874.1126;
;933;695.7147;
;1250;530.8531;
;1583;363.3073;
;1693;155.038;
;1594;-118.252;
;1511;-424.4988;
;1590;-700.8353;
;1726;-920.663;
;1731;-1111.043;
;1613;-1307.371;
;1547;-1517.21;
;1563;-1724.857;
;1500;-1917.526;
;1329;-2102.294;
;1289;-2301.421;
;1540;-2533.002;
;1873;-2798.912;
;1957;-3087.069;
;1771;-3380.513;
;1575;-3663.328;
;1557;-3926.083;
;1649;-4172.571;
;1674;-4426.017;
;1556;-4719.01;
;1393;-5061.062;
;1329;-5421.617;
;1394;-5757.931;
;1506;-6053.937;
;1602;-6324.829;
;1665;-6592.178;
;1665;-6858.447;
;1551;-7102.569;
;1309;-7302.754;
;1055;-7464.493;
;1024;-7615.517;
;1327;-7774.212;
;1763;-7934.324;
;2008;-8075.721;
;1974;-8176.078;
;1833;-8218.851;
;1752;-8199.639;
;1723;-8127.195;
;1635;-8021.378;
;1458;-7910.25;
;1318;-7814.35;
;1350;-7726.713;
;1520;-7620.314;
;1686;-7481.461;
;1798;-7328.48;
;1869;-7191.986;
;1867;-7079.923;
;1733;-6970.239;
;1483;-6843.961;
;1239;-6714.1;
;1175;-6609.586;
;1384;-6539.836;
;1726;-6492.558;
;1902;-6455.267;
;1775;-6424.772;
;1526;-6399.999;
;1418;-6375.217;
;1480;-6345.809;
;1523;-6327.105;
;1428;-6354.329;
;1307;-6444.949;
;1332;-6571.621;
;1499;-6689.041;
;1675;-6775.4;
;1773;-6837.054;
;1824;-6887.051;
;1873;-6926.491;
;1879;-6939.869;
;1757;-6914.408;
;1562;-6866.807;
;1512;-6831.121;
;1754;-6818.061;
;2141;-6805.098;
;2378;-6764.597;
;2345;-6683.401;
;2177;-6557.361;
;2080;-6383.495;
;2127;-6165.189;
;2204;-5921.155;
;2180;-5680.315;
;2100;-5457.828;
;2122;-5241.525;
;2296;-5009.166;
;2503;-4752.432;
;2617;-4478.066;
;2626;-4198.346;
;2592;-3922.773;
;2517;-3649.712;
;2333;-3370.14;
;2084;-3089.142;
;1993;-2831.354;
;2220;-2616.407;
;2590;-2440.641;
;2769;-2287.82;
;2665;-2145.702;
;2503;-2005.335;
;2512;-1855.29;
;2682;-1689.419;
;2828;-1522.666;
;2824;-1385.308;
;2728;-1290.053;
;2683;-1213.786;
;2743;-1122.89;
;2854;-1008.07;
;2954;-888.1918;
;3009;-788.7734;
;3009;-715.9716;
;2937;-648.5912;
;2776;-562.1398;
;2565;-459.4105;
;2469;-365.2083;
;2640;-296.082;
;2972;-247.6505;
;3173;-203.8843;
;3101;-147.8642;
;2899;-68.83717;
;2772;35.42666;
;2779;160.5762;
;2836;289.6048;
;2852;392.4281;
;2854;452.5463;
;2945;487.8541;
;3171;526.3161;
;3454;570.8256;
;3678;605.0734;
;3802;616.6279;
;3868;605.4279;
;3848;584.2096;
;3647;574.1054;
;3331;585.3865;
;3234;604.9525;
;3567;610.8975;
;4087;595.1335;
;4364;566.0797;
;4293;536.8817;
;4083;515.0729;
;3912;503.1272;
;3804;501.0095;
;3709;499.5512;
;3577;476.3087;
;3429;418.2945;
;3387;347.3494;
;3506;302.8928;
;3666;299.9789;
;3720;316.028;
;3683;318.6684;
;3654;299.0116;
;3617;278.6451;
;3457;283.2845;
;3193;308.7225;
;3075;320.2045;
;3302;287.3097;
;3707;212.5784;
;3936;126.5529;
;3868;60.29934;
;3700;25.03063;
;3667;18.16733;
;3799;36.48113;
;3931;67.58321;
;3889;80.63931;
;3707;53.48486;
;3601;2.883931;
;3701;-31.79728;
;3907;-31.75724;
;4057;-12.23596;
;4108;1.622842;
;4107;5.00875;
;4063;20.7775;
;3920;74.32178;
;3694;160.8678;
;3592;248.8601;
;3827;313.2107;
;4269;355.2143;
;4464;392.5244;
;4176;444.0042;
;3674;524.314;
;3367;641.0231;
;3333;787.9924;
;3356;941.4253;
;3282;1067.93;
;3187;1146.705;
;3193;1190.826;
;3273;1237.135;
;3332;1306.895;
;3362;1385.901;
;3402;1450.269;
;3432;1499.596;
;3373;1551.416;
;3199;1609.747;
;3004;1655.21;
;2963;1666.767;
;3166;1640.258;
;3461;1579.732;
