–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡ ‡ÔÓ‚ ≈‚„ÂÌËÈ_› √_qrq03_11_2016.crv_2_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;1956;544.5644;
-0.02122877;1941;523.5825;
-0.02578321;1958;490.7595;
-0.02969806;2012;452.2183;
-0.02920786;2098;413.4758;
-0.03152617;2178;377.2454;
-0.03581784;2206;343.9445;
-0.04093812;2182;312.1611;
-0.04635295;2144;281.1102;
-0.05216198;2112;251.0932;
-0.05685086;2084;221.4613;
-0.06011757;2072;188.6864;
-0.05858566;2096;148.245;
-0.05842378;2153;99.89506;
-0.06065361;2227;50.08899;
-0.05845338;2301;7.891883;
-0.06100743;2339;-22.23445;
-0.0608493;2317;-39.97325;
-0.06255765;2263;-46.9546;
-0.06710602;2230;-47.50132;
-0.06686705;2229;-49.03749;
-0.05783848;2230;-55.99432;
-0.06311763;2220;-67.54394;
-0.0642321;2228;-80.3509;
-0.06654517;2275;-91.56377;
-0.06865116;2331;-97.96844;
-0.06403776;2357;-97.70444;
-0.06371848;2358;-91.75228;
-0.06076288;2353;-81.6281;
-0.05793952;2328;-66.37218;
-0.06680156;2275;-45.95698;
-0.06466153;2236;-24.77498;
-0.05853221;2262;-9.709082;
-0.06118528;2345;-4.317151;
-0.06440077;2431;-5.676674;
-0.06171774;2475;-9.110375;
-0.05564747;2466;-11.9869;
-0.04932353;2423;-11.20326;
-0.05675675;2380;-2.457732;
-0.06284994;2348;12.84397;
-0.06052688;2312;24.89037;
-0.06928517;2276;24.43354;
-0.07756215;2275;12.35389;
-0.08440998;2333;-3.940549;
-0.08431454;2421;-17.4321;
-0.08448301;2482;-25.0842;
-0.08680407;2484;-28.5959;
-0.1005147;2444;-31.30593;
-0.1047444;2391;-32.90483;
-0.09495111;2334;-28.89969;
-0.09996357;2271;-17.58699;
-0.1001145;2227;-4.184889;
-0.1077441;2225;4.224339;
-0.09355988;2254;5.29603;
-0.08491337;2278;3.014744;
-0.08072823;2281;3.124188;
-0.07853086;2264;9.224034;
-0.08229263;2232;23.92024;
-0.09267239;2185;49.04631;
-0.07502018;2122;80.35042;
-0.0584675;2048;108.4785;
-0.06284614;1980;127.4499;
-0.04117477;1937;139.9364;
-0.0323512;1940;150.3909;
-0.05067954;1983;160.7108;
-0.0410386;2024;171.7943;
-0.01999021;2021;184.8824;
0.009037151;1973;201.0737;
0.00619929;1895;219.9203;
0.04129954;1791;239.2934;
0.04622333;1681;255.4383;
0.05585063;1613;264.0456;
0.07953997;1603;261.4865;
0.2038978;1622;247.7861;
0.2038978;1635;228.0899;
0.2038978;1625;208.3701;
0.2038978;1582;190.7929;
0.2038978;1500;174.3299;
0.2025881;1399;158.2089;
0.2020685;1308;140.7645;
0.2003324;1229;118.2367;
0.1993152;1154;88.41656;
0.1982981;1090;52.08736;
0.1950663;1064;10.9861;
0.1865432;1077;-33.68362;
0.1805785;1085;-80.44447;
0.1746138;1060;-126.2928;
0.1677951;1018;-169.5518;
0.1614217;968;-211.4336;
0.1483242;883;-252.7831;
0.1362953;761;-292.7231;
0.1227932;658;-332.9948;
0.1087031;633;-379.9934;
0.09363598;675;-436.8355;
0.08067812;724;-498.2961;
0.06837791;739;-555.7719;
0.05200338;729;-605.0577;
0.03944121;712;-645.4793;
0.02851593;680;-678.1072;
0.01389797;620;-705.0488;
;546;-729.7374;
;487;-756.1827;
;461;-787.8004;
;475;-824.8279;
;522;-862.3676;
;571;-894.2593;
